samples	experimental_strategy	genome_size	breaks_count	breaks_density
BS_007JTNB8	WGS	2719487222	40	0.014708655248095883
BS_00TRPEQX	WGS	2719487222	100	0.03677163812023971
BS_01DQH017	WGS	2719487222	0	0
BS_01Y5F4PN	WGS	2719487222	4	0.0014708655248095884
BS_02W5H7K5	WGS	2719487222	6	0.0022062982872143827
BS_02YBZSBY	WGS	2719487222	16	0.0058834620992383535
BS_02ZSVZCB	WGS	2719487222	6	0.0022062982872143827
BS_03SSN1N2	WGS	2719487222	6	0.0022062982872143827
BS_042DVDQM	WGS	2719487222	2	7.354327624047942e-4
BS_04B8X54S	WGS	2719487222	10	0.003677163812023971
BS_05S9WJW6	WGS	2719487222	46	0.016914953535310268
BS_060QB7XB	WGS	2719487222	66	0.024269281159358207
BS_06GEF6DB	WGS	2719487222	28	0.010296058673667119
BS_06GPPDHZ	WGS	2719487222	0	0
BS_090GV72Q	WGS	2719487222	4	0.0014708655248095884
BS_0ATJ22QA	WGS	2719487222	24	0.00882519314885753
BS_0DKPGQWD	WGS	2719487222	20	0.007354327624047942
BS_0EN5R1AP	WGS	2719487222	0	0
BS_0FQKT8EY	WGS	2719487222	40	0.014708655248095883
BS_0J5GC803	WGS	2719487222	0	0
BS_0J5MCBZV	WGS	2719487222	68	0.025004713921763004
BS_0Q8G4N8H	WGS	2719487222	0	0
BS_0QEBZX3M	WGS	2719487222	0	0
BS_0RF0G9SQ	WGS	2719487222	68	0.025004713921763004
BS_0S617SMM	WGS	2719487222	30	0.011031491436071914
BS_0SFXXBQ5	WGS	2719487222	4	0.0014708655248095884
BS_0W8AWY10	WGS	2719487222	4	0.0014708655248095884
BS_0XD58YD9	WGS	2719487222	0	0
BS_0XR7GYAV	WGS	2719487222	0	0
BS_0YVR8Q4E	WGS	2719487222	12	0.004412596574428765
BS_0ZR4XA69	WGS	2719487222	0	0
BS_10AD3EFX	WGS	2719487222	0	0
BS_10HD18B8	WGS	2719487222	12	0.004412596574428765
BS_10V9SAG8	WGS	2719487222	NA	NA
BS_11322HD1	WGS	2719487222	2	7.354327624047942e-4
BS_1135HC0V	WGS	2719487222	8	0.0029417310496191768
BS_12ZB7R6A	WGS	2719487222	6	0.0022062982872143827
BS_154FP4ZQ	WGS	2719487222	2	7.354327624047942e-4
BS_164KRQJ0	WGS	2719487222	0	0
BS_16FT8V4B	WGS	2719487222	NA	NA
BS_16TBX6G5	WGS	2719487222	2	7.354327624047942e-4
BS_17AXPP1Y	WGS	2719487222	0	0
BS_17FVWMNV	WGS	2719487222	106	0.038977936407454096
BS_185Q218S	WGS	2719487222	12	0.004412596574428765
BS_18NCV5QZ	WGS	2719487222	58	0.02132755010973903
BS_19EJ85F8	WGS	2719487222	12	0.004412596574428765
BS_1AZ8YJSH	WGS	2719487222	100	0.03677163812023971
BS_1B4Q7CNG	WGS	2719487222	4	0.0014708655248095884
BS_1C4WCNQF	WGS	2719487222	8	0.0029417310496191768
BS_1CZPVCXR	WGS	2719487222	0	0
BS_1EQGGHHQ	WGS	2719487222	2	7.354327624047942e-4
BS_1EYKDS0Z	WGS	2719487222	0	0
BS_1GK2EMFY	WGS	2719487222	0	0
BS_1JGQPJH3	WGS	2719487222	56	0.020592117347334238
BS_1JMTTKMK	WGS	2719487222	46	0.016914953535310268
BS_1M63B97V	WGS	2719487222	64	0.023533848396953414
BS_1MME7FBS	WGS	2719487222	0	0
BS_1Q524P3B	WGS	2719487222	0	0
BS_1RF75MK2	WGS	2719487222	0	0
BS_1RFBH1SP	WGS	2719487222	4	0.0014708655248095884
BS_1S2BHJ8K	WGS	2719487222	16	0.0058834620992383535
BS_1S5V7WWC	WGS	2719487222	58	0.02132755010973903
BS_1VMBA3BN	WGS	2719487222	0	0
BS_1YTHM07J	WGS	2719487222	0	0
BS_20TBZG09	WGS	2719487222	6	0.0022062982872143827
BS_20X874J5	WGS	2719487222	106	0.038977936407454096
BS_22VCR7DF	WGS	2719487222	0	0
BS_230S192D	WGS	2719487222	62	0.02279841563454862
BS_235QEYMQ	WGS	2719487222	30	0.011031491436071914
BS_23ZE42Q3	WGS	2719487222	100	0.03677163812023971
BS_245CTSH9	WGS	2719487222	2	7.354327624047942e-4
BS_25VZM81R	WGS	2719487222	38	0.01397322248569109
BS_2AWCKNB3	WGS	2719487222	38	0.01397322248569109
BS_2CD1XWVP	WGS	2719487222	4	0.0014708655248095884
BS_2CQ6K2JW	WGS	2719487222	0	0
BS_2E81A3FT	WGS	2719487222	14	0.0051480293368335595
BS_2F70R10Z	WGS	2719487222	2	7.354327624047942e-4
BS_2HNHCSNB	WGS	2719487222	6	0.0022062982872143827
BS_2J4FG4HV	WGS	2719487222	244	0.0897227970133849
BS_2JDVY4F7	WGS	2719487222	16	0.0058834620992383535
BS_2NN6ME5A	WGS	2719487222	0	0
BS_2P7MJGM7	WGS	2719487222	32	0.011766924198476707
BS_2RJN5Z4W	WGS	2719487222	2	7.354327624047942e-4
BS_2RX2NF1Q	WGS	2719487222	32	0.011766924198476707
BS_2SG8JNMB	WGS	2719487222	0	0
BS_2VB8649B	WGS	2719487222	2	7.354327624047942e-4
BS_2VHFP7M8	WGS	2719487222	0	0
BS_2VSN5YC5	WGS	2719487222	0	0
BS_2W200YK5	WGS	2719487222	84	0.030888176021001357
BS_2Z9JQDPV	WGS	2719487222	2	7.354327624047942e-4
BS_30W38X77	WGS	2719487222	20	0.007354327624047942
BS_3108RS7G	WGS	2719487222	0	0
BS_32HAVF6S	WGS	2719487222	0	0
BS_32JF8TPP	WGS	2719487222	6	0.0022062982872143827
BS_32VQRFDS	WGS	2719487222	0	0
BS_354DTKHE	WGS	2719487222	24	0.00882519314885753
BS_36HCZ3KW	WGS	2719487222	8	0.0029417310496191768
