samples	experimental_strategy	genome_size	breaks_count	breaks_density
BS_007JTNB8	WGS	2719487222	758	0.278729016951417
BS_00TRPEQX	WGS	2719487222	1322	0.48612105594956895
BS_01DQH017	WGS	2719487222	478	0.1757684302147458
BS_01Y5F4PN	WGS	2719487222	470	0.17282669916512663
BS_02W5H7K5	WGS	2719487222	472	0.17356213192753142
BS_02YBZSBY	WGS	2719487222	530	0.19488968203727047
BS_02ZSVZCB	WGS	2719487222	6004	2.2077691527391923
BS_042DVDQM	WGS	2719487222	242	0.0889873642509801
BS_04B8X54S	WGS	2719487222	416	0.15297001458019718
BS_05S9WJW6	WGS	2719487222	252	0.09266452806300407
BS_060QB7XB	WGS	2719487222	196	0.07207241071566983
BS_06GEF6DB	WGS	2719487222	352	0.12943616618324377
BS_06GPPDHZ	WGS	2719487222	740	0.27211012208977386
BS_090GV72Q	WGS	2719487222	350	0.128700733420839
BS_0ATJ22QA	WGS	2719487222	432	0.15885347667943556
BS_0DKPGQWD	WGS	2719487222	580	0.21327550109739032
BS_0FQKT8EY	WGS	2719487222	1006	0.3699226794896115
BS_0J5GC803	WGS	2719487222	1130	0.41551951075870874
BS_0J5MCBZV	WGS	2719487222	1510	0.5552517356156196
BS_0RF0G9SQ	WGS	2719487222	534	0.19636054756208005
BS_0S617SMM	WGS	2719487222	1712	0.6295304446185038
BS_0SFXXBQ5	WGS	2719487222	524	0.1926833837500561
BS_0XR7GYAV	WGS	2719487222	606	0.22283612700865266
BS_1135HC0V	WGS	2719487222	356	0.13090703170805337
BS_12ZB7R6A	WGS	2719487222	1692	0.6221761169944559
BS_154FP4ZQ	WGS	2719487222	272	0.10001885568705202
BS_16TBX6G5	WGS	2719487222	912	0.33535733965658615
BS_17FVWMNV	WGS	2719487222	378	0.1389967920945061
BS_185Q218S	WGS	2719487222	274	0.1007542884494568
BS_18NCV5QZ	WGS	2719487222	594	0.21842353043422388
BS_19EJ85F8	WGS	2719487222	214	0.07869130557731298
BS_1AZ8YJSH	WGS	2719487222	554	0.203714875186128
BS_1B4Q7CNG	WGS	2719487222	272	0.10001885568705202
BS_1C4WCNQF	WGS	2719487222	298	0.10957948159831433
BS_1CZPVCXR	WGS	2719487222	900	0.3309447430821574
BS_1GK2EMFY	WGS	2719487222	362	0.13311332999526776
BS_1JGQPJH3	WGS	2719487222	4538	1.668696937896478
BS_1JMTTKMK	WGS	2719487222	838	0.3081463274476088
BS_1M63B97V	WGS	2719487222	964	0.3544785914791108
BS_1S2BHJ8K	WGS	2719487222	362	0.13311332999526776
BS_1S5V7WWC	WGS	2719487222	604	0.22210069424624784
BS_1VMBA3BN	WGS	2719487222	492	0.18091645955157937
BS_20TBZG09	WGS	2719487222	286	0.10516688502388558
BS_20X874J5	WGS	2719487222	456	0.16767866982829308
BS_230S192D	WGS	2719487222	1128	0.41478407799630396
BS_235QEYMQ	WGS	2719487222	444	0.1632660732538643
BS_23ZE42Q3	WGS	2719487222	1388	0.5103903371089272
BS_245CTSH9	WGS	2719487222	356	0.13090703170805337
BS_25VZM81R	WGS	2719487222	602	0.22136526148384306
BS_2AWCKNB3	WGS	2719487222	414	0.1522345818177924
BS_2CQ6K2JW	WGS	2719487222	444	0.1632660732538643
BS_2F70R10Z	WGS	2719487222	202	0.07427870900288422
BS_2HNHCSNB	WGS	2719487222	590	0.21695266490941428
BS_2J4FG4HV	WGS	2719487222	906	0.3331510413693718
BS_2JDVY4F7	WGS	2719487222	1354	0.4978879801480457
BS_2P7MJGM7	WGS	2719487222	502	0.18459362336360335
BS_2RJN5Z4W	WGS	2719487222	296	0.10884404883590955
BS_2RX2NF1Q	WGS	2719487222	372	0.13679049380729172
BS_2SG8JNMB	WGS	2719487222	296	0.10884404883590955
BS_2VB8649B	WGS	2719487222	156	0.05736375546757395
BS_2W200YK5	WGS	2719487222	952	0.35006599490468204
BS_2Z9JQDPV	WGS	2719487222	694	0.2551951685544636
BS_30W38X77	WGS	2719487222	458	0.16841410259069786
BS_32HAVF6S	WGS	2719487222	460	0.16914953535310268
BS_32JF8TPP	WGS	2719487222	302	0.11105034712312392
BS_354DTKHE	WGS	2719487222	1024	0.3765415743512546
BS_36HCZ3KW	WGS	2719487222	5264	1.9356590306494184
BS_376Q9QKG	WGS	2719487222	678	0.24931170645522524
BS_39Q80NT3	WGS	2719487222	586	0.2154817993846047
BS_3A0CJMRH	WGS	2719487222	434	0.15958890944184034
BS_3AERRZQT	WGS	2719487222	340	0.12502356960881503
BS_3BMGF6GN	WGS	2719487222	1248	0.4589100437405916
BS_3C4YAMKJ	WGS	2719487222	402	0.14782198524336362
BS_3CG2N4PD	WGS	2719487222	524	0.1926833837500561
BS_3DYRAZE7	WGS	2719487222	196	0.07207241071566983
BS_3E5C1PN1	WGS	2719487222	612	0.22504242529586702
BS_3J4T2YYW	WGS	2719487222	446	0.16400150601626912
BS_3JE2T7AR	WGS	2719487222	556	0.20445030794853278
BS_3MYQP7P5	WGS	2719487222	384	0.1412030903817205
