samples	experimental_strategy	genome_size	breaks_count	breaks_density
BS_007JTNB8	WGS	3088286401	2388	0.7732443465174589
BS_00TRPEQX	WGS	3088286401	3356	1.086686778439109
BS_01DQH017	WGS	3088286401	1676	0.5426957808891378
BS_01Y5F4PN	WGS	3088286401	2063	0.6680079928247562
BS_02W5H7K5	WGS	3088286401	2684	0.8690903794191205
BS_02YBZSBY	WGS	3088286401	2832	0.9170133958699513
BS_02ZSVZCB	WGS	3088286401	7661	2.48066370966091
BS_03SSN1N2	WGS	3088286401	1494	0.4837634228212243
BS_042DVDQM	WGS	3088286401	1744	0.5647144641233034
BS_04B8X54S	WGS	3088286401	1794	0.5809046723837191
BS_05S9WJW6	WGS	3088286401	1302	0.4215930231012276
BS_060QB7XB	WGS	3088286401	1562	0.5057821060553898
BS_06GEF6DB	WGS	3088286401	3301	1.0688775493526517
BS_06GPPDHZ	WGS	3088286401	2156	0.6981217801891296
BS_090GV72Q	WGS	3088286401	2170	0.702655038502046
BS_0ATJ22QA	WGS	3088286401	2833	0.9173372000351596
BS_0DKPGQWD	WGS	3088286401	2494	0.8075675880295404
BS_0EN5R1AP	WGS	3088286401	10530	3.409657859643569
BS_0FQKT8EY	WGS	3088286401	3114	1.0083261704586965
BS_0J5GC803	WGS	3088286401	3668	1.1877136779841035
BS_0J5MCBZV	WGS	3088286401	2900	0.9390320791041168
BS_0Q8G4N8H	WGS	3088286401	5192	1.6811912257615773
BS_0QEBZX3M	WGS	3088286401	1996	0.646313113755799
BS_0RF0G9SQ	WGS	3088286401	2208	0.714959596779962
BS_0S617SMM	WGS	3088286401	3073	0.9950501996851555
BS_0SFXXBQ5	WGS	3088286401	2112	0.6838743969199637
BS_0W8AWY10	WGS	3088286401	2027	0.6563510428772568
BS_0XD58YD9	WGS	3088286401	20666	6.691736878195061
BS_0XR7GYAV	WGS	3088286401	2254	0.7298545883795445
BS_0YVR8Q4E	WGS	3088286401	1534	0.49671558942955696
BS_0ZR4XA69	WGS	3088286401	8123	2.630261233987152
BS_10AD3EFX	WGS	3088286401	33995	11.007722596256707
BS_10HD18B8	WGS	3088286401	1968	0.6372465971299661
BS_10V9SAG8	WGS	3088286401	31874	10.32093396184987
BS_11322HD1	WGS	3088286401	2048	0.6631509303466314
BS_1135HC0V	WGS	3088286401	1661	0.537838718411013
BS_12ZB7R6A	WGS	3088286401	4477	1.4496712476376314
BS_154FP4ZQ	WGS	3088286401	1940	0.6281800805041333
BS_164KRQJ0	WGS	3088286401	1557	0.5041630852293483
BS_16FT8V4B	WGS	3088286401	28204	9.132572675535348
BS_16TBX6G5	WGS	3088286401	2580	0.8354147462374556
BS_17AXPP1Y	WGS	3088286401	41422	13.41261613125887
BS_17FVWMNV	WGS	3088286401	2628	0.8509573461674548
BS_185Q218S	WGS	3088286401	1732	0.5608288141408035
BS_18NCV5QZ	WGS	3088286401	2341	0.7580255507526681
BS_19EJ85F8	WGS	3088286401	2354	0.7622350049003762
BS_1AZ8YJSH	WGS	3088286401	3996	1.2939214441724314
BS_1B4Q7CNG	WGS	3088286401	1498	0.4850586394820576
BS_1C4WCNQF	WGS	3088286401	1938	0.6275324721737167
BS_1CZPVCXR	WGS	3088286401	3535	1.1446477240113975
BS_1EQGGHHQ	WGS	3088286401	1566	0.5070773227162231
BS_1EYKDS0Z	WGS	3088286401	2130	0.6897028718937134
BS_1GK2EMFY	WGS	3088286401	2012	0.6514939803991321
BS_1JGQPJH3	WGS	3088286401	5690	1.8424457000353187
BS_1JMTTKMK	WGS	3088286401	2296	0.7434543633182938
BS_1M63B97V	WGS	3088286401	2749	0.8901376501576611
BS_1MME7FBS	WGS	3088286401	2484	0.8043295463774572
BS_1Q524P3B	WGS	3088286401	57703	18.684471745015465
BS_1RF75MK2	WGS	3088286401	1714	0.5550003391670538
BS_1RFBH1SP	WGS	3088286401	1966	0.6365989887995496
BS_1S2BHJ8K	WGS	3088286401	1668	0.5401053475674713
BS_1S5V7WWC	WGS	3088286401	3414	1.1054674200211914
BS_1VMBA3BN	WGS	3088286401	2146	0.6948837385370464
BS_1YTHM07J	WGS	3088286401	2055	0.6654175595030897
BS_20TBZG09	WGS	3088286401	2220	0.7188452467624619
BS_20X874J5	WGS	3088286401	2518	0.81533888799454
BS_22VCR7DF	WGS	3088286401	37761	12.227169082431226
BS_230S192D	WGS	3088286401	3061	0.9911645497026557
BS_235QEYMQ	WGS	3088286401	1908	0.6178183472174672
BS_23ZE42Q3	WGS	3088286401	3802	1.231103436122018
BS_245CTSH9	WGS	3088286401	1818	0.5886759723487187
BS_25VZM81R	WGS	3088286401	5160	1.6708294924749112
BS_2AWCKNB3	WGS	3088286401	3308	1.0711441785091098
BS_2CD1XWVP	WGS	3088286401	1618	0.5239151393070555
BS_2CQ6K2JW	WGS	3088286401	2420	0.783606079804125
BS_2E81A3FT	WGS	3088286401	2518	0.81533888799454
BS_2F70R10Z	WGS	3088286401	1980	0.641132247112466
BS_2HNHCSNB	WGS	3088286401	2303	0.7457209924747521
BS_2J4FG4HV	WGS	3088286401	4216	1.365158360518261
BS_2JDVY4F7	WGS	3088286401	2832	0.9170133958699513
BS_2NN6ME5A	WGS	3088286401	1972	0.6385418137907994
BS_2P7MJGM7	WGS	3088286401	1798	0.5821998890445524
BS_2RJN5Z4W	WGS	3088286401	1990	0.6443702887645492
BS_2RX2NF1Q	WGS	3088286401	1768	0.5724857640883029
BS_2SG8JNMB	WGS	3088286401	1922	0.6223516055303836
BS_2VB8649B	WGS	3088286401	1550	0.50189645607289
BS_2VHFP7M8	WGS	3088286401	2030	0.6573224553728818
BS_2VSN5YC5	WGS	3088286401	2430	0.7868441214562082
BS_2W200YK5	WGS	3088286401	2422	0.7842536881345417
BS_2Z9JQDPV	WGS	3088286401	2210	0.7156072051103787
BS_30W38X77	WGS	3088286401	2272	0.7356830633532943
BS_3108RS7G	WGS	3088286401	1984	0.6424274637732992
BS_32HAVF6S	WGS	3088286401	2253	0.7295307842143363
BS_32JF8TPP	WGS	3088286401	1693	0.5482004516976792
BS_32VQRFDS	WGS	3088286401	2132	0.69035048022413
BS_354DTKHE	WGS	3088286401	2534	0.8205197546378731
BS_36HCZ3KW	WGS	3088286401	8143	2.636737317291318
BS_376Q9QKG	WGS	3088286401	2458	0.7959106380820411
BS_39Q80NT3	WGS	3088286401	2729	0.8836615668534947
BS_3A0CJMRH	WGS	3088286401	1968	0.6372465971299661
BS_3AERRZQT	WGS	3088286401	1460	0.47275408120414153
BS_3BMGF6GN	WGS	3088286401	3753	1.2152370320268104
BS_3C4YAMKJ	WGS	3088286401	2026	0.6560272387120485
BS_3CG2N4PD	WGS	3088286401	3119	1.009945191284738
BS_3DYRAZE7	WGS	3088286401	1732	0.5608288141408035
BS_3E5C1PN1	WGS	3088286401	3721	1.2048752987401443
BS_3J4T2YYW	WGS	3088286401	1726	0.5588859891495537
BS_3JE2T7AR	WGS	3088286401	1970	0.6378942054603828
BS_3MYQP7P5	WGS	3088286401	3282	1.0627252702136936
BS_3NX3RBCX	WGS	3088286401	4083	1.3220924065455548
BS_3P96RT4E	WGS	3088286401	2403	0.7781014089955837
BS_3QDRWJCF	WGS	3088286401	2000	0.6476083304166322
BS_3R0KN6Z4	WGS	3088286401	1974	0.6391894221212161
BS_3VKW5988	WGS	3088286401	2869	0.928994149982659
BS_3Y44RJXS	WGS	3088286401	2900	0.9390320791041168
BS_3Z40EZHD	WGS	3088286401	3074	0.9953740038503638
BS_3ZASRA3A	WGS	3088286401	3190	1.0329352870145285
BS_3ZMH8578	WGS	3088286401	1840	0.5957996639833016
BS_40FX713C	WGS	3088286401	3906	1.264779069303683
BS_40SJZGT2	WGS	3088286401	2332	0.7551113132657932
BS_41SWNWAG	WGS	3088286401	1968	0.6372465971299661
BS_41TD9XET	WGS	3088286401	2298	0.7441019716487105
BS_42A66SH4	WGS	3088286401	3018	0.9772409705986981
BS_45913DTA	WGS	3088286401	1870	0.6055137889395512
BS_47454JJ6	WGS	3088286401	1822	0.589971189009552
BS_47X3VAM0	WGS	3088286401	1862	0.6029233556178847
BS_49JD1V3S	WGS	3088286401	1476	0.4779349478474746
BS_4DQAQFQH	WGS	3088286401	51636	16.719951874696612
BS_4DTX295Z	WGS	3088286401	2406	0.7790728214912086
BS_4DY83R02	WGS	3088286401	3388	1.0970485117257751
BS_4G9Y2VC6	WGS	3088286401	1426	0.4617447395870588
BS_4GKH983E	WGS	3088286401	1961	0.634979967973508
BS_4M0ZMCDC	WGS	3088286401	1994	0.6456655054253824
