Kids_First_Biospecimen_ID	count_regions_any_conf	count_regions_high_conf	count_regions_low_conf	any_regions	any_regions_logical
BS_K07KNTFY	0	0	0	No Calls	FALSE
BS_TE8QFF7T	0	0	0	No Calls	FALSE
BS_2VB8649B	0	0	0	No Calls	FALSE
BS_MW74GF38	0	0	0	No Calls	FALSE
BS_3JE2T7AR	0	0	0	No Calls	FALSE
BS_B1X2SB4P	0	0	0	No Calls	FALSE
BS_0W8AWY10	0	0	0	No Calls	FALSE
BS_30W38X77	0	0	0	No Calls	FALSE
BS_YPCTK927	0	0	0	No Calls	FALSE
BS_QWS88QXE	0	0	0	No Calls	FALSE
BS_GAA327FP	0	0	0	No Calls	FALSE
BS_354DTKHE	0	0	0	No Calls	FALSE
BS_PDRNE606	0	0	0	No Calls	FALSE
BS_Q807ENGY	0	0	0	No Calls	FALSE
BS_Z4Q8RH5M	0	0	0	No Calls	FALSE
BS_J6VRW67C	0	0	0	No Calls	FALSE
BS_8SYN7GXG	1	1	0	High Confidence	TRUE
BS_HQFNQHVW	0	0	0	No Calls	FALSE
BS_KBPBCWA0	0	0	0	No Calls	FALSE
BS_VQEPFE1P	0	0	0	No Calls	FALSE
BS_VW4XN9Y7	0	0	0	No Calls	FALSE
BS_QSMFVHSB	0	0	0	No Calls	FALSE
BS_KAZENYZE	0	0	0	No Calls	FALSE
BS_9F2J6VS1	0	0	0	No Calls	FALSE
BS_85Y70BHE	0	0	0	No Calls	FALSE
BS_P0KQFXNC	0	0	0	No Calls	FALSE
BS_CXCKHP3Z	0	0	0	No Calls	FALSE
BS_5D24XV4T	0	0	0	No Calls	FALSE
BS_5KK9P7XD	0	0	0	No Calls	FALSE
BS_JDS0SYST	0	0	0	No Calls	FALSE
BS_ETTZM63Y	0	0	0	No Calls	FALSE
BS_MZJJRDZF	0	0	0	No Calls	FALSE
BS_GWPJKM7G	0	0	0	No Calls	FALSE
BS_KYPMZZSY	0	0	0	No Calls	FALSE
BS_376Q9QKG	0	0	0	No Calls	FALSE
BS_7GKF6M85	0	0	0	No Calls	FALSE
BS_C0YDDQKB	0	0	0	No Calls	FALSE
BS_79SYEHY3	1	0	1	Low Confidence	TRUE
BS_THH0CE5A	0	0	0	No Calls	FALSE
BS_F1B71HTZ	0	0	0	No Calls	FALSE
BS_007JTNB8	0	0	0	No Calls	FALSE
BS_KKWQW01N	0	0	0	No Calls	FALSE
BS_8D52JK1Q	0	0	0	No Calls	FALSE
BS_6GTKRGNK	0	0	0	No Calls	FALSE
BS_HSYF7G2D	0	0	0	No Calls	FALSE
BS_JM979K1M	0	0	0	No Calls	FALSE
BS_CGCNC41M	0	0	0	No Calls	FALSE
BS_QXZTRMWM	0	0	0	No Calls	FALSE
BS_A3EV6FXK	0	0	0	No Calls	FALSE
BS_4DTX295Z	1	0	1	Low Confidence	TRUE
BS_BVD7PWP5	0	0	0	No Calls	FALSE
BS_9X9E86DY	0	0	0	No Calls	FALSE
BS_CDKC1E2B	0	0	0	No Calls	FALSE
BS_BBCM52QE	0	0	0	No Calls	FALSE
BS_05S9WJW6	0	0	0	No Calls	FALSE
BS_W50WEJE7	0	0	0	No Calls	FALSE
BS_QZT3SPY7	1	1	0	High Confidence	TRUE
BS_1YTHM07J	0	0	0	No Calls	FALSE
BS_D09VWF8H	0	0	0	No Calls	FALSE
BS_J5J0EA7Y	0	0	0	No Calls	FALSE
BS_AQQY8HMR	0	0	0	No Calls	FALSE
BS_F48RA7QF	0	0	0	No Calls	FALSE
BS_JC2187NA	0	0	0	No Calls	FALSE
BS_CFEWVDG1	0	0	0	No Calls	FALSE
BS_6Z213H2V	0	0	0	No Calls	FALSE
BS_B3RH9V17	0	0	0	No Calls	FALSE
BS_8TFBNHT0	0	0	0	No Calls	FALSE
BS_2VHFP7M8	0	0	0	No Calls	FALSE
BS_B9QP40ER	0	0	0	No Calls	FALSE
BS_YBCQBCQC	0	0	0	No Calls	FALSE
BS_17AXPP1Y	0	0	0	No Calls	FALSE
BS_ST3Z2B9B	0	0	0	No Calls	FALSE
BS_CQ8C6X4X	0	0	0	No Calls	FALSE
BS_AJFG2QDD	0	0	0	No Calls	FALSE
BS_M28HG0NT	0	0	0	No Calls	FALSE
BS_5RD8KEED	0	0	0	No Calls	FALSE
BS_ZJZFT0AJ	0	0	0	No Calls	FALSE
