gene	gain	loss	neutral	detection_peak
A4GALT	2	273	640	Deletion Peak 22
AASDHPPT	10	253	652	Deletion Peak 14
ABCB10	30	235	650	Amplification Peak  2
ABCC13	7	244	664	Deletion Peak 20
ABCC4	4	249	662	Deletion Peak 15
ABCG4	9	254	652	Deletion Peak 14
ABHD13	6	247	662	Deletion Peak 15
ABHD14A	4	251	660	Deletion Peak  2
ABHD14A-ACY1	4	251	660	Deletion Peak  2
ABHD14B	4	251	660	Deletion Peak  2
ABHD6	3	252	660	Deletion Peak  2
ABLIM1	3	270	642	Deletion Peak 11, Deletion Peak 10
ABRACL	11	265	639	Deletion Peak  7
ACADSB	3	271	641	Deletion Peak 11, Deletion Peak 10
ACAT1	10	253	652	Deletion Peak 14
ACAT2	10	263	642	Deletion Peak  7
ACBD3	29	236	650	Amplification Peak  2
ACCS	9	259	647	Deletion Peak 13
ACCSL	9	259	647	Deletion Peak 13
ACOD1	4	245	666	Deletion Peak 15
ACOX2	3	252	660	Deletion Peak  2
ACR	0	26	889	Deletion Peak 22
ACRV1	9	253	653	Deletion Peak 14
ACSL5	3	270	642	Deletion Peak 11, Deletion Peak 10
ACTA1	30	235	650	Amplification Peak  2
ACTN2	26	236	653	Amplification Peak  2
ACTR8	4	252	659	Deletion Peak  2
ACY1	4	251	660	Deletion Peak  2
ADAD2	5	253	657	Deletion Peak 17
ADAM12	4	264	647	Deletion Peak 11
ADAM19	12	252	651	Deletion Peak  4
ADAM8	3	260	652	Deletion Peak 11
ADAMTS1	7	241	667	Deletion Peak 20
ADAMTS18	6	253	656	Deletion Peak 17
ADAMTS5	6	241	668	Deletion Peak 20
ADAMTS9	3	249	663	Deletion Peak  2
ADAMTS9-AS1	3	249	663	Deletion Peak  2
ADAMTS9-AS2	3	249	663	Deletion Peak  2
ADAT1	6	253	656	Deletion Peak 17
ADAT2	13	263	639	Deletion Peak  7
ADD3	2	271	642	Deletion Peak 11, Deletion Peak 10
