gene	gain	loss	neutral	detection_peak
A4GALT	6	60	849	Deletion Peak 22
AASDHPPT	13	40	862	Deletion Peak 14
ABCB10	41	14	860	Amplification Peak  2
ABCC13	15	19	881	Deletion Peak 20
ABCC4	6	29	880	Deletion Peak 15
ABCG4	13	40	862	Deletion Peak 14
ABHD13	6	29	880	Deletion Peak 15
ABHD14A	7	28	880	Deletion Peak  2
ABHD14A-ACY1	7	28	880	Deletion Peak  2
ABHD14B	7	28	880	Deletion Peak  2
ABHD6	7	28	880	Deletion Peak  2
ABLIM1	3	62	850	Deletion Peak 11, Deletion Peak 10
ABRACL	20	43	852	Deletion Peak  7
ACADSB	3	62	850	Deletion Peak 11, Deletion Peak 10
ACAT1	13	40	862	Deletion Peak 14
ACAT2	20	43	852	Deletion Peak  7
ACBD3	41	14	860	Amplification Peak  2
ACCS	14	40	861	Deletion Peak 13
ACCSL	14	40	861	Deletion Peak 13
ACOD1	6	29	880	Deletion Peak 15
ACOX2	7	28	880	Deletion Peak  2
ACR	6	60	849	Deletion Peak 22
ACRV1	13	40	862	Deletion Peak 14
ACSL5	3	62	850	Deletion Peak 11, Deletion Peak 10
ACTA1	41	14	860	Amplification Peak  2
ACTN2	41	14	860	Amplification Peak  2
ACTR8	7	28	880	Deletion Peak  2
ACY1	7	28	880	Deletion Peak  2
ADAD2	12	35	868	Deletion Peak 17
ADAM12	3	62	850	Deletion Peak 11
ADAM19	16	35	864	Deletion Peak  4
ADAM8	3	62	850	Deletion Peak 11
ADAMTS1	15	19	881	Deletion Peak 20
ADAMTS18	12	35	868	Deletion Peak 17
ADAMTS5	15	19	881	Deletion Peak 20
ADAMTS9	7	28	880	Deletion Peak  2
ADAMTS9-AS1	7	28	880	Deletion Peak  2
ADAMTS9-AS2	7	28	880	Deletion Peak  2
ADAT1	12	35	868	Deletion Peak 17
ADAT2	20	43	852	Deletion Peak  7
ADD3	3	62	850	Deletion Peak 11, Deletion Peak 10
ADD3-AS1	3	62	850	Deletion Peak 11, Deletion Peak 10
ADGB	20	43	852	Deletion Peak  7
ADGRA1	3	62	850	Deletion Peak 11
ADGRA1-AS1	3	62	850	Deletion Peak 11
ADGRG6	20	43	852	Deletion Peak  7
ADM2	6	60	849	Deletion Peak 22
ADRA1B	16	35	864	Deletion Peak  4
ADRA2A	3	62	850	Deletion Peak 11, Deletion Peak 10
