gene	gain	loss	neutral	detection_peak
A3GALT2	0	4	238	Deletion Peak 2, Deletion Peak 1
AADACL3	0	4	238	Deletion Peak 2, Deletion Peak 1
AADACL4	0	4	238	Deletion Peak 2, Deletion Peak 1
ABCA4	0	4	238	Deletion Peak 2, Deletion Peak 1
ABCD3	0	4	238	Deletion Peak 2, Deletion Peak 1
ACADM	0	4	238	Deletion Peak 2, Deletion Peak 1
ACAP3	0	4	238	Deletion Peak 2, Deletion Peak 1
ACOT11	0	4	238	Deletion Peak 2, Deletion Peak 1
ACOT7	0	4	238	Deletion Peak 2, Deletion Peak 1
ACTG1P20	0	4	238	Deletion Peak 2, Deletion Peak 1
ACTG1P4	0	4	238	Deletion Peak 2, Deletion Peak 1
ACTL8	0	4	238	Deletion Peak 2, Deletion Peak 1
ACTRT2	0	4	238	Deletion Peak 2, Deletion Peak 1
ADGRB2	0	4	238	Deletion Peak 2, Deletion Peak 1
ADGRL2	0	4	238	Deletion Peak 2, Deletion Peak 1
ADGRL4	0	4	238	Deletion Peak 2, Deletion Peak 1
ADPRHL2	0	4	238	Deletion Peak 2, Deletion Peak 1
AGBL4	0	4	238	Deletion Peak 2, Deletion Peak 1
AGBL4-IT1	0	4	238	Deletion Peak 2, Deletion Peak 1
AGL	0	4	238	Deletion Peak 2, Deletion Peak 1
AGMAT	0	4	238	Deletion Peak 2, Deletion Peak 1
AGO1	0	4	238	Deletion Peak 2, Deletion Peak 1
AGO3	0	4	238	Deletion Peak 2, Deletion Peak 1
AGO4	0	4	238	Deletion Peak 2, Deletion Peak 1
AGTRAP	0	4	238	Deletion Peak 2, Deletion Peak 1
AHDC1	0	4	238	Deletion Peak 2, Deletion Peak 1
AIM1L	0	4	238	Deletion Peak 2, Deletion Peak 1
AJAP1	0	4	238	Deletion Peak 2, Deletion Peak 1
AK2	0	4	238	Deletion Peak 2, Deletion Peak 1
AK4	0	4	238	Deletion Peak 2, Deletion Peak 1
AK5	0	4	238	Deletion Peak 2, Deletion Peak 1
AKIRIN1	0	4	238	Deletion Peak 2, Deletion Peak 1
AKNAD1	0	4	238	Deletion Peak 2, Deletion Peak 1
AKR1A1	0	4	238	Deletion Peak 2, Deletion Peak 1
AKR7A2	0	4	238	Deletion Peak 2, Deletion Peak 1
AKR7A3	0	4	238	Deletion Peak 2, Deletion Peak 1
AKR7L	0	4	238	Deletion Peak 2, Deletion Peak 1
ALDH4A1	0	4	238	Deletion Peak 2, Deletion Peak 1
ALG14	0	4	238	Deletion Peak 2, Deletion Peak 1
ALG6	0	4	238	Deletion Peak 2, Deletion Peak 1
ALPL	0	4	238	Deletion Peak 2, Deletion Peak 1
AMIGO1	0	4	238	Deletion Peak 2, Deletion Peak 1
AMPD2	0	4	238	Deletion Peak 2, Deletion Peak 1
AMY1A	0	4	238	Deletion Peak 2, Deletion Peak 1
AMY1B	0	4	238	Deletion Peak 2, Deletion Peak 1
AMY1C	0	4	238	Deletion Peak 2, Deletion Peak 1
AMY2A	0	4	238	Deletion Peak 2, Deletion Peak 1
AMY2B	0	4	238	Deletion Peak 2, Deletion Peak 1
ANGPTL3	0	4	238	Deletion Peak 2, Deletion Peak 1
ANGPTL7	0	4	238	Deletion Peak 2, Deletion Peak 1
ANKRD13C	0	4	238	Deletion Peak 2, Deletion Peak 1
ANKRD65	0	4	238	Deletion Peak 2, Deletion Peak 1
APITD1-CORT	0	4	238	Deletion Peak 2, Deletion Peak 1
ARHGAP29	0	4	238	Deletion Peak 2, Deletion Peak 1
ARHGEF10L	0	4	238	Deletion Peak 2, Deletion Peak 1
ARHGEF16	0	4	238	Deletion Peak 2, Deletion Peak 1
ARHGEF19	0	4	238	Deletion Peak 2, Deletion Peak 1
ARID1A	0	4	238	Deletion Peak 2, Deletion Peak 1
ARTN	0	4	238	Deletion Peak 2, Deletion Peak 1
ASAP3	0	4	238	Deletion Peak 2, Deletion Peak 1
ASB17	0	4	238	Deletion Peak 2, Deletion Peak 1
ATAD3A	0	4	238	Deletion Peak 2, Deletion Peak 1
ATAD3B	0	4	238	Deletion Peak 2, Deletion Peak 1
ATAD3C	0	4	238	Deletion Peak 2, Deletion Peak 1
ATG4C	0	4	238	Deletion Peak 2, Deletion Peak 1
ATP13A2	0	4	238	Deletion Peak 2, Deletion Peak 1
ATP6V0B	0	4	238	Deletion Peak 2, Deletion Peak 1
ATPAF1	0	4	238	Deletion Peak 2, Deletion Peak 1
ATPIF1	0	4	238	Deletion Peak 2, Deletion Peak 1
ATXN7L2	0	4	238	Deletion Peak 2, Deletion Peak 1
AUNIP	0	4	238	Deletion Peak 2, Deletion Peak 1
AURKAIP1	0	4	238	Deletion Peak 2, Deletion Peak 1
AZIN2	0	4	238	Deletion Peak 2, Deletion Peak 1
B4GALT2	0	4	238	Deletion Peak 2, Deletion Peak 1
BARHL2	0	4	238	Deletion Peak 2, Deletion Peak 1
BCAR3	0	4	238	Deletion Peak 2, Deletion Peak 1
BCL10	0	4	238	Deletion Peak 2, Deletion Peak 1
BEND5	0	4	238	Deletion Peak 2, Deletion Peak 1
BEST4	0	4	238	Deletion Peak 2, Deletion Peak 1
BMP8A	0	4	238	Deletion Peak 2, Deletion Peak 1
BMP8B	0	4	238	Deletion Peak 2, Deletion Peak 1
BRDT	0	4	238	Deletion Peak 2, Deletion Peak 1
BSDC1	0	4	238	Deletion Peak 2, Deletion Peak 1
BSND	0	4	238	Deletion Peak 2, Deletion Peak 1
BTBD19	0	4	238	Deletion Peak 2, Deletion Peak 1
BTBD8	0	4	238	Deletion Peak 2, Deletion Peak 1
BTF3L4	0	4	238	Deletion Peak 2, Deletion Peak 1
BTNL3	3	4	235	Deletion Peak 3
BTNL8	3	4	235	Deletion Peak 3
BTNL9	3	4	235	Deletion Peak 3
C1orf109	0	4	238	Deletion Peak 2, Deletion Peak 1
C1orf122	0	4	238	Deletion Peak 2, Deletion Peak 1
C1orf123	0	4	238	Deletion Peak 2, Deletion Peak 1
C1orf127	0	4	238	Deletion Peak 2, Deletion Peak 1
C1orf141	0	4	238	Deletion Peak 2, Deletion Peak 1
C1orf146	0	4	238	Deletion Peak 2, Deletion Peak 1
C1orf158	0	4	238	Deletion Peak 2, Deletion Peak 1
C1orf167	0	4	238	Deletion Peak 2, Deletion Peak 1
C1orf168	0	4	238	Deletion Peak 2, Deletion Peak 1
C1orf174	0	4	238	Deletion Peak 2, Deletion Peak 1
C1orf185	0	4	238	Deletion Peak 2, Deletion Peak 1
C1orf194	0	4	238	Deletion Peak 2, Deletion Peak 1
C1orf195	0	4	238	Deletion Peak 2, Deletion Peak 1
C1orf210	0	4	238	Deletion Peak 2, Deletion Peak 1
C1orf216	0	4	238	Deletion Peak 2, Deletion Peak 1
C1orf228	0	4	238	Deletion Peak 2, Deletion Peak 1
C1orf234	0	4	238	Deletion Peak 2, Deletion Peak 1
C1orf50	0	4	238	Deletion Peak 2, Deletion Peak 1
C1orf52	0	4	238	Deletion Peak 2, Deletion Peak 1
C1orf64	0	4	238	Deletion Peak 2, Deletion Peak 1
C1orf87	0	4	238	Deletion Peak 2, Deletion Peak 1
C1orf94	0	4	238	Deletion Peak 2, Deletion Peak 1
C1QA	0	4	238	Deletion Peak 2, Deletion Peak 1
C1QB	0	4	238	Deletion Peak 2, Deletion Peak 1
C1QC	0	4	238	Deletion Peak 2, Deletion Peak 1
C8A	0	4	238	Deletion Peak 2, Deletion Peak 1
C8B	0	4	238	Deletion Peak 2, Deletion Peak 1
CA6	0	4	238	Deletion Peak 2, Deletion Peak 1
CACHD1	0	4	238	Deletion Peak 2, Deletion Peak 1
CALML6	0	4	238	Deletion Peak 2, Deletion Peak 1
CAMK2N1	0	4	238	Deletion Peak 2, Deletion Peak 1
CAMTA1	0	4	238	Deletion Peak 2, Deletion Peak 1
CAP1	0	4	238	Deletion Peak 2, Deletion Peak 1
