sample	caller
BS_KCN7NG92	freec
BS_8BS10XE2	freec
BS_5968GBGT	cnvkit
BS_5968GBGT	freec
BS_9GJHMA3J	cnvkit
BS_SDT1J3A7	cnvkit
BS_8BD8WD38	freec
BS_RGSJMSRE	freec
BS_Y74XAFJX	cnvkit
BS_AM2TZPNS	manta
BS_AM2TZPNS	cnvkit
BS_0Q8G4N8H	freec
BS_BAVWP5JG	freec
BS_R8ZKDFWH	freec
BS_A1DV9T7G	cnvkit
BS_A1DV9T7G	freec
BS_MZB884N9	cnvkit
BS_MZB884N9	freec
BS_X1DSETVE	freec
BS_PKZ1HWNB	freec
BS_BR1X3R68	freec
BS_MW74GF38	freec
BS_T8C13KNH	cnvkit
BS_Z9NCH2XA	cnvkit
BS_XM302FF4	freec
BS_E5H6CFYT	freec
BS_PEFRDKDZ	freec
BS_6Z4WHYDG	cnvkit
BS_WXKCR17Q	freec
BS_AVS4DSZW	cnvkit
BS_742CDKAS	freec
BS_10V9SAG8	manta
BS_10V9SAG8	cnvkit
BS_01DQH017	freec
BS_HBAKYKQM	freec
BS_ASXY97FK	freec
BS_ST3Z2B9B	manta
BS_5J5VH3X0	cnvkit
BS_H50HR85Y	freec
BS_G4EX0H98	freec
BS_JM979K1M	freec
BS_SFH8TGKT	freec
BS_W3R2DQ86	freec
BS_41TD9XET	freec
BS_HYKV2TH9	cnvkit
BS_0ZR4XA69	cnvkit
BS_YZ0P5E8H	cnvkit
BS_HYGK88B0	manta
BS_W74D279Q	freec
BS_1CZPVCXR	freec
BS_DMBNB0EP	cnvkit
BS_10AD3EFX	cnvkit
BS_AHT9PKVE	cnvkit
BS_AHT9PKVE	freec
BS_6F49F7WH	freec
BS_QXZTRMWM	manta
BS_N9N1X78X	cnvkit
BS_MDVMT75X	cnvkit
BS_A94A7EJ4	freec
BS_FG649AWK	cnvkit
BS_WP2D11SK	freec
BS_QMG7XNEW	freec
BS_KFRBXXV7	freec
BS_9M49SGAQ	freec
BS_9R82A3VT	cnvkit
BS_AGD2ATY1	cnvkit
BS_S7S6YEHA	manta
BS_S7S6YEHA	cnvkit
BS_TF5TTEXH	freec
BS_FYJMNRGK	freec
BS_AFBPM6CN	cnvkit
BS_JC8YV5V9	cnvkit
BS_JC8YV5V9	freec
BS_R3WB0PP7	cnvkit
BS_8H2XX24V	freec
BS_17AXPP1Y	cnvkit
BS_22VCR7DF	cnvkit
BS_BM95DGCQ	freec
BS_QHTDJG77	freec
BS_0EN5R1AP	cnvkit
BS_CPYV7AHD	freec
BS_FVYBGMG1	cnvkit
BS_6JBE0947	cnvkit
BS_74A1TB03	cnvkit
BS_1Q524P3B	cnvkit
BS_B91XGSA5	freec
BS_X5VN0FW0	cnvkit
BS_CXCKHP3Z	freec
BS_EE73VE7V	cnvkit
BS_GS9JCK55	freec
BS_FF73TT6D	freec
BS_D6STCMQS	cnvkit
BS_Z5VJCFNP	cnvkit
BS_HTGDSPQA	freec
BS_K14VJ1E3	manta
BS_K14VJ1E3	cnvkit
BS_164KRQJ0	freec
BS_VVD8TJNE	freec
BS_QZRP3NSG	freec
BS_ZR75EKKX	freec
BS_MGY2V5N4	freec
BS_58X7SKJS	cnvkit
BS_16FT8V4B	manta
BS_16FT8V4B	cnvkit
BS_WJB33V17	freec
BS_XBE002WV	freec
BS_YHXMYDBN	cnvkit
BS_9X9E86DY	cnvkit
BS_SFZ3A07S	cnvkit
BS_D09VWF8H	cnvkit
BS_B3RH9V17	freec
BS_7PF3C1P7	freec
BS_5NAKYS1S	freec
BS_VXDGXQKZ	cnvkit
BS_ACE6QKVF	freec
BS_JQNF0FQP	cnvkit
BS_KSHETTQC	freec
BS_Y43VC4VG	cnvkit
BS_J8EK6RNF	freec
BS_79NQJZ09	freec
BS_WH8KWW5J	cnvkit
BS_WH8KWW5J	freec
BS_9DM8H1RX	cnvkit
BS_9DM8H1RX	freec
BS_85Y70BHE	freec
BS_NFT9VHMJ	freec
BS_CGCNC41M	cnvkit
BS_ERMGD2N5	cnvkit
BS_ERMGD2N5	freec
BS_0XR7GYAV	freec
BS_S34SCYW4	cnvkit
BS_Z34PQDYT	freec
BS_MWXDJFWW	cnvkit
BS_8Q8N6AHW	cnvkit
BS_EFBBP9H3	cnvkit
BS_02ZSVZCB	manta
BS_AF5D41PD	cnvkit
BS_JGKRN7NA	cnvkit
BS_ERAWW3H7	cnvkit
BS_J8EH1N7V	cnvkit
BS_J8EH1N7V	freec
BS_7F07M7JG	freec
BS_A9S5HT6P	cnvkit
BS_A9S5HT6P	freec
BS_NMQTPVFW	cnvkit
BS_NMQTPVFW	freec
BS_ZX1YPQ88	manta
BS_ZX1YPQ88	cnvkit
BS_PMFR8NPN	freec
BS_HN8DE43A	cnvkit
BS_AFAHY6HP	manta
BS_AFAHY6HP	cnvkit
BS_8WJR4AA3	cnvkit
BS_XSWF2MR1	manta
BS_XSWF2MR1	cnvkit
BS_DVDT4VXQ	cnvkit
BS_E8SJ36A6	cnvkit
BS_1EYKDS0Z	freec
BS_MJ8EGM54	cnvkit
BS_MJ8EGM54	freec
BS_89RCN9PF	freec
BS_N9SMBR24	cnvkit
BS_VQC2PE2B	freec
BS_9JVGXA2W	freec
BS_96S0VQBN	freec
BS_59FR1NC2	freec
BS_0XD58YD9	cnvkit
BS_GXACEYKB	freec
BS_AWDQEKK1	cnvkit
BS_HW4MYBZ2	manta
BS_HW4MYBZ2	cnvkit
BS_4DQAQFQH	cnvkit
BS_4DQAQFQH	freec
BS_Z5D6G1S6	cnvkit
