region	status	short_histology	count	region_type
10p	gain	All	7	arm
10p	loss	All	246	arm
10p	loss	ATRT	7	arm
10p	loss	Choroid plexus tumor	8	arm
10p	loss	DNET	5	arm
10p	loss	Dysplasia	4	arm
10p	loss	Ependymoma	20	arm
10p	loss	Ganglioglioma	11	arm
10p	loss	HGAT	48	arm
10p	loss	LGAT	62	arm
10p	loss	Medulloblastoma	31	arm
10p	loss	Meningioma	8	arm
10p	loss	Neurofibroma	5	arm
10p	loss	Other	10	arm
10p	loss	Schwannoma	5	arm
10p	loss	Teratoma	4	arm
10p11.22	loss	All	7	cytoband
10p11.22	loss	HGAT	6	cytoband
10p11.23	loss	All	7	cytoband
10p11.23	loss	HGAT	6	cytoband
10p12.1	loss	All	5	cytoband
10p12.1	loss	HGAT	5	cytoband
10p12.2	loss	All	5	cytoband
10p12.2	loss	HGAT	5	cytoband
10p12.31	gain	All	4	cytoband
10p12.32	gain	All	5	cytoband
10p12.32	gain	HGAT	4	cytoband
10p12.33	gain	All	5	cytoband
10p12.33	gain	HGAT	4	cytoband
10p13	gain	All	5	cytoband
10p13	gain	HGAT	4	cytoband
10p14	gain	All	4	cytoband
10p15.1	gain	All	5	cytoband
10p15.1	loss	All	4	cytoband
10p15.1	gain	HGAT	4	cytoband
10p15.2	gain	All	5	cytoband
10p15.2	loss	All	4	cytoband
10p15.2	gain	HGAT	4	cytoband
10p15.3	loss	All	4	cytoband
10q	loss	All	244	arm
10q	loss	ATRT	7	arm
10q	loss	Choroid plexus tumor	7	arm
10q	loss	DNET	5	arm
10q	loss	Dysplasia	4	arm
10q	loss	Ependymoma	18	arm
10q	loss	Ganglioglioma	11	arm
10q	loss	HGAT	50	arm
10q	loss	LGAT	62	arm
10q	loss	Medulloblastoma	31	arm
10q	loss	Meningioma	8	arm
10q	loss	Neurofibroma	5	arm
10q	loss	Other	10	arm
10q	loss	Schwannoma	5	arm
10q11.23	loss	All	6	cytoband
10q21.1	loss	All	5	cytoband
10q21.2	loss	All	9	cytoband
10q21.3	loss	All	11	cytoband
10q22.1	loss	All	15	cytoband
10q22.1	loss	HGAT	5	cytoband
10q22.1	loss	Medulloblastoma	4	cytoband
10q22.2	loss	All	17	cytoband
10q22.2	loss	HGAT	8	cytoband
10q22.2	loss	Medulloblastoma	4	cytoband
10q22.3	loss	All	17	cytoband
10q22.3	loss	HGAT	8	cytoband
10q22.3	loss	Medulloblastoma	4	cytoband
10q23.1	loss	All	20	cytoband
10q23.1	loss	HGAT	9	cytoband
10q23.1	loss	Medulloblastoma	7	cytoband
10q23.2	loss	All	20	cytoband
10q23.2	loss	HGAT	8	cytoband
10q23.2	loss	Medulloblastoma	8	cytoband
10q23.31	loss	All	27	cytoband
10q23.31	loss	HGAT	12	cytoband
10q23.31	loss	Medulloblastoma	9	cytoband
10q23.32	loss	All	28	cytoband
10q23.32	loss	HGAT	12	cytoband
10q23.32	loss	Medulloblastoma	10	cytoband
10q23.33	loss	All	28	cytoband
10q23.33	loss	HGAT	12	cytoband
10q23.33	loss	Medulloblastoma	10	cytoband
10q24.1	loss	All	28	cytoband
10q24.1	loss	HGAT	12	cytoband
10q24.1	loss	Medulloblastoma	10	cytoband
10q24.2	loss	All	26	cytoband
10q24.2	loss	HGAT	11	cytoband
10q24.2	loss	Medulloblastoma	10	cytoband
10q24.31	loss	All	25	cytoband
10q24.31	loss	HGAT	10	cytoband
10q24.31	loss	Medulloblastoma	10	cytoband
10q24.32	loss	All	26	cytoband
10q24.32	loss	HGAT	11	cytoband
10q24.32	loss	Medulloblastoma	10	cytoband
10q24.33	loss	All	25	cytoband
10q24.33	loss	HGAT	10	cytoband
10q24.33	loss	Medulloblastoma	10	cytoband
10q25.1	loss	All	27	cytoband
10q25.1	loss	HGAT	11	cytoband
10q25.1	loss	Medulloblastoma	11	cytoband
10q25.2	loss	All	25	cytoband
10q25.2	loss	HGAT	11	cytoband
10q25.2	loss	Medulloblastoma	10	cytoband
10q25.3	loss	All	26	cytoband
10q25.3	loss	HGAT	12	cytoband
10q25.3	loss	Medulloblastoma	10	cytoband
10q26.11	loss	All	28	cytoband
10q26.11	loss	HGAT	12	cytoband
10q26.11	loss	Medulloblastoma	10	cytoband
10q26.12	loss	All	28	cytoband
10q26.12	loss	HGAT	12	cytoband
10q26.12	loss	Medulloblastoma	10	cytoband
10q26.13	loss	All	25	cytoband
10q26.13	loss	HGAT	11	cytoband
10q26.13	loss	Medulloblastoma	10	cytoband
10q26.2	loss	All	19	cytoband
10q26.2	loss	HGAT	9	cytoband
10q26.2	loss	Medulloblastoma	7	cytoband
10q26.3	loss	All	16	cytoband
10q26.3	loss	HGAT	6	cytoband
10q26.3	loss	Medulloblastoma	7	cytoband
11p	loss	All	241	arm
11p	loss	ATRT	7	arm
11p	loss	Choroid plexus tumor	7	arm
11p	loss	DNET	5	arm
11p	loss	Dysplasia	4	arm
11p	loss	Ependymoma	16	arm
11p	loss	Ganglioglioma	11	arm
11p	loss	HGAT	50	arm
11p	loss	LGAT	62	arm
11p	loss	Medulloblastoma	30	arm
11p	loss	Meningioma	8	arm
11p	loss	Neurofibroma	5	arm
11p	loss	Other	10	arm
11p	loss	Schwannoma	5	arm
11p11.12	gain	All	4	cytoband
11p11.2	gain	All	5	cytoband
11p11.2	loss	All	10	cytoband
11p11.2	loss	HGAT	6	cytoband
11p12	gain	All	7	cytoband
11p12	loss	All	14	cytoband
11p12	loss	HGAT	7	cytoband
11p12	loss	Medulloblastoma	6	cytoband
11p13	gain	All	7	cytoband
11p13	loss	All	14	cytoband
11p13	loss	HGAT	6	cytoband
11p13	loss	Medulloblastoma	6	cytoband
11p14.1	gain	All	7	cytoband
11p14.1	loss	All	15	cytoband
11p14.1	loss	HGAT	7	cytoband
11p14.1	loss	Medulloblastoma	5	cytoband
11p14.2	gain	All	7	cytoband
11p14.2	loss	All	19	cytoband
11p14.2	loss	HGAT	11	cytoband
11p14.2	loss	Medulloblastoma	5	cytoband
11p14.3	gain	All	7	cytoband
11p14.3	loss	All	17	cytoband
11p14.3	loss	HGAT	10	cytoband
11p14.3	loss	Medulloblastoma	5	cytoband
11p15.1	gain	All	8	cytoband
11p15.1	loss	All	15	cytoband
11p15.1	loss	HGAT	8	cytoband
11p15.1	loss	Medulloblastoma	5	cytoband
11p15.2	gain	All	8	cytoband
11p15.2	loss	All	17	cytoband
11p15.2	loss	HGAT	11	cytoband
11p15.2	loss	Medulloblastoma	5	cytoband
11p15.3	gain	All	8	cytoband
11p15.3	loss	All	19	cytoband
11p15.3	loss	HGAT	11	cytoband
11p15.3	loss	Medulloblastoma	6	cytoband
11p15.4	gain	All	4	cytoband
11p15.4	loss	All	13	cytoband
11p15.4	loss	HGAT	7	cytoband
11q	loss	All	238	arm
11q	loss	ATRT	7	arm
11q	loss	Choroid plexus tumor	7	arm
11q	loss	DNET	5	arm
11q	loss	Dysplasia	4	arm
11q	loss	Ependymoma	16	arm
11q	loss	Ganglioglioma	11	arm
11q	loss	HGAT	50	arm
11q	loss	LGAT	62	arm
11q	loss	Medulloblastoma	30	arm
11q	loss	Meningioma	8	arm
11q	loss	Neurofibroma	5	arm
11q	loss	Other	8	arm
11q	loss	Schwannoma	5	arm
11q12.1	gain	All	4	cytoband
11q12.3	gain	All	5	cytoband
11q12.3	loss	All	5	cytoband
11q13.1	gain	All	6	cytoband
11q13.1	loss	All	4	cytoband
11q13.2	gain	All	6	cytoband
11q13.2	loss	All	4	cytoband
11q13.3	gain	All	8	cytoband
11q13.4	gain	All	6	cytoband
11q13.4	loss	All	4	cytoband
11q13.5	gain	All	6	cytoband
11q14.1	gain	All	6	cytoband
11q14.2	gain	All	5	cytoband
11q14.2	loss	All	6	cytoband
11q14.3	loss	All	5	cytoband
11q21	gain	All	4	cytoband
11q21	loss	All	12	cytoband
11q22.1	gain	All	4	cytoband
11q22.1	loss	All	12	cytoband
11q22.2	gain	All	6	cytoband
11q22.2	loss	All	13	cytoband
11q22.3	gain	All	5	cytoband
11q22.3	loss	All	13	cytoband
11q23.1	gain	All	4	cytoband
11q23.1	loss	All	15	cytoband
11q23.2	gain	All	4	cytoband
11q23.2	loss	All	18	cytoband
11q23.2	loss	Medulloblastoma	4	cytoband
11q23.3	gain	All	4	cytoband
11q23.3	loss	All	15	cytoband
11q24.1	gain	All	5	cytoband
11q24.1	loss	All	15	cytoband
11q24.2	gain	All	5	cytoband
11q24.2	loss	All	13	cytoband
11q24.3	gain	All	5	cytoband
11q24.3	loss	All	12	cytoband
11q25	gain	All	5	cytoband
11q25	loss	All	10	cytoband
12p	gain	All	6	arm
12p	loss	All	229	arm
12p	loss	ATRT	7	arm
12p	loss	Choroid plexus tumor	7	arm
12p	loss	DNET	4	arm
12p	loss	Dysplasia	4	arm
12p	loss	Ependymoma	16	arm
12p	loss	Ganglioglioma	11	arm
12p	loss	HGAT	45	arm
12p	loss	LGAT	62	arm
12p	loss	Medulloblastoma	27	arm
12p	loss	Meningioma	8	arm
12p	loss	Neurofibroma	5	arm
12p	loss	Other	8	arm
12p	loss	Schwannoma	5	arm
12p11.1	gain	All	4	cytoband
12p11.21	gain	All	7	cytoband
12p11.21	loss	All	6	cytoband
12p11.22	gain	All	8	cytoband
12p11.22	loss	All	6	cytoband
12p11.23	gain	All	9	cytoband
12p11.23	loss	All	6	cytoband
12p12.1	gain	All	8	cytoband
12p12.1	loss	All	4	cytoband
12p12.2	gain	All	8	cytoband
12p12.2	loss	All	13	cytoband
12p12.2	gain	Medulloblastoma	4	cytoband
12p12.2	loss	HGAT	6	cytoband
12p12.3	gain	All	8	cytoband
12p12.3	loss	All	8	cytoband
12p12.3	gain	Medulloblastoma	4	cytoband
12p13.1	gain	All	9	cytoband
12p13.1	loss	All	9	cytoband
12p13.1	gain	Medulloblastoma	4	cytoband
12p13.2	gain	All	7	cytoband
12p13.2	loss	All	7	cytoband
12p13.31	loss	All	5	cytoband
12p13.32	gain	All	9	cytoband
12p13.32	gain	Medulloblastoma	4	cytoband
12p13.33	gain	All	4	cytoband
12q	gain	All	10	arm
12q	loss	All	234	arm
12q	loss	ATRT	7	arm
12q	loss	Choroid plexus tumor	6	arm
12q	loss	DNET	5	arm
12q	loss	Dysplasia	4	arm
12q	loss	Ependymoma	16	arm
12q	loss	Ganglioglioma	11	arm
12q	loss	HGAT	47	arm
12q	loss	LGAT	62	arm
12q	loss	Medulloblastoma	29	arm
12q	loss	Meningioma	8	arm
12q	loss	Neurofibroma	5	arm
12q	loss	Other	9	arm
12q	loss	Schwannoma	5	arm
12q12	loss	All	5	cytoband
12q13.11	loss	All	6	cytoband
12q13.11	loss	Medulloblastoma	4	cytoband
12q13.12	loss	All	5	cytoband
12q13.12	loss	Medulloblastoma	4	cytoband
12q13.13	gain	All	4	cytoband
12q13.13	loss	All	5	cytoband
12q13.13	loss	Medulloblastoma	4	cytoband
12q13.2	gain	All	4	cytoband
12q13.2	loss	All	6	cytoband
12q13.2	loss	Medulloblastoma	4	cytoband
12q13.3	loss	All	6	cytoband
12q13.3	loss	Medulloblastoma	4	cytoband
12q14.1	loss	All	6	cytoband
12q14.1	loss	Medulloblastoma	4	cytoband
12q14.2	loss	All	9	cytoband
12q14.2	loss	HGAT	5	cytoband
12q14.2	loss	Medulloblastoma	4	cytoband
12q14.3	loss	All	8	cytoband
12q14.3	loss	HGAT	4	cytoband
12q14.3	loss	Medulloblastoma	4	cytoband
12q15	loss	All	7	cytoband
12q15	loss	Medulloblastoma	4	cytoband
12q21.1	loss	All	9	cytoband
12q21.1	loss	HGAT	5	cytoband
12q21.1	loss	Medulloblastoma	4	cytoband
12q21.2	loss	All	8	cytoband
12q21.2	loss	HGAT	4	cytoband
12q21.2	loss	Medulloblastoma	4	cytoband
12q21.31	loss	All	6	cytoband
12q21.32	loss	All	5	cytoband
12q21.33	loss	All	5	cytoband
12q22	loss	All	8	cytoband
12q22	loss	HGAT	6	cytoband
12q23.1	loss	All	5	cytoband
12q23.2	loss	All	4	cytoband
12q23.3	loss	All	4	cytoband
12q24.12	loss	All	4	cytoband
12q24.13	gain	All	4	cytoband
12q24.13	loss	All	5	cytoband
12q24.13	gain	Medulloblastoma	4	cytoband
12q24.21	gain	All	6	cytoband
12q24.21	gain	Medulloblastoma	4	cytoband
12q24.22	gain	All	7	cytoband
12q24.22	gain	Medulloblastoma	5	cytoband
12q24.23	gain	All	6	cytoband
12q24.23	gain	Medulloblastoma	5	cytoband
12q24.31	gain	All	6	cytoband
12q24.31	gain	Medulloblastoma	6	cytoband
12q24.32	gain	All	6	cytoband
12q24.32	gain	Medulloblastoma	6	cytoband
12q24.33	gain	All	6	cytoband
12q24.33	gain	Medulloblastoma	6	cytoband
13q	loss	All	241	arm
13q	loss	ATRT	7	arm
13q	loss	Choroid plexus tumor	7	arm
13q	loss	DNET	5	arm
13q	loss	Dysplasia	4	arm
13q	loss	Ependymoma	17	arm
13q	loss	Ganglioglioma	11	arm
13q	loss	HGAT	51	arm
13q	loss	LGAT	62	arm
13q	loss	Medulloblastoma	29	arm
13q	loss	Meningioma	8	arm
13q	loss	Neurofibroma	5	arm
13q	loss	Other	9	arm
13q	loss	Schwannoma	5	arm
13q12.11	loss	All	6	cytoband
13q12.11	loss	HGAT	4	cytoband
13q12.12	loss	All	6	cytoband
13q12.12	loss	HGAT	4	cytoband
13q12.13	loss	All	6	cytoband
13q12.13	loss	HGAT	4	cytoband
13q12.2	loss	All	7	cytoband
13q12.2	loss	HGAT	4	cytoband
13q12.3	loss	All	7	cytoband
13q12.3	loss	HGAT	4	cytoband
13q13.1	loss	All	9	cytoband
13q13.1	loss	HGAT	5	cytoband
13q13.1	loss	Medulloblastoma	4	cytoband
13q13.2	loss	All	10	cytoband
13q13.2	loss	HGAT	6	cytoband
13q13.2	loss	Medulloblastoma	4	cytoband
13q13.3	loss	All	10	cytoband
13q13.3	loss	HGAT	6	cytoband
13q13.3	loss	Medulloblastoma	4	cytoband
13q14.11	loss	All	10	cytoband
13q14.11	loss	HGAT	6	cytoband
13q14.11	loss	Medulloblastoma	4	cytoband
13q14.12	loss	All	10	cytoband
13q14.12	loss	HGAT	6	cytoband
13q14.12	loss	Medulloblastoma	4	cytoband
13q14.13	loss	All	10	cytoband
13q14.13	loss	HGAT	6	cytoband
13q14.13	loss	Medulloblastoma	4	cytoband
13q14.2	loss	All	10	cytoband
13q14.2	loss	HGAT	6	cytoband
13q14.2	loss	Medulloblastoma	4	cytoband
13q14.3	loss	All	10	cytoband
13q14.3	loss	HGAT	6	cytoband
13q14.3	loss	Medulloblastoma	4	cytoband
13q21.1	loss	All	5	cytoband
13q21.2	loss	All	6	cytoband
13q21.32	loss	All	6	cytoband
13q21.33	loss	All	5	cytoband
13q22.1	loss	All	4	cytoband
13q22.2	loss	All	4	cytoband
13q22.3	loss	All	4	cytoband
13q31.2	loss	All	8	cytoband
13q31.2	loss	HGAT	5	cytoband
13q31.3	loss	All	8	cytoband
13q31.3	loss	HGAT	5	cytoband
13q32.1	loss	All	8	cytoband
13q32.1	loss	HGAT	5	cytoband
13q32.2	loss	All	8	cytoband
13q32.2	loss	HGAT	5	cytoband
13q32.3	loss	All	8	cytoband
13q32.3	loss	HGAT	5	cytoband
13q33.1	loss	All	8	cytoband
13q33.1	loss	HGAT	5	cytoband
13q33.2	loss	All	7	cytoband
13q33.2	loss	HGAT	4	cytoband
13q33.3	loss	All	7	cytoband
13q33.3	loss	HGAT	4	cytoband
14q	loss	All	241	arm
14q	loss	ATRT	7	arm
14q	loss	Choroid plexus tumor	7	arm
14q	loss	DNET	5	arm
14q	loss	Dysplasia	4	arm
14q	loss	Ependymoma	16	arm
14q	loss	Ganglioglioma	11	arm
14q	loss	HGAT	54	arm
14q	loss	LGAT	62	arm
14q	loss	Medulloblastoma	29	arm
14q	loss	Meningioma	9	arm
14q	loss	Neurofibroma	5	arm
14q	loss	Other	8	arm
14q	loss	Schwannoma	5	arm
14q12	gain	All	4	cytoband
14q13.2	loss	All	4	cytoband
14q13.3	loss	All	5	cytoband
14q21.1	loss	All	4	cytoband
14q21.2	loss	All	6	cytoband
14q21.3	gain	All	4	cytoband
14q21.3	loss	All	6	cytoband
14q22.1	loss	All	9	cytoband
14q22.1	loss	HGAT	4	cytoband
14q22.2	loss	All	11	cytoband
14q22.2	loss	HGAT	5	cytoband
14q22.3	gain	All	4	cytoband
14q22.3	loss	All	11	cytoband
14q22.3	loss	HGAT	5	cytoband
14q23.1	gain	All	4	cytoband
14q23.1	loss	All	12	cytoband
14q23.1	loss	HGAT	6	cytoband
14q23.2	gain	All	4	cytoband
14q23.2	loss	All	13	cytoband
14q23.2	loss	HGAT	6	cytoband
14q23.3	loss	All	14	cytoband
14q23.3	loss	HGAT	7	cytoband
14q24.1	loss	All	15	cytoband
14q24.1	loss	HGAT	8	cytoband
14q24.2	loss	All	13	cytoband
14q24.2	loss	HGAT	8	cytoband
14q24.3	loss	All	14	cytoband
14q24.3	loss	HGAT	8	cytoband
14q31.1	loss	All	14	cytoband
14q31.1	loss	HGAT	8	cytoband
14q31.2	loss	All	14	cytoband
14q31.2	loss	HGAT	8	cytoband
14q31.3	loss	All	15	cytoband
14q31.3	loss	HGAT	8	cytoband
14q32.11	gain	All	4	cytoband
