Kids_First_Biospecimen_ID	MACF1--TTYH1	MN1--AC008667.1	MN1--CXXC5	MN1--PATZ1	MN1--PSD2	NPAS3--AC245884.4/TTYH1	TTYH1--DPRX/RNU6-698P	TTYH1--MIR512-2/MIR1323	TTYH1--MIR515-2/MIR519C	ZC4H2--AL627224.1/FOXR2	ZC4H2--FOXR2	CIC--NUTM1	MN1--BEND2
BS_37GTVG4N	0	0	0	0	0	0	0	1	1	0	0	0	0
BS_685DACMS	0	0	0	0	0	0	1	0	0	0	0	0	0
BS_HWGWYCY7	0	0	0	0	0	1	0	0	0	0	0	0	0
BS_KSKZ9J7J	0	1	2	0	1	0	0	0	0	0	0	0	0
BS_N6N147BY	0	0	0	0	0	0	1	0	0	0	0	0	0
BS_P39SQPTS	0	0	0	0	0	0	0	1	0	0	0	0	0
BS_QWNBZ9RJ	0	0	0	0	0	0	1	0	0	0	0	0	0
BS_S5P8VTN5	1	0	0	0	0	0	0	0	0	0	0	0	0
BS_YBJBSRHV	0	0	0	0	0	0	0	0	0	1	1	0	0
BS_ZVZDDW2G	0	0	0	2	0	0	0	0	0	0	0	0	0
BS_H97S5SQN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_XGDPK33A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_0ZA67BBC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_GWSJ4Z9H	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_68KX6A42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_1N7MQZGR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_G3NN392N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_W7MFJZ5A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_49CJNZ06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_JB43XBCQ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_F0JB4EAK	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_ZF6BSFNF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_EZ3147MX	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_NEVYM2FP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_8ZY4GST0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_NGSG2KB6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_X4DD4KSZ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_C83TK159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_FCDAH728	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_7WM3MNZ0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_YDEVMD24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_R7NTZR4C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_2JP7RBMB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_6M2053M0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_NB9XXBW6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_JQVAWTTM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_5VPM0F36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_R9B92M75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_QNNX91SM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_XM1AHBDJ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_21ET39G7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_Z3RCA1T9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_B741RZY9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_HX0S30NE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_RR12T74P	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_DS438CXE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_ZRM0W01M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_1EBQ3T20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_CQSAJ7BF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_S69QZAJR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_R244Z0WX	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_8F9BDWY4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_0448A413	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_Q13FQ8FV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_RRAEQZ97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_GMJBGBWB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_K2VYFVKZ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_5K3R0F5D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_2KJ2YAZR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_Q9V7A95C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_DV86M0Y7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_5CMGN56B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_AMQGM1V9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_PNYN0AYD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_EFE4YEK3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_JMHG7GCN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_TD1ZEQ7R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_HV8PFRBR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_3Y0QXZQB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_ZZWMD6FA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_Y08D5P8N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_P44PE00R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_PGHK1JRW	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_6DCSD5Y6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_4W1DBAN4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_WGK8ZMVA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_YY5B2XDD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_34201DKZ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_SXRS2P6T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_Z7G68ZS2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_E3EJHXQV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_8ZS9F31R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_K74PZET7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_KVAJYZ6F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_T55Y4Z0Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_S0175QKX	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_3P20Q2C3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_T3H5AY8A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_MMNRZ1EQ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_2Z1MKS84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_1D6PZNKN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_S71RJ8DH	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_3T6X4BPC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_M85CXHDV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_60K3EQ9S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_9NJHQE9F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_GNV89A5P	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_T1W4JA94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_850BAHH9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_AD4JPN9Q	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_90B22NGP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_HHPA8NJ2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_MY9D8XZ1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_QAG1RDXN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_67PX06P3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_JHGW42S6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_RX1YTZ7F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_9SJWWYQ4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_YB07VF1X	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_XJTW0P8P	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_X91K8KMG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_92VDQ0NE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_1N9XZXGE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_KQ6ZW085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_M7QJ8VF0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_64HCD9K3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_YCREDZTJ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_BA6AZWB3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_KZPR01BD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_F4E8R9VY	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_M1T1K5WV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_NKEAAFMW	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_QPPPGYP4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_PKK3BZRG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_0T17SY47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_DY9NTFQR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_C51RB0YR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_EN2VK7NY	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_DHA5FMVW	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_VVTHDRBD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_VMEX27TN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_GR46VD0Q	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_R4Y180DM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_VR7FR1NE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
