Kids_First_Biospecimen_ID	C11orf95--MAML2	C11orf95--RELA	C11orf95--YAP1	LTBP3--RELA	PTEN--TAS2R1	YAP1--FAM118B	YAP1--MAMLD1	YAP1--MAMLD2
BS_07ANYSYQ	0	1	0	0	0	0	0	0
BS_0WQJP6ZG	0	1	0	0	0	0	0	0
BS_0XEG6SNV	0	1	0	0	0	0	0	0
BS_23M72ABG	0	0	0	0	0	2	0	0
BS_4NWHYH53	0	1	0	0	0	0	0	0
BS_6MZ7FRZH	0	1	0	0	0	0	0	0
BS_7G42J2SK	0	1	0	0	0	0	0	0
BS_C05FKR8X	0	1	0	0	0	0	0	0
BS_CXVJK2FY	0	1	0	0	0	0	0	0
BS_CZ3ER8DY	0	1	0	0	0	0	0	0
BS_CZ3NA7KV	0	1	0	0	0	0	0	0
BS_D9GEXXHX	0	0	0	0	0	1	0	0
BS_EK5PCKY0	0	1	0	0	0	0	0	0
BS_FTKPQ5FZ	0	1	0	0	0	0	0	0
BS_FW5ECXXK	0	1	0	0	0	0	0	0
BS_G23JJAZY	0	1	0	0	0	0	0	0
BS_G63HYD6N	0	1	0	0	0	0	0	0
BS_H4NXBD2D	0	1	0	0	0	0	0	0
BS_J70GK8SM	1	0	0	0	0	0	0	0
BS_KBT7MQ6H	0	2	0	0	0	0	0	0
BS_KR4MP5ET	0	0	0	0	0	2	0	0
BS_MQCKXD60	0	1	0	0	0	0	0	0
BS_MT15SGJN	0	1	0	0	0	0	0	0
BS_N5DVEJXT	0	1	0	0	0	0	0	0
BS_NB42PWZN	0	1	0	0	0	0	0	0
BS_NGHK9RZP	0	1	0	0	0	0	0	0
BS_PN2CE34A	0	0	0	0	0	1	0	0
BS_QSTAVWGE	0	1	0	0	0	0	0	0
BS_QXKRN6CR	0	1	0	0	0	0	0	0
BS_SXCZ3CXN	0	1	0	0	0	0	0	0
BS_T1DVKKJB	0	1	0	0	0	0	0	0
BS_V4W81SFC	0	0	0	0	0	0	1	0
BS_VAAHBH60	0	1	0	0	0	0	0	0
BS_W80TJC27	0	1	0	0	0	0	0	0
BS_XF0ZX2B3	0	1	0	0	0	0	0	0
BS_Z7890YNR	0	1	0	0	0	0	0	0
