FusionName	file	type
A2LD1--DCLK1	pancanfus.txt	TCGAFusion
A2LD1--INCA1	pancanfus.txt	TCGAFusion
A2M--ARFGEF2	pancanfus.txt	TCGAFusion
A2M--CCT5	pancanfus.txt	TCGAFusion
A2M--FAR1	pancanfus.txt	TCGAFusion
AACS--MAL	pancanfus.txt	TCGAFusion
AAGAB--SMAD3	pancanfus.txt	TCGAFusion
AAGAB--SMAD3	pancanfus.txt	TCGAFusion
AAK1--C2orf42	pancanfus.txt	TCGAFusion
AAK1--KCMF1	pancanfus.txt	TCGAFusion
AAK1--LHX2	pancanfus.txt	TCGAFusion
AAK1--RPIA	pancanfus.txt	TCGAFusion
AAK1--WFDC13	pancanfus.txt	TCGAFusion
AAMP--Mar-04	pancanfus.txt	TCGAFusion
AARS--COG4	pancanfus.txt	TCGAFusion
AARS--PPP1R13B	pancanfus.txt	TCGAFusion
AARS--ST3GAL2	pancanfus.txt	TCGAFusion
AARS2--SPATS1	pancanfus.txt	TCGAFusion
AARSD1--CCR7	pancanfus.txt	TCGAFusion
AARSD1--CHRNB1	pancanfus.txt	TCGAFusion
AARSD1--FBXL20	pancanfus.txt	TCGAFusion
AARSD1--RGS9	pancanfus.txt	TCGAFusion
AASDH--CC2D2A	pancanfus.txt	TCGAFusion
AASDH--LRRC66	pancanfus.txt	TCGAFusion
AASDHPPT--ABTB2	pancanfus.txt	TCGAFusion
AASS--CADPS2	pancanfus.txt	TCGAFusion
AASS--DNM3	pancanfus.txt	TCGAFusion
AATF--AP2B1	pancanfus.txt	TCGAFusion
AATF--FTL	pancanfus.txt	TCGAFusion
AATF--GOSR2	pancanfus.txt	TCGAFusion
AATF--LIG3	pancanfus.txt	TCGAFusion
ABAT--C16orf62	pancanfus.txt	TCGAFusion
ABAT--KIAA0430	pancanfus.txt	TCGAFusion
ABCA1--HDHD3	pancanfus.txt	TCGAFusion
ABCA1--PTGR1	pancanfus.txt	TCGAFusion
ABCA1--ZBTB26	pancanfus.txt	TCGAFusion
ABCA1--ZBTB6	pancanfus.txt	TCGAFusion
ABCA1--ZNF483	pancanfus.txt	TCGAFusion
ABCA12--SGPP2	pancanfus.txt	TCGAFusion
ABCA2--TRIM14	pancanfus.txt	TCGAFusion
ABCA3--XRCC6BP1	pancanfus.txt	TCGAFusion
ABCA5--BCAS3	pancanfus.txt	TCGAFusion
ABCA5--C17orf67	pancanfus.txt	TCGAFusion
ABCA5--MBTD1	pancanfus.txt	TCGAFusion
ABCA7--COL5A3	pancanfus.txt	TCGAFusion
ABCA9--TANC2	pancanfus.txt	TCGAFusion
ABCB4--TMEM169	pancanfus.txt	TCGAFusion
ABCB8--NOS3	pancanfus.txt	TCGAFusion
ABCB8--NOS3	pancanfus.txt	TCGAFusion
ABCB9--EIF2B1	pancanfus.txt	TCGAFusion
ABCB9--MPHOSPH9	pancanfus.txt	TCGAFusion
ABCC1--NDE1	pancanfus.txt	TCGAFusion
ABCC1--PRKCB	pancanfus.txt	TCGAFusion
ABCC10--PPP2R5D	pancanfus.txt	TCGAFusion
ABCC2--CTNNA3	pancanfus.txt	TCGAFusion
ABCC3--ACSF2	pancanfus.txt	TCGAFusion
ABCC3--BCAN	pancanfus.txt	TCGAFusion
ABCC3--XYLT2	pancanfus.txt	TCGAFusion
ABCC4--ABCB4	pancanfus.txt	TCGAFusion
ABCC4--COL4A2	pancanfus.txt	TCGAFusion
ABCC4--PTPN4	pancanfus.txt	TCGAFusion
ABCC4--UGGT2	pancanfus.txt	TCGAFusion
ABCC4--UGGT2	pancanfus.txt	TCGAFusion
ABCC5--SPRR4	pancanfus.txt	TCGAFusion
ABCC6--C16orf70	pancanfus.txt	TCGAFusion
ABCD3--AK5	pancanfus.txt	TCGAFusion
ABCD3--ARHGAP29	pancanfus.txt	TCGAFusion
ABCD3--DPYD	pancanfus.txt	TCGAFusion
ABCF1--PRR3	pancanfus.txt	TCGAFusion
ABCF1--SHC2	pancanfus.txt	TCGAFusion
ABCF2--WDR86	pancanfus.txt	TCGAFusion
ABCF3--PLEKHB2	pancanfus.txt	TCGAFusion
ABCG1--BACE2	pancanfus.txt	TCGAFusion
ABCG1--BTG3	pancanfus.txt	TCGAFusion
ABCG1--CCDC134	pancanfus.txt	TCGAFusion
ABCG1--MEI1	pancanfus.txt	TCGAFusion
ABHD12--ENTPD6	pancanfus.txt	TCGAFusion
ABHD12--GINS1	pancanfus.txt	TCGAFusion
ABHD12--KIF16B	pancanfus.txt	TCGAFusion
ABHD12--PPP2R2A	pancanfus.txt	TCGAFusion
ABHD14B--POC1A	pancanfus.txt	TCGAFusion
ABHD2--ACAN	pancanfus.txt	TCGAFusion
ABHD2--BIRC6	pancanfus.txt	TCGAFusion
ABHD3--ANKRD29	pancanfus.txt	TCGAFusion
ABHD6--FLNB	pancanfus.txt	TCGAFusion
ABHD6--FLNB	pancanfus.txt	TCGAFusion
ABHD6--FLNB	pancanfus.txt	TCGAFusion
ABHD8--ILKAP	pancanfus.txt	TCGAFusion
ABI1--CUBN	pancanfus.txt	TCGAFusion
ABI1--PTP4A3	pancanfus.txt	TCGAFusion
ABI1--PTP4A3	pancanfus.txt	TCGAFusion
ABI2--CHMP1A	pancanfus.txt	TCGAFusion
ABI2--HEXIM2	pancanfus.txt	TCGAFusion
ABL1--ADAMTSL2	pancanfus.txt	TCGAFusion
ABL1--BCR	pancanfus.txt	TCGAFusion
ABL1--BCR	pancanfus.txt	TCGAFusion
ABL1--BCR	pancanfus.txt	TCGAFusion
ABL1--CCBL1	pancanfus.txt	TCGAFusion
ABL1--DDX27	pancanfus.txt	TCGAFusion
ABL1--EXOSC2	pancanfus.txt	TCGAFusion
ABL1--FUBP3	pancanfus.txt	TCGAFusion
ABL1--FUBP3	pancanfus.txt	TCGAFusion
ABL1--PRDM12	pancanfus.txt	TCGAFusion
ABL1--PTPRN2	pancanfus.txt	TCGAFusion
ABL1--SLC38A10	pancanfus.txt	TCGAFusion
ABL2--XRRA1	pancanfus.txt	TCGAFusion
ABLIM1--PDE6B	pancanfus.txt	TCGAFusion
ABLIM1--PTCD2	pancanfus.txt	TCGAFusion
ABLIM2--PPP2R2C	pancanfus.txt	TCGAFusion
ABLIM3--TRPM8	pancanfus.txt	TCGAFusion
ABR--BAI1	pancanfus.txt	TCGAFusion
ABR--CRK	pancanfus.txt	TCGAFusion
ABR--GAS7	pancanfus.txt	TCGAFusion
ABR--KIAA0664	pancanfus.txt	TCGAFusion
ABR--MAN2B1	pancanfus.txt	TCGAFusion
ABR--PITPNA	pancanfus.txt	TCGAFusion
ABR--PITPNA	pancanfus.txt	TCGAFusion
ABR--RTN4RL1	pancanfus.txt	TCGAFusion
ABR--YWHAE	pancanfus.txt	TCGAFusion
ABTB2--APIP	pancanfus.txt	TCGAFusion
ABTB2--APIP	pancanfus.txt	TCGAFusion
ABTB2--ATXN3	pancanfus.txt	TCGAFusion
AC005522.1--ZP3	pancanfus.txt	TCGAFusion
AC113191.1--ANK1	pancanfus.txt	TCGAFusion
ACAA2--MYO5B	pancanfus.txt	TCGAFusion
ACACA--ACCN1	pancanfus.txt	TCGAFusion
ACACA--ADAM9	pancanfus.txt	TCGAFusion
ACACA--C12orf26	pancanfus.txt	TCGAFusion
ACACA--C20orf72	pancanfus.txt	TCGAFusion
ACACA--GLIPR1L2	pancanfus.txt	TCGAFusion
ACACA--GSDMB	pancanfus.txt	TCGAFusion
ACACA--HTRA4	pancanfus.txt	TCGAFusion
ACACA--LASP1	pancanfus.txt	TCGAFusion
ACACA--MED1	pancanfus.txt	TCGAFusion
ACACA--MMP28	pancanfus.txt	TCGAFusion
ACACA--RARA	pancanfus.txt	TCGAFusion
ACACA--SRCIN1	pancanfus.txt	TCGAFusion
ACACA--SSH2	pancanfus.txt	TCGAFusion
ACACA--TADA2A	pancanfus.txt	TCGAFusion
ACACA--TANC2	pancanfus.txt	TCGAFusion
ACACB--Mar-09	pancanfus.txt	TCGAFusion
ACACB--UNG	pancanfus.txt	TCGAFusion
ACACB--UNG	pancanfus.txt	TCGAFusion
ACACB--UNG	pancanfus.txt	TCGAFusion
ACACB--UNG	pancanfus.txt	TCGAFusion
ACACB--UNG	pancanfus.txt	TCGAFusion
ACACB--UNG	pancanfus.txt	TCGAFusion
ACAD11--ABCE1	pancanfus.txt	TCGAFusion
ACAD9--KIAA1257	pancanfus.txt	TCGAFusion
ACADVL--CD74	pancanfus.txt	TCGAFusion
