TCGA_fusions	cancer_type
SLC45A3_ERG,TMPRSS2_ERG	PRAD
TMPRSS2_ERG	PRAD
CLTC_VMP1	CESC,LUSC,SKCM
LRBA_IKZF1,LRBA_SH3D19	BRCA,LUAD,LUSC
MSL2_STAG1,STAG1_MSL2	BRCA,LUSC
PAX8_NFE2L2,TG_NFE2L2,ZC3H13_NFE2L2	LUSC,THCA
CCDC6_RET,ERC1_RET,RET_CCDC6	LUAD,THCA
TANGO6_CDH1,ZFP90_CDH1	BRCA
EPB41L4B_PTPN3	BRCA,LUAD
EPS15L1_CLNS1A,EPS15L1_MED26	BRCA
UBA3_FRMD4B	BRCA,UCEC
EHBP1L1_FRMD8,POLA2_FRMD8,SCYL1_FRMD8	LUSC,UCEC
RANBP17_KCNIP1	BRCA
MARK3_KLC1,MARK3_TDRD9	LUSC,UCEC
MET_CAPZA2,MET_CAV1	BRCA,UCEC
PACSIN2_TTLL1,PACSIN2_ZNF823	BRCA,LUAD,UCEC
EPB41L4B_PTPN3	BRCA,LUAD
RANBP17_KCNIP1	BRCA
LRBA_SH3D19	BRCA,LUAD,LUSC
SMAD3_DIS3L,SMAD3_MAP2K5	BRCA
NFE2L2_TG,THADA_TG	THCA
UBA3_FRMD4B	BRCA,UCEC
ARIH2_DHX30,ARIH2_TRIO	BRCA,HNSC
MET_CAV1	BRCA,UCEC
DENND1A_CCNY,WARS_CCNY	BRCA,THCA
CELSR1_CERK	BRCA
SCNN1G_COL27A1,ZNF180_COL27A1	BRCA,KIRC
FMNL3_CPNE8,LCOR_CPNE8	BRCA,SKCM
TRIM33_CSDE1	BRCA,PRAD
RFTN1_DAZL	BRCA,LUAD
DGCR2_CLTCL1,DGCR2_CGNB1L	BRCA,SKCM
TAF3_DNAJC1,ZNF462_DNAJC1	BRCA,LUAD
TRIP12_DNER	HNSC,LUAD
ETV6_NTRK3,ETV6_YTHDF2	BRCA,THCA
FAM168A_PXDNL,FAM168A_SNX29	GBM,SKCM
FERMT1_CDRT4,FERMT1_CENPV	BRCA
REV3L_FYN	BRCA
HDAC1_KPNA6	BRCA
ITCH_DEFB118,ITCH_HM13	HNSC,LUSC
KLC1_MARK3	UCEC
HDAC1_KPNA6	BRCA
LRTOMT_UVRAG,LRTOMT_UVRAG	BRCA
ZNF532_MALT1	LUSC
SMAD3_MAP2K5	BRCA
EPS15L1_MED26	BRCA
MTF2_FNBP1L,MTF2_RPL5	BRCA
PLEKHF2_NDUFAF6	BRCA
NFIX_CALR,NFIX_GATAD2A	BRCA,THCA
MAST4_NLN,PPWD1_NLN	BRCA,LUAD
PIP5K1C_CTB-131K11.1,PIP5K1C_MATK	BRCA,HNSC
PLEKHF2_NDUFAF6	BRCA
PTPN12_CCDC146,PTPN12_PHTF2	SKCM,UCEC
RELT_CCDC88B,RELT_TEX40	LUSC
REV3L_FYN	BRCA
RFTN1_DAZL	BRCA,LUAD
TPD52L1_RNF217	LUSC
SERINC5_CDYL2,SERINC5_OSBPL9	PRAD
PAPD5_SHANK2,UBAC1_SHANK2	BRCA,SKCM
FAM168A_SNX29,MKL2_SNX29	BRCA,GBM
GBF1_SUFU,WBP1L_SUFU	BRCA,LUAD
TANGO6_CDH1	BRCA
TCF12_NCOA3,TCF12_TEX9	BLCA,BRCA
TPD52L1_RNF217	LUSC
PTK2_TRAPPC9	SKCM
TRIM33_CSDE1	BRCA,PRAD
TRIO_ARIH2,TRIO_PPP2R5E	HNSC
TRIP12_DNER	HNSC,LUAD
PACSIN2_TTLL1	LUAD,UCEC
UVRAG_LRTOMT,LRTOMT_UVRAG	BRCA
WARS_CCNY,MSH6	BRCA,THCA
YPEL2_HSPA12B,PAK1	BRCA
ZNF532_MALT1	LUSC
ZNF587B_ZSCAN4	BRCA
