Gene	broad_histology	count
BRAF	Low-grade astrocytic tumor	119
KIAA1549	Low-grade astrocytic tumor	113
C11orf95	Ependymal tumor	28
RELA	Ependymal tumor	25
MET	Diffuse astrocytic and oligodendroglial tumor	8
EWSR1	Mesenchymal non-meningothelial tumor	6
FLI1	Mesenchymal non-meningothelial tumor	6
FYN	Diffuse astrocytic and oligodendroglial tumor	5
NTRK2	Low-grade astrocytic tumor	5
REV3L	Diffuse astrocytic and oligodendroglial tumor	5
BRAF	Neuronal and mixed neuronal-glial tumor	4
RAF1	Low-grade astrocytic tumor	4
ROS1	Diffuse astrocytic and oligodendroglial tumor	4
SCFD2	Diffuse astrocytic and oligodendroglial tumor	4
