Gene	broad_histology	count
BRAF	Low-grade astrocytic tumor	115
KIAA1549	Low-grade astrocytic tumor	109
C11orf95	Ependymal tumor	27
RELA	Ependymal tumor	25
BRAF	Neuronal and mixed neuronal-glial tumor	8
MET	Diffuse astrocytic and oligodendroglial tumor	7
KIAA1549	Neuronal and mixed neuronal-glial tumor	6
EWSR1	Mesenchymal non-meningothelial tumor	5
FLI1	Mesenchymal non-meningothelial tumor	5
FYN	Diffuse astrocytic and oligodendroglial tumor	5
REV3L	Diffuse astrocytic and oligodendroglial tumor	5
NTRK2	Low-grade astrocytic tumor	4
RAF1	Low-grade astrocytic tumor	4
ROS1	Low-grade astrocytic tumor	4
