hallmark_name	anova_f_statistic	anova_p_value	anova_p_value_bonferroni	significant_anova
HALLMARK_ADIPOGENESIS	6.644711712120689	2.648316282070005e-52	1.3241581410350023e-50	TRUE
HALLMARK_ALLOGRAFT_REJECTION	10.69286664383991	1.1955617132089855e-88	5.977808566044928e-87	TRUE
HALLMARK_ANDROGEN_RESPONSE	8.860224181902359	7.118622251662948e-73	3.559311125831474e-71	TRUE
HALLMARK_ANGIOGENESIS	8.161913458415707	1.4370554147221375e-66	7.1852770736106875e-65	TRUE
HALLMARK_APICAL_JUNCTION	11.570465851749457	7.998172551606131e-96	3.999086275803066e-94	TRUE
HALLMARK_APICAL_SURFACE	15.885098586050658	6.177981260212719e-128	3.08899063010636e-126	TRUE
HALLMARK_APOPTOSIS	10.363725047994647	6.766002298532215e-86	3.3830011492661075e-84	TRUE
HALLMARK_BILE_ACID_METABOLISM	13.612185960177449	1.2274657356922966e-111	6.137328678461483e-110	TRUE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	9.626450534354484	1.3271576096507275e-79	6.635788048253638e-78	TRUE
HALLMARK_COAGULATION	12.428234221121782	1.30170041905098e-102	6.508502095254901e-101	TRUE
HALLMARK_COMPLEMENT	13.09621998231221	9.433049728562807e-108	4.716524864281404e-106	TRUE
HALLMARK_DNA_REPAIR	7.011145312176363	8.085556875941963e-56	4.0427784379709816e-54	TRUE
HALLMARK_E2F_TARGETS	17.957767876240442	9.6386917697404e-142	4.8193458848702e-140	TRUE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	9.582503803927812	3.1886895092517746e-79	1.5943447546258873e-77	TRUE
HALLMARK_ESTROGEN_RESPONSE_EARLY	12.736686463004586	5.314992752213185e-105	2.6574963761065925e-103	TRUE
HALLMARK_ESTROGEN_RESPONSE_LATE	10.330553113190003	1.2872907024241645e-85	6.436453512120823e-84	TRUE
HALLMARK_FATTY_ACID_METABOLISM	6.981981550580617	1.5342314522518716e-55	7.671157261259358e-54	TRUE
HALLMARK_G2M_CHECKPOINT	18.74887015872863	8.984704235507513e-147	4.492352117753757e-145	TRUE
HALLMARK_GLYCOLYSIS	5.72064906649569	2.9554075861741105e-43	1.4777037930870553e-41	TRUE
HALLMARK_HEDGEHOG_SIGNALING	10.030691152311402	4.476090058563473e-83	2.2380450292817366e-81	TRUE
HALLMARK_HEME_METABOLISM	6.273413467374683	1.0669151775408575e-48	5.334575887704288e-47	TRUE
HALLMARK_HYPOXIA	8.798439731368674	2.532767990568641e-72	1.2663839952843205e-70	TRUE
HALLMARK_IL2_STAT5_SIGNALING	12.329277793281754	7.703716966833312e-102	3.851858483416656e-100	TRUE
HALLMARK_IL6_JAK_STAT3_SIGNALING	11.908299646138342	1.5976621199956018e-98	7.988310599978009e-97	TRUE
HALLMARK_INFLAMMATORY_RESPONSE	13.219485625945577	1.0958995228705787e-108	5.479497614352893e-107	TRUE
