hallmark_name	anova_f_statistic	anova_p_value	anova_p_value_bonferroni	significant_anova
HALLMARK_ADIPOGENESIS	7.671785042663074	4.8788564846337024e-51	2.4394282423168513e-49	TRUE
HALLMARK_ALLOGRAFT_REJECTION	13.30277063936021	7.107922109169646e-92	3.5539610545848228e-90	TRUE
HALLMARK_ANDROGEN_RESPONSE	9.830895682255724	1.5628201555970832e-67	7.814100777985417e-66	TRUE
HALLMARK_ANGIOGENESIS	9.040315831876967	1.2920790977016007e-61	6.460395488508004e-60	TRUE
HALLMARK_APICAL_JUNCTION	12.869750707778106	5.5846119205432e-89	2.7923059602716e-87	TRUE
HALLMARK_APICAL_SURFACE	17.1963651323628	2.763620518489135e-116	1.3818102592445676e-114	TRUE
HALLMARK_APOPTOSIS	12.40299498184486	8.152443397728262e-86	4.076221698864131e-84	TRUE
HALLMARK_BILE_ACID_METABOLISM	17.482690954967904	5.668798378275568e-118	2.834399189137784e-116	TRUE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	10.296804346774223	5.931315504782297e-71	2.9656577523911485e-69	TRUE
HALLMARK_COAGULATION	14.26255088123969	3.7083505063767875e-98	1.8541752531883938e-96	TRUE
HALLMARK_COMPLEMENT	15.853891895322631	3.493743663902257e-108	1.7468718319511283e-106	TRUE
HALLMARK_DNA_REPAIR	7.215229171584821	2.0323065130064945e-47	1.0161532565032473e-45	TRUE
HALLMARK_E2F_TARGETS	19.990206674606714	3.403104376856892e-132	1.7015521884284459e-130	TRUE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	10.48719854005806	2.4511256209209813e-72	1.2255628104604906e-70	TRUE
HALLMARK_ESTROGEN_RESPONSE_EARLY	14.137372309865812	2.389191823851693e-97	1.1945959119258464e-95	TRUE
HALLMARK_ESTROGEN_RESPONSE_LATE	11.968599277730155	7.897365101638759e-83	3.9486825508193796e-81	TRUE
HALLMARK_FATTY_ACID_METABOLISM	8.5508370408348	7.017488007523982e-58	3.508744003761991e-56	TRUE
HALLMARK_G2M_CHECKPOINT	21.232696247891145	6.825877758729966e-139	3.412938879364983e-137	TRUE
HALLMARK_GLYCOLYSIS	5.607702688236631	2.3255018258159585e-34	1.1627509129079793e-32	TRUE
HALLMARK_HEDGEHOG_SIGNALING	10.449625734558408	4.589854004275433e-72	2.2949270021377166e-70	TRUE
HALLMARK_HEME_METABOLISM	7.504407035377666	1.0238356793622387e-49	5.1191783968111934e-48	TRUE
HALLMARK_HYPOXIA	9.855869213611982	1.0216506813137183e-67	5.108253406568591e-66	TRUE
HALLMARK_IL2_STAT5_SIGNALING	14.388921695734956	5.695013524482335e-99	2.8475067622411674e-97	TRUE
HALLMARK_IL6_JAK_STAT3_SIGNALING	14.472194705953784	1.6634061571341418e-99	8.31703078567071e-98	TRUE
HALLMARK_INFLAMMATORY_RESPONSE	15.647667664531125	6.547534695048014e-107	3.273767347524007e-105	TRUE
HALLMARK_INTERFERON_ALPHA_RESPONSE	15.045694840718559	3.7661988531678547e-103	1.8830994265839274e-101	TRUE
HALLMARK_INTERFERON_GAMMA_RESPONSE	14.97172251145509	1.1029745288909355e-102	5.514872644454677e-101	TRUE
