hallmark_name	comparison	pathway_score_difference	tukey_p_value	bonferroni_pvalue	significant_tukey	significant_tukey_bonf
HALLMARK_ADIPOGENESIS	ETMR-Embryonal Tumor	0.10719205290226902	0.9799729329378452	1	FALSE	FALSE
HALLMARK_ADIPOGENESIS	HGAT-Embryonal Tumor	0.2578432744374007	0.19694538136027384	1	FALSE	FALSE
HALLMARK_ADIPOGENESIS	Medulloblastoma-Embryonal Tumor	0.05708147219187254	0.9968452797415783	1	FALSE	FALSE
HALLMARK_ADIPOGENESIS	HGAT-ETMR	0.15065122153513166	0.9304698488024848	1	FALSE	FALSE
HALLMARK_ADIPOGENESIS	Medulloblastoma-ETMR	-0.05011058071039648	0.9989361690924101	1	FALSE	FALSE
HALLMARK_ADIPOGENESIS	Medulloblastoma-HGAT	-0.20076180224552814	0.8520383842822705	1	FALSE	FALSE
HALLMARK_ALLOGRAFT_REJECTION	ETMR-Embryonal Tumor	0.18749181132499992	0.957744158133838	1	FALSE	FALSE
HALLMARK_ALLOGRAFT_REJECTION	HGAT-Embryonal Tumor	0.3901566545707033	0.12025654051391632	1	FALSE	FALSE
HALLMARK_ALLOGRAFT_REJECTION	Medulloblastoma-Embryonal Tumor	0.03945886007272198	0.9995669127716944	1	FALSE	FALSE
HALLMARK_ALLOGRAFT_REJECTION	HGAT-ETMR	0.20266484324570339	0.9305133303989643	1	FALSE	FALSE
HALLMARK_ALLOGRAFT_REJECTION	Medulloblastoma-ETMR	-0.14803295125227794	0.9890848045770997	1	FALSE	FALSE
HALLMARK_ALLOGRAFT_REJECTION	Medulloblastoma-HGAT	-0.35069779449798133	0.7242784332108044	1	FALSE	FALSE
HALLMARK_ANDROGEN_RESPONSE	ETMR-Embryonal Tumor	0.17538421440466645	0.9250453802588536	1	FALSE	FALSE
HALLMARK_ANDROGEN_RESPONSE	HGAT-Embryonal Tumor	0.33956833544860643	0.05792737019014349	1	FALSE	FALSE
HALLMARK_ANDROGEN_RESPONSE	Medulloblastoma-Embryonal Tumor	0.15376296386175692	0.9477392163171993	1	FALSE	FALSE
HALLMARK_ANDROGEN_RESPONSE	HGAT-ETMR	0.16418412104393995	0.9173916315312276	1	FALSE	FALSE
HALLMARK_ANDROGEN_RESPONSE	Medulloblastoma-ETMR	-0.02162125054290953	0.9999195390296731	1	FALSE	FALSE
HALLMARK_ANDROGEN_RESPONSE	Medulloblastoma-HGAT	-0.18580537158684948	0.8854031165229337	1	FALSE	FALSE
HALLMARK_ANGIOGENESIS	ETMR-Embryonal Tumor	0.4564959570836431	0.7047796415500845	1	FALSE	FALSE
HALLMARK_ANGIOGENESIS	HGAT-Embryonal Tumor	0.30361150470878734	0.4190891834215956	1	FALSE	FALSE
HALLMARK_ANGIOGENESIS	Medulloblastoma-Embryonal Tumor	0.3453070292298647	0.8471970016589837	1	FALSE	FALSE
HALLMARK_ANGIOGENESIS	HGAT-ETMR	-0.15288445237485576	0.9781885580657855	1	FALSE	FALSE
HALLMARK_ANGIOGENESIS	Medulloblastoma-ETMR	-0.1111889278537784	0.9968049290078043	1	FALSE	FALSE
HALLMARK_ANGIOGENESIS	Medulloblastoma-HGAT	0.04169552452107736	0.9995311423679549	1	FALSE	FALSE
HALLMARK_APICAL_JUNCTION	ETMR-Embryonal Tumor	0.20238295899012876	0.7985823671078978	1	FALSE	FALSE
HALLMARK_APICAL_JUNCTION	HGAT-Embryonal Tumor	0.1940970009221371	0.24675182534868245	1	FALSE	FALSE
HALLMARK_APICAL_JUNCTION	Medulloblastoma-Embryonal Tumor	0.04914187875744008	0.9961225672731242	1	FALSE	FALSE
HALLMARK_APICAL_JUNCTION	HGAT-ETMR	-0.00828595806799165	0.9999742790420265	1	FALSE	FALSE
HALLMARK_APICAL_JUNCTION	Medulloblastoma-ETMR	-0.15324108023268868	0.9472661757486855	1	FALSE	FALSE
HALLMARK_APICAL_JUNCTION	Medulloblastoma-HGAT	-0.14495512216469703	0.887363320588999	1	FALSE	FALSE
HALLMARK_APICAL_SURFACE	ETMR-Embryonal Tumor	0.1549837964921131	0.9203017638098117	1	FALSE	FALSE
HALLMARK_APICAL_SURFACE	HGAT-Embryonal Tumor	0.10938701999206818	0.7694697684968088	1	FALSE	FALSE
HALLMARK_APICAL_SURFACE	Medulloblastoma-Embryonal Tumor	-0.0896803765916801	0.9828792745398595	1	FALSE	FALSE
HALLMARK_APICAL_SURFACE	HGAT-ETMR	-0.04559677650004493	0.9968312309001626	1	FALSE	FALSE
HALLMARK_APICAL_SURFACE	Medulloblastoma-ETMR	-0.2446641730837932	0.8576108384713578	1	FALSE	FALSE
HALLMARK_APICAL_SURFACE	Medulloblastoma-HGAT	-0.19906739658374828	0.803238328208526	1	FALSE	FALSE
HALLMARK_APOPTOSIS	ETMR-Embryonal Tumor	0.21005810480501977	0.9079549868168294	1	FALSE	FALSE
HALLMARK_APOPTOSIS	HGAT-Embryonal Tumor	0.3200317884360701	0.1364163275009901	1	FALSE	FALSE
HALLMARK_APOPTOSIS	Medulloblastoma-Embryonal Tumor	0.05559892622935464	0.9979946058154473	1	FALSE	FALSE
HALLMARK_APOPTOSIS	HGAT-ETMR	0.10997368363105037	0.9798868109951356	1	FALSE	FALSE
HALLMARK_APOPTOSIS	Medulloblastoma-ETMR	-0.15445917857566513	0.9797332362257065	1	FALSE	FALSE
HALLMARK_APOPTOSIS	Medulloblastoma-HGAT	-0.26443286220671547	0.786764445773638	1	FALSE	FALSE
HALLMARK_BILE_ACID_METABOLISM	ETMR-Embryonal Tumor	-0.15784559589255798	0.9101052227829244	1	FALSE	FALSE
HALLMARK_BILE_ACID_METABOLISM	HGAT-Embryonal Tumor	0.27188316516559147	0.07722464603009438	1	FALSE	FALSE
HALLMARK_BILE_ACID_METABOLISM	Medulloblastoma-Embryonal Tumor	6.665405505579258e-4	0.9999999919715058	1	FALSE	FALSE
HALLMARK_BILE_ACID_METABOLISM	HGAT-ETMR	0.42972876105814944	0.19996450280047262	1	FALSE	FALSE
HALLMARK_BILE_ACID_METABOLISM	Medulloblastoma-ETMR	0.1585121364431159	0.9521306899142534	1	FALSE	FALSE
HALLMARK_BILE_ACID_METABOLISM	Medulloblastoma-HGAT	-0.27121662461503354	0.5897559253921427	1	FALSE	FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	ETMR-Embryonal Tumor	0.011185272587506068	0.9999779183748772	1	FALSE	FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HGAT-Embryonal Tumor	0.2480699368347276	0.2495815809368529	1	FALSE	FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	Medulloblastoma-Embryonal Tumor	-0.19703564065853169	0.8996294330365957	1	FALSE	FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HGAT-ETMR	0.23688466424722154	0.7934166995635832	1	FALSE	FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	Medulloblastoma-ETMR	-0.20822091324603775	0.938165932669571	1	FALSE	FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	Medulloblastoma-HGAT	-0.4451055774932593	0.31760627233533256	1	FALSE	FALSE
HALLMARK_COAGULATION	ETMR-Embryonal Tumor	0.060908536415679115	0.9971850385789514	1	FALSE	FALSE
HALLMARK_COAGULATION	HGAT-Embryonal Tumor	0.3518196978011579	0.07562805395162508	1	FALSE	FALSE
HALLMARK_COAGULATION	Medulloblastoma-Embryonal Tumor	0.030373608265473195	0.9996468031841725	1	FALSE	FALSE
HALLMARK_COAGULATION	HGAT-ETMR	0.2909111613854788	0.7201905147854577	1	FALSE	FALSE
HALLMARK_COAGULATION	Medulloblastoma-ETMR	-0.03053492815020592	0.9998224339560888	1	FALSE	FALSE
HALLMARK_COAGULATION	Medulloblastoma-HGAT	-0.3214460895356847	0.6533126354094996	1	FALSE	FALSE
HALLMARK_COMPLEMENT	ETMR-Embryonal Tumor	0.07257490411964074	0.9958393559511145	1	FALSE	FALSE
HALLMARK_COMPLEMENT	HGAT-Embryonal Tumor	0.401945558028335	0.043727036995083735	1	FALSE	FALSE
HALLMARK_COMPLEMENT	Medulloblastoma-Embryonal Tumor	-0.0017724449489417982	0.9999999381512766	1	FALSE	FALSE
HALLMARK_COMPLEMENT	HGAT-ETMR	0.32937065390869424	0.6668468451874132	1	FALSE	FALSE
HALLMARK_COMPLEMENT	Medulloblastoma-ETMR	-0.07434734906858254	0.9977744046248695	1	FALSE	FALSE
HALLMARK_COMPLEMENT	Medulloblastoma-HGAT	-0.4037180029772768	0.5067324677645586	1	FALSE	FALSE
HALLMARK_DNA_REPAIR	ETMR-Embryonal Tumor	0.2596262350493767	0.8766646716386843	1	FALSE	FALSE
HALLMARK_DNA_REPAIR	HGAT-Embryonal Tumor	-0.25145996155356226	0.40790951217201876	1	FALSE	FALSE
HALLMARK_DNA_REPAIR	Medulloblastoma-Embryonal Tumor	-0.060042259699362416	0.9981293189229992	1	FALSE	FALSE
HALLMARK_DNA_REPAIR	HGAT-ETMR	-0.511086196602939	0.3691234405646294	1	FALSE	FALSE
HALLMARK_DNA_REPAIR	Medulloblastoma-ETMR	-0.31966849474873915	0.8849866223211789	1	FALSE	FALSE
HALLMARK_DNA_REPAIR	Medulloblastoma-HGAT	0.19141770185419982	0.9279569653655664	1	FALSE	FALSE
HALLMARK_E2F_TARGETS	ETMR-Embryonal Tumor	0.36143230299506257	0.8856835283149629	1	FALSE	FALSE
HALLMARK_E2F_TARGETS	HGAT-Embryonal Tumor	-0.48284583400690684	0.1680910335612389	1	FALSE	FALSE
HALLMARK_E2F_TARGETS	Medulloblastoma-Embryonal Tumor	0.1087771059067173	0.9962505437723512	1	FALSE	FALSE
HALLMARK_E2F_TARGETS	HGAT-ETMR	-0.8442781370019694	0.247890504026807	1	FALSE	FALSE
HALLMARK_E2F_TARGETS	Medulloblastoma-ETMR	-0.2526551970883453	0.9777963007303103	1	FALSE	FALSE
HALLMARK_E2F_TARGETS	Medulloblastoma-HGAT	0.5916229399136241	0.5552770154897779	1	FALSE	FALSE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	ETMR-Embryonal Tumor	0.711561992315046	0.2691585083227285	1	FALSE	FALSE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HGAT-Embryonal Tumor	0.3508038084811318	0.22075268737562537	1	FALSE	FALSE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Medulloblastoma-Embryonal Tumor	0.3664074656991231	0.7812651280905114	1	FALSE	FALSE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HGAT-ETMR	-0.3607581838339142	0.7330315083721843	1	FALSE	FALSE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Medulloblastoma-ETMR	-0.34515452661592294	0.8954214895656087	1	FALSE	FALSE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Medulloblastoma-HGAT	0.015603657217991264	0.9999678823574165	1	FALSE	FALSE
HALLMARK_ESTROGEN_RESPONSE_EARLY	ETMR-Embryonal Tumor	0.10800949280488795	0.9669644825557002	1	FALSE	FALSE
HALLMARK_ESTROGEN_RESPONSE_EARLY	HGAT-Embryonal Tumor	0.29050548656718084	0.04686457879988959	1	FALSE	FALSE
HALLMARK_ESTROGEN_RESPONSE_EARLY	Medulloblastoma-Embryonal Tumor	0.027178079828076795	0.9994308449847165	1	FALSE	FALSE
HALLMARK_ESTROGEN_RESPONSE_EARLY	HGAT-ETMR	0.18249599376229286	0.8230182382671534	1	FALSE	FALSE
HALLMARK_ESTROGEN_RESPONSE_EARLY	Medulloblastoma-ETMR	-0.08083141297681115	0.9927779605531258	1	FALSE	FALSE
HALLMARK_ESTROGEN_RESPONSE_EARLY	Medulloblastoma-HGAT	-0.26332740673910404	0.5998477880978086	1	FALSE	FALSE
HALLMARK_ESTROGEN_RESPONSE_LATE	ETMR-Embryonal Tumor	0.08497306101957003	0.979221259256302	1	FALSE	FALSE
HALLMARK_ESTROGEN_RESPONSE_LATE	HGAT-Embryonal Tumor	0.23415035942795842	0.10328784821278858	1	FALSE	FALSE
HALLMARK_ESTROGEN_RESPONSE_LATE	Medulloblastoma-Embryonal Tumor	-0.0925027689116254	0.9734897861648182	1	FALSE	FALSE
HALLMARK_ESTROGEN_RESPONSE_LATE	HGAT-ETMR	0.1491772984083884	0.8703365120937439	1	FALSE	FALSE
HALLMARK_ESTROGEN_RESPONSE_LATE	Medulloblastoma-ETMR	-0.17747582993119543	0.9155622756854565	1	FALSE	FALSE
HALLMARK_ESTROGEN_RESPONSE_LATE	Medulloblastoma-HGAT	-0.3266531283395838	0.3480373286233742	1	FALSE	FALSE
HALLMARK_FATTY_ACID_METABOLISM	ETMR-Embryonal Tumor	0.11430713604177362	0.9634836890790108	1	FALSE	FALSE
HALLMARK_FATTY_ACID_METABOLISM	HGAT-Embryonal Tumor	0.1882098653657749	0.33457288781887984	1	FALSE	FALSE
HALLMARK_FATTY_ACID_METABOLISM	Medulloblastoma-Embryonal Tumor	-0.11352061783904704	0.9641887979396111	1	FALSE	FALSE
HALLMARK_FATTY_ACID_METABOLISM	HGAT-ETMR	0.07390272932400128	0.9860020146925492	1	FALSE	FALSE
HALLMARK_FATTY_ACID_METABOLISM	Medulloblastoma-ETMR	-0.22782775388082066	0.8744448398943845	1	FALSE	FALSE
HALLMARK_FATTY_ACID_METABOLISM	Medulloblastoma-HGAT	-0.30173048320482193	0.5052783228356436	1	FALSE	FALSE
HALLMARK_G2M_CHECKPOINT	ETMR-Embryonal Tumor	0.38123019747923725	0.85558217512905	1	FALSE	FALSE
HALLMARK_G2M_CHECKPOINT	HGAT-Embryonal Tumor	-0.3605100616911815	0.37427378887396023	1	FALSE	FALSE
HALLMARK_G2M_CHECKPOINT	Medulloblastoma-Embryonal Tumor	0.1954856613046606	0.9767398588597669	1	FALSE	FALSE
HALLMARK_G2M_CHECKPOINT	HGAT-ETMR	-0.7417402591704187	0.3251136737543039	1	FALSE	FALSE
HALLMARK_G2M_CHECKPOINT	Medulloblastoma-ETMR	-0.18574453617457665	0.9898568134656764	1	FALSE	FALSE
HALLMARK_G2M_CHECKPOINT	Medulloblastoma-HGAT	0.5559957229958421	0.5751465487183364	1	FALSE	FALSE
HALLMARK_GLYCOLYSIS	ETMR-Embryonal Tumor	0.3456674699818185	0.6316877758120136	1	FALSE	FALSE
HALLMARK_GLYCOLYSIS	HGAT-Embryonal Tumor	0.08570104841813649	0.9188342207508207	1	FALSE	FALSE
