Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
BS_0VXZCRJS	0.00524765046121801	0	0	0.0258998282548977	0	0.0388089389008072	0.00156381419841973	0.00428776354638559	0.00126160797123818	0	0.0596948842707876	0	0.0490690697071741	0	0	0.131698000033819	0	0.00195658689798722	0.0716126892530975	0	0.00227995373681319	0.00661921276735463	9999	0.0125433722619743	1.07898049746849	0.4
BS_0ZA67BBC	0	0.0284966604986156	0	0.0198126550805981	0	0.0267023877399114	0	0.0559499201598787	0	0	0	0.0335535338875541	0.22660428290845	0	0	0.0355270327675059	0	0	0	0.141234819508572	0.00211870744891435	0	9999	0.20568435416006	1.02390558847811	0.57
BS_1N7MQZGR	0	0.00153692785582143	0	0	0	0.0697449618299861	0	0.00833822985502158	0	0	0	0.0308435925037688	0.0922477911442086	0	0	0.483594496428003	0	0.00360127195913366	0	0.160392562801945	0.00270512753242245	0.0269950380896901	9999	0.152418515942724	1.05800621311799	0.88
BS_21ET39G7	0	0.045749277219184	0	0.0459234169289767	0	0.255664513569875	0	0.029900880647658	0	0	0	0.145443232769134	0.0734289118906019	0	0.00445770495066842	0.381735577016318	0	0.0132035158263751	0	0.382421019444746	0.0397070659398539	0.042364883796609	9999	0.317531363724564	0.964866331785462	1.46
BS_2JP7RBMB	0.0115550546624696	0.0198142015021205	0.0082232736211283	0.0206918754196866	0	0.112374215298751	0	0.0175948520341128	0.0124228582563472	0	0.100930202818377	0	0.0427004348468091	0.0696123045467351	0	0.231659120437206	0	0	0.116843024352826	0	0	0.0155785822034297	9999	0.0954182578819288	1.04184090958127	0.78
BS_3AC3SRWH	0	0.00813834233462325	0.00122562934960884	0	0.0017469062091488	0.00929988357504213	0	0	0	0	0	0.00287522738613948	0.0153020755245946	0	0	0.0242326623647507	0	0.000640491785973122	0.00238046411342938	0	0.00341675929574805	0.000741558060941661	9999	-0.0168049106364176	1.09195911741606	0.07
BS_49CJNZ06	0.000995786616161898	0	0	0.0142560128154392	0	0.0150100989663945	0	0.0407855735801889	0.00456789334410671	0	0.0348904674839053	0.0159249195128289	0.0703899149968564	0.0350544518824795	0	0.259031174845705	0	0	0	0.00356310100935245	0.0821151003224558	0.0234155046241259	9999	0.0608070579719528	1.07803162910983	0.6
BS_4PPHAQXF	0.00145838643163898	0.00174790821727155	0	0.0544588797744738	0	0.150544516522738	0	0.0137042299065935	0.0240590242738135	0	0.0413127104320726	0.00736255594185165	0.0490767930412914	0	0.00410329103259115	0.138244383941404	0	0	0.0705752776674778	0	0.00261784190325664	0.000734200913525113	9999	0.0356179247184058	1.07161362700125	0.56
BS_4PWDGEB0	0.00327908252421245	0.0100766233506557	0	0.00246141771663748	0	0.0199093435373126	0	0.00058816188129825	0.00547658110348693	0	0.0290336229272959	0	0.0020470221643091	0.00999086246287733	0	0.241299136788139	0	0.000965957928966149	0.013655811060525	0	0	0.00121637655428443	9999	0.0476985539943381	1.11483323009172	0.34
BS_58YXHGAJ	0.000211883879941602	0.0018558780801607	0	0.0551430941602751	0	0.0578850290515085	0	0.0286851108304884	0.00622531755486694	0	0.00663517184022525	0.0386588420648954	0.0265272467185002	0.0110358678755724	0.000536513102958132	0.112845734571682	0	0	0.13934943953483	0	0.00111750847014702	0.00328736226394813	9999	-0.031789072132847	1.10299250127066	0.49
