gene1	gene2	mut11	mut10	mut01	mut00	odds_ratio	cooccur_sign	p	q	cooccur_score
H3F3A	TP53	21	13	3	3	1.6153846153846154	1	0.6677973520078785	0.7275244884353044	0.17535530737006752
H3F3A	ATRX	11	23	0	6	Inf	1	0.162271583324215	0.2704526388736917	0.7897575262982784
H3F3A	NF1	7	27	0	6	Inf	1	0.5671736513841779	0.7089670642302224	0.24628395293827013
H3F3A	PPM1D	7	27	0	6	Inf	1	0.5671736513841779	0.7089670642302224	0.24628395293827013
TP53	ATRX	6	18	5	11	0.7333333333333333	-1	0.7275244884353044	0.7275244884353044	-0.13815238376702949
TP53	NF1	2	22	5	11	0.2	-1	0.09415068795873752	0.18830137591747503	-1.0261765022475087
TP53	PPM1D	0	24	7	9	0	-1	6.13616712687919e-4	0.00613616712687919	-3.212102820295555
ATRX	NF1	5	6	2	27	11.25	1	0.010797294079027839	0.035990980263426134	1.9666850698639045
ATRX	PPM1D	5	6	2	27	11.25	1	0.010797294079027839	0.035990980263426134	1.9666850698639045
NF1	PPM1D	3	4	4	29	5.4375	1	0.08766995144704116	0.18830137591747503	1.0571492339645168
