gene1	gene2	mut11	mut10	mut01	mut00	odds_ratio	cooccur_sign	p	q	cooccur_score
H3F3A	TP53	22	12	3	0	0	-1	0.5366795366795367	0.80984555984556	-0.2702849638271567
H3F3A	ATRX	11	23	0	3	Inf	1	0.53989703989704	0.80984555984556	0.2676890536361951
H3F3A	NF1	7	27	0	3	Inf	1	1	1	-0
H3F3A	PPM1D	7	27	0	3	Inf	1	1	1	-0
H3F3A	MUC16	5	29	0	3	Inf	1	1	1	-0
TP53	ATRX	6	19	5	7	0.4421052631578947	-1	0.443394890950999	0.80984555984556	-0.3532093153815942
TP53	NF1	2	23	5	7	0.12173913043478261	-1	0.025398738396840856	0.0952452689881532	-1.595187855068957
TP53	PPM1D	0	25	7	5	0	-1	7.692702189855882e-5	0.0011539053284783823	-4.113921080223861
TP53	MUC16	3	22	2	10	0.6818181818181818	-1	1	1	0
ATRX	NF1	5	6	2	24	10	1	0.015782860659520993	0.07891430329760496	1.8018142776761878
ATRX	PPM1D	5	6	2	24	10	1	0.015782860659520993	0.07891430329760496	1.8018142776761878
ATRX	MUC16	2	9	3	23	1.7037037037037037	1	0.6227319756731522	0.8491799668270257	0.20569883380988002
NF1	PPM1D	3	4	4	26	4.875	1	0.10787470453030214	0.3236241135909064	0.9670803808112424
NF1	MUC16	2	5	3	27	3.6	1	0.23298164474635052	0.49924638159932255	0.6326782931344224
PPM1D	MUC16	2	5	3	27	3.6	1	0.23298164474635052	0.49924638159932255	0.6326782931344224
