gene1	gene2	mut11	mut10	mut01	mut00	odds_ratio	cooccur_sign	p	q	cooccur_score
TP53	ATRX	8	12	1	25	16.666666666666668	1	0.005961362123043041	0.008786174769890373	2.224654496143574
TP53	EGFR	5	15	4	22	1.8333333333333333	1	0.4724900737379466	0.47677128527922946	0.32560731089253453
TP53	NF1	8	12	1	25	16.666666666666668	1	0.005961362123043041	0.008786174769890373	2.224654496143574
TP53	OBSCN	6	14	2	24	5.142857142857143	1	0.06247111924193974	0.06832778667087158	1.2043207130992164
TP53	TTN	5	15	1	25	8.333333333333334	1	0.07175264089121396	0.07799200096871081	1.1441621098779462
TP53	KIAA1109	5	15	1	25	8.333333333333334	1	0.07175264089121396	0.07799200096871081	1.1441621098779462
TP53	DNAH8	5	15	1	25	8.333333333333334	1	0.07175264089121396	0.07799200096871081	1.1441621098779462
TP53	TSC2	6	14	0	26	Inf	1	0.004138010993913723	0.008786174769890373	2.383208359830332
TP53	MAGEL2	5	15	1	25	8.333333333333334	1	0.07175264089121396	0.07799200096871081	1.1441621098779462
TP53	ASCC3	5	15	1	25	8.333333333333334	1	0.07175264089121396	0.07799200096871081	1.1441621098779462
TP53	ESPL1	5	15	1	25	8.333333333333334	1	0.07175264089121396	0.07799200096871081	1.1441621098779462
TP53	PTEN	5	15	1	25	8.333333333333334	1	0.07175264089121396	0.07799200096871081	1.1441621098779462
TP53	NEB	5	15	0	26	Inf	1	0.011310563383364175	0.013819461450463536	1.9465157621662779
TP53	RYR2	5	15	0	26	Inf	1	0.011310563383364175	0.013819461450463536	1.9465157621662779
TP53	SYNE1	5	15	0	26	Inf	1	0.011310563383364175	0.013819461450463536	1.9465157621662779
TP53	FSIP2	4	16	1	25	6.25	1	0.15119707839626945	0.15749695666278068	0.8204566006908796
TP53	APC2	4	16	1	25	6.25	1	0.15119707839626945	0.15749695666278068	0.8204566006908796
TP53	ADCY9	5	15	0	26	Inf	1	0.011310563383364175	0.013819461450463536	1.9465157621662779
TP53	VPS13D	4	16	1	25	6.25	1	0.15119707839626945	0.15749695666278068	0.8204566006908796
TP53	ABCA13	4	16	1	25	6.25	1	0.15119707839626945	0.15749695666278068	0.8204566006908796
TP53	DNAH5	4	16	1	25	6.25	1	0.15119707839626945	0.15749695666278068	0.8204566006908796
TP53	LAMA3	4	16	1	25	6.25	1	0.15119707839626945	0.15749695666278068	0.8204566006908796
TP53	LRP1	5	15	0	26	Inf	1	0.011310563383364175	0.013819461450463536	1.9465157621662779
TP53	BSN	5	15	0	26	Inf	1	0.011310563383364175	0.013819461450463536	1.9465157621662779
TP53	DNAH6	5	15	0	26	Inf	1	0.011310563383364175	0.013819461450463536	1.9465157621662779
TP53	GLI2	5	15	0	26	Inf	1	0.011310563383364175	0.013819461450463536	1.9465157621662779
TP53	KIAA1549	4	16	1	25	6.25	1	0.15119707839626945	0.15749695666278068	0.8204566006908796
TP53	PCLO	5	15	0	26	Inf	1	0.011310563383364175	0.013819461450463536	1.9465157621662779
TP53	SETD2	5	15	0	26	Inf	1	0.011310563383364175	0.013819461450463536	1.9465157621662779
TP53	SMARCA4	4	16	1	25	6.25	1	0.15119707839626945	0.15749695666278068	0.8204566006908796
TP53	ATM	4	16	1	25	6.25	1	0.15119707839626945	0.15749695666278068	0.8204566006908796
TP53	DNHD1	3	17	2	24	2.1176470588235294	1	0.6396144020006508	0.640660378128207	0.19408176594051085
TP53	NAV2	4	16	1	25	6.25	1	0.15119707839626945	0.15749695666278068	0.8204566006908796
TP53	RERE	4	16	1	25	6.25	1	0.15119707839626945	0.15749695666278068	0.8204566006908796
TP53	SPTBN2	5	15	0	26	Inf	1	0.011310563383364175	0.013819461450463536	1.9465157621662779
TP53	FBN2	4	16	1	25	6.25	1	0.15119707839626945	0.15749695666278068	0.8204566006908796
TP53	GREB1L	3	17	2	24	2.1176470588235294	1	0.6396144020006508	0.640660378128207	0.19408176594051085
TP53	HELZ2	5	15	0	26	Inf	1	0.011310563383364175	0.013819461450463536	1.9465157621662779
TP53	PLCB3	5	15	0	26	Inf	1	0.011310563383364175	0.013819461450463536	1.9465157621662779
TP53	SDK2	5	15	0	26	Inf	1	0.011310563383364175	0.013819461450463536	1.9465157621662779
TP53	APOB	5	15	0	26	Inf	1	0.011310563383364175	0.013819461450463536	1.9465157621662779
TP53	IQSEC1	5	15	0	26	Inf	1	0.011310563383364175	0.013819461450463536	1.9465157621662779
TP53	ACACB	4	16	1	25	6.25	1	0.15119707839626945	0.15749695666278068	0.8204566006908796
TP53	BCOR	1	19	4	22	0.2894736842105263	-1	0.3693252035011389	0.38276089195338003	-0.4325910542012255
TP53	MUC5B	3	17	2	24	2.1176470588235294	1	0.6396144020006508	0.640660378128207	0.19408176594051085
TP53	PITRM1	5	15	0	26	Inf	1	0.011310563383364175	0.013819461450463536	1.9465157621662779
TP53	TNRC6B	5	15	0	26	Inf	1	0.011310563383364175	0.013819461450463536	1.9465157621662779
TP53	UBR1	4	16	1	25	6.25	1	0.15119707839626945	0.15749695666278068	0.8204566006908796
TP53	ZAN	4	16	1	25	6.25	1	0.15119707839626945	0.15749695666278068	0.8204566006908796
ATRX	EGFR	3	6	6	31	2.5833333333333335	1	0.34819049836540034	0.36116287933752367	0.4581830843495851
ATRX	NF1	4	5	5	32	5.12	1	0.058020091251620096	0.06351618568653675	1.236421592492267
ATRX	OBSCN	5	4	3	34	14.166666666666666	1	0.0039715395704446	0.008786174769890373	2.4010411059988597
ATRX	TTN	4	5	2	35	14	1	0.009465540008833309	0.01345160848123063	2.0238546045035024
ATRX	KIAA1109	4	5	2	35	14	1	0.009465540008833309	0.01345160848123063	2.0238546045035024
ATRX	DNAH8	3	6	3	34	5.666666666666667	1	0.07914554556888521	0.0852711462813407	1.1015735228646881
ATRX	TSC2	4	5	2	35	14	1	0.009465540008833309	0.01345160848123063	2.0238546045035024
ATRX	MAGEL2	3	6	3	34	5.666666666666667	1	0.07914554556888521	0.0852711462813407	1.1015735228646881
ATRX	ASCC3	5	4	1	36	45	1	5.066821511123464e-4	0.0016775287435476336	3.2952643943277393
ATRX	ESPL1	4	5	2	35	14	1	0.009465540008833309	0.01345160848123063	2.0238546045035024
ATRX	PTEN	3	6	3	34	5.666666666666667	1	0.07914554556888521	0.0852711462813407	1.1015735228646881
ATRX	NEB	5	4	0	37	Inf	1	9.192021325489467e-5	7.191240642011642e-4	4.036588976755405
ATRX	RYR2	4	5	1	36	28.8	1	0.003492968103686005	0.008786174769890373	2.4568053801385936
ATRX	SYNE1	4	5	1	36	28.8	1	0.003492968103686005	0.008786174769890373	2.4568053801385936
ATRX	FSIP2	4	5	1	36	28.8	1	0.003492968103686005	0.008786174769890373	2.4568053801385936
ATRX	APC2	4	5	1	36	28.8	1	0.003492968103686005	0.008786174769890373	2.4568053801385936
ATRX	ADCY9	5	4	0	37	Inf	1	9.192021325489467e-5	7.191240642011642e-4	4.036588976755405
ATRX	VPS13D	4	5	1	36	28.8	1	0.003492968103686005	0.008786174769890373	2.4568053801385936
ATRX	ABCA13	4	5	1	36	28.8	1	0.003492968103686005	0.008786174769890373	2.4568053801385936
ATRX	DNAH5	3	6	2	35	8.75	1	0.04430554278885934	0.04863287626913324	1.3535419385165541
ATRX	LAMA3	3	6	2	35	8.75	1	0.04430554278885934	0.04863287626913324	1.3535419385165541
ATRX	LRP1	4	5	1	36	28.8	1	0.003492968103686005	0.008786174769890373	2.4568053801385936
ATRX	BSN	4	5	1	36	28.8	1	0.003492968103686005	0.008786174769890373	2.4568053801385936
ATRX	DNAH6	3	6	2	35	8.75	1	0.04430554278885934	0.04863287626913324	1.3535419385165541
ATRX	GLI2	4	5	1	36	28.8	1	0.003492968103686005	0.008786174769890373	2.4568053801385936
ATRX	KIAA1549	4	5	1	36	28.8	1	0.003492968103686005	0.008786174769890373	2.4568053801385936
ATRX	PCLO	4	5	1	36	28.8	1	0.003492968103686005	0.008786174769890373	2.4568053801385936
ATRX	SETD2	4	5	1	36	28.8	1	0.003492968103686005	0.008786174769890373	2.4568053801385936
ATRX	SMARCA4	4	5	1	36	28.8	1	0.003492968103686005	0.008786174769890373	2.4568053801385936
ATRX	ATM	4	5	1	36	28.8	1	0.003492968103686005	0.008786174769890373	2.4568053801385936
ATRX	DNHD1	4	5	1	36	28.8	1	0.003492968103686005	0.008786174769890373	2.4568053801385936
ATRX	NAV2	4	5	1	36	28.8	1	0.003492968103686005	0.008786174769890373	2.4568053801385936
ATRX	RERE	3	6	2	35	8.75	1	0.04430554278885934	0.04863287626913324	1.3535419385165541
ATRX	SPTBN2	3	6	2	35	8.75	1	0.04430554278885934	0.04863287626913324	1.3535419385165541
ATRX	FBN2	3	6	2	35	8.75	1	0.04430554278885934	0.04863287626913324	1.3535419385165541
ATRX	GREB1L	3	6	2	35	8.75	1	0.04430554278885934	0.04863287626913324	1.3535419385165541
ATRX	HELZ2	4	5	1	36	28.8	1	0.003492968103686005	0.008786174769890373	2.4568053801385936
ATRX	PLCB3	4	5	1	36	28.8	1	0.003492968103686005	0.008786174769890373	2.4568053801385936
ATRX	SDK2	4	5	1	36	28.8	1	0.003492968103686005	0.008786174769890373	2.4568053801385936
ATRX	APOB	4	5	1	36	28.8	1	0.003492968103686005	0.008786174769890373	2.4568053801385936
ATRX	IQSEC1	4	5	1	36	28.8	1	0.003492968103686005	0.008786174769890373	2.4568053801385936
ATRX	ACACB	3	6	2	35	8.75	1	0.04430554278885934	0.04863287626913324	1.3535419385165541
ATRX	BCOR	2	7	3	34	3.238095238095238	1	0.2483684162147258	0.25805878699155144	0.6049036320693923
ATRX	MUC5B	3	6	2	35	8.75	1	0.04430554278885934	0.04863287626913324	1.3535419385165541
