Kids_First_Biospecimen_ID,gene,mutations
BS_007JTNB8,ATG4D,1
BS_00TRPEQX,ADGRB1,1
BS_00TRPEQX,ADH4,1
BS_00TRPEQX,ALOX12B,1
BS_00TRPEQX,ASB7,1
BS_00TRPEQX,ATP10D,1
BS_00TRPEQX,CACNA1A,1
BS_00TRPEQX,CACNA1I,1
BS_00TRPEQX,CLIP4,1
BS_00TRPEQX,CPS1,1
BS_00TRPEQX,CTC1,2
BS_00TRPEQX,CYP4X1,1
BS_00TRPEQX,DEFB118,1
BS_00TRPEQX,DHX40,1
BS_00TRPEQX,DIAPH2,1
BS_00TRPEQX,DTHD1,1
BS_00TRPEQX,DYNC1LI1,1
BS_00TRPEQX,EFCAB6,1
BS_00TRPEQX,EGR2,1
BS_00TRPEQX,FCRL2,1
BS_00TRPEQX,FMNL1,1
BS_00TRPEQX,GGA1,1
BS_00TRPEQX,GIMAP4,1
BS_00TRPEQX,GLI3,1
BS_00TRPEQX,GOLGA5,1
BS_00TRPEQX,GPR137C,1
BS_00TRPEQX,GUCY2C,2
BS_00TRPEQX,HAPLN4,1
BS_00TRPEQX,ITGAL,1
BS_00TRPEQX,KERA,1
BS_00TRPEQX,MRPS18C,1
BS_00TRPEQX,MYBPC1,1
BS_00TRPEQX,NLRP6,1
BS_00TRPEQX,NPNT,1
BS_00TRPEQX,NPRL3,1
BS_00TRPEQX,NRXN1,1
BS_00TRPEQX,OR2A12,1
BS_00TRPEQX,PCDHGA9,1
BS_00TRPEQX,PLAG1,1
BS_00TRPEQX,PLK4,1
BS_00TRPEQX,PLPPR3,1
BS_00TRPEQX,QKI,1
BS_00TRPEQX,RFX3,1
BS_00TRPEQX,RIN1,1
BS_00TRPEQX,SETD2,1
BS_00TRPEQX,SLC7A2,1
BS_00TRPEQX,SMARCA4,1
BS_00TRPEQX,TAS2R4,1
BS_00TRPEQX,TOP3A,1
BS_00TRPEQX,TSEN54,1
BS_00TRPEQX,TSN,1
BS_00TRPEQX,VSIG4,1
BS_00TRPEQX,ZNF543,1
BS_01DQH017,AASDH,1
BS_01DQH017,BIVM-ERCC5,1
BS_01DQH017,CSF3R,1
BS_01DQH017,FAM69B,1
BS_01DQH017,MAGEB3,1
BS_01DQH017,METTL11B,1
BS_01DQH017,NYNRIN,1
BS_01DQH017,PHF8,1
BS_01DQH017,TDRKH,1
BS_01Y5F4PN,FRY,1
BS_01Y5F4PN,MEAF6,1
BS_01Y5F4PN,PRSS1,1
BS_02W5H7K5,CADPS,1
BS_02W5H7K5,MAGEL2,1
BS_02YBZSBY,A2M,3
BS_02YBZSBY,A2ML1,1
BS_02YBZSBY,A3GALT2,1
BS_02YBZSBY,AAAS,1
BS_02YBZSBY,AACS,1
BS_02YBZSBY,AAGAB,1
BS_02YBZSBY,AAMP,2
BS_02YBZSBY,AARD,1
BS_02YBZSBY,AARS,2
BS_02YBZSBY,AARS2,2
BS_02YBZSBY,AASS,1
BS_02YBZSBY,ABAT,1
BS_02YBZSBY,ABCA1,3
BS_02YBZSBY,ABCA12,4
BS_02YBZSBY,ABCA2,8
BS_02YBZSBY,ABCA3,7
BS_02YBZSBY,ABCA7,2
BS_02YBZSBY,ABCA9,1
BS_02YBZSBY,ABCB1,2
BS_02YBZSBY,ABCB4,1
BS_02YBZSBY,ABCB5,1
BS_02YBZSBY,ABCB8,3
BS_02YBZSBY,ABCB9,2
BS_02YBZSBY,ABCC1,1
BS_02YBZSBY,ABCC2,2
BS_02YBZSBY,ABCC3,2
BS_02YBZSBY,ABCC6,1
BS_02YBZSBY,ABCC8,1
BS_02YBZSBY,ABCC9,2
BS_02YBZSBY,ABCD1,1
BS_02YBZSBY,ABCD4,1
BS_02YBZSBY,ABCF2,1
BS_02YBZSBY,ABCF3,3
BS_02YBZSBY,ABCG2,1
BS_02YBZSBY,ABHD1,1
BS_02YBZSBY,ABHD10,1
BS_02YBZSBY,ABHD14A-ACY1,1
BS_02YBZSBY,ABHD16B,3
BS_02YBZSBY,ABHD8,1
BS_02YBZSBY,ABI1,3
BS_02YBZSBY,ABI3BP,1
BS_02YBZSBY,ABLIM2,1
BS_02YBZSBY,ABLIM3,1
BS_02YBZSBY,ABO,1
BS_02YBZSBY,ABRAXAS2,2
BS_02YBZSBY,ABT1,1
BS_02YBZSBY,ABTB1,3
BS_02YBZSBY,AC004039.1,1
BS_02YBZSBY,AC099489.1,2
BS_02YBZSBY,AC100868.1,1
BS_02YBZSBY,ACACB,3
BS_02YBZSBY,ACAD10,2
BS_02YBZSBY,ACAD11,3
BS_02YBZSBY,ACAD9,2
BS_02YBZSBY,ACADS,1
BS_02YBZSBY,ACADVL,1
BS_02YBZSBY,ACAN,1
BS_02YBZSBY,ACAP1,1
BS_02YBZSBY,ACAP2,2
BS_02YBZSBY,ACBD3,1
BS_02YBZSBY,ACBD6,1
BS_02YBZSBY,ACCSL,1
