gene	disease	mutant_samples	total_muts	muts_per_sample
H3F3A	Diffuse midline glioma	36	36	1
BRAF	Low-grade astrocytic tumor	29	29	1
TP53	Diffuse midline glioma	25	28	1.12
CTNNB1	Craniopharyngioma	22	22	1
TP53	High-grade glioma	20	28	1.4
BRAF	Ganglioglioma	13	13	1
ATRX	Diffuse midline glioma	11	11	1
CTNNB1	Medulloblastoma	11	11	1
ATRX	High-grade glioma	9	16	1.7777777777777777
EGFR	High-grade glioma	9	14	1.5555555555555556
NF1	High-grade glioma	9	14	1.5555555555555556
DDX3X	Medulloblastoma	9	10	1.1111111111111112
OBSCN	High-grade glioma	8	28	3.5
FGFR1	Low-grade astrocytic tumor	8	12	1.5
KMT2D	Medulloblastoma	8	9	1.125
NF1	Diffuse midline glioma	7	10	1.4285714285714286
NF2	Meningioma	7	7	1
PPM1D	Diffuse midline glioma	7	7	1
TTN	High-grade glioma	6	72	12
DNAH8	High-grade glioma	6	12	2
MAGEL2	High-grade glioma	6	10	1.6666666666666667
TTN	Medulloblastoma	6	8	1.3333333333333333
KDM6A	Medulloblastoma	6	6	1
KMT2C	Medulloblastoma	6	6	1
PTEN	High-grade glioma	6	6	1
TP53	Medulloblastoma	6	6	1
NEB	High-grade glioma	5	24	4.8
RYR2	High-grade glioma	5	21	4.2
SYNE1	High-grade glioma	5	20	4
FSIP2	High-grade glioma	5	18	3.6
ABCA13	High-grade glioma	5	13	2.6
DNAH5	High-grade glioma	5	13	2.6
KIAA1549	High-grade glioma	5	12	2.4
PCLO	High-grade glioma	5	12	2.4
SETD2	High-grade glioma	5	12	2.4
SMARCA4	High-grade glioma	5	12	2.4
ATM	High-grade glioma	5	11	2.2
FBN2	High-grade glioma	5	9	1.8
APOB	High-grade glioma	5	8	1.6
BCOR	High-grade glioma	5	7	1.4
BRAF	High-grade glioma	5	6	1.2
PIK3CA	High-grade glioma	5	6	1.2
SMARCA4	Medulloblastoma	5	6	1.2
MUC16	Diffuse midline glioma	5	5	1
PDGFRA	High-grade glioma	5	5	1
PIK3CA	Low-grade astrocytic tumor	5	5	1
