Kids_First_Biospecimen_ID	sample_id	BRAF_V600E_mut	FGFR_mut	IDH_mut	H3.1_mut	H3.2_mut	H3.3_mut	MAPK_mut	RTK_mut	NF1_mut
BS_01Y5F4PN	7316-663	No	No	No	No	No	No	No	No	No
BS_03SSN1N2	7316-1744	No	No	No	No	No	No	No	No	No
BS_042DVDQM	7316-485	No	No	No	No	No	No	No	No	No
BS_04B8X54S	7316-3308	No	No	No	No	No	No	No	No	No
BS_06GPPDHZ	7316-196	No	No	No	No	No	No	No	No	No
BS_0DKPGQWD	7316-183	No	No	Yes	No	No	No	No	No	No
BS_0QEBZX3M	7316-449	No	No	No	No	No	No	No	No	No
BS_0S617SMM	7316-3922	No	No	No	No	No	No	No	No	No
BS_0XD58YD9	7316-35	No	No	No	No	No	No	No	No	No
BS_0YVR8Q4E	7316-905	No	No	No	No	No	No	No	No	No
BS_10AD3EFX	7316-375	Yes	No	No	No	No	No	No	No	No
BS_16FT8V4B	7316-167	No	No	Yes	No	No	No	No	No	No
BS_16TBX6G5	7316-3062	No	No	No	No	No	No	No	No	No
BS_17AXPP1Y	7316-176	No	No	No	No	No	No	No	No	No
BS_1B4Q7CNG	7316-1975	No	No	No	No	No	No	No	No	No
BS_1GK2EMFY	7316-3522	No	No	No	No	No	No	No	No	No
BS_1RF75MK2	7316-1114	No	No	No	No	No	No	No	No	No
BS_1VMBA3BN	7316-3555	No	No	No	No	No	No	No	No	No
BS_235QEYMQ	7316-154	No	No	No	No	No	No	No	No	No
BS_245CTSH9	7316-3323	No	No	No	No	No	No	No	No	No
BS_2CQ6K2JW	7316-391	No	No	No	No	No	No	No	No	No
BS_2F70R10Z	7316-472	No	No	No	No	No	No	No	No	No
BS_2HNHCSNB	7316-3919	No	No	No	No	No	No	No	No	No
BS_2JDVY4F7	7316-3554	No	No	No	No	No	No	No	No	No
BS_2NN6ME5A	7316-1661	No	No	No	No	No	No	No	No	No
BS_2RJN5Z4W	7316-117	No	No	No	No	No	No	No	No	No
BS_2VB8649B	7316-2989	No	Yes	No	No	No	No	No	No	No
BS_30W38X77	7316-2581	Yes	No	No	No	No	No	No	No	No
BS_3108RS7G	7316-1113	No	No	No	No	No	No	No	No	No
BS_32HAVF6S	7316-3154	No	No	No	No	No	No	No	No	No
BS_32JF8TPP	7316-462	No	No	No	No	No	No	No	No	No
BS_36HCZ3KW	7316-33	No	No	No	No	No	No	No	No	No
BS_3A0CJMRH	7316-1087	No	No	No	No	No	No	No	No	No
BS_3AERRZQT	7316-329	No	No	No	No	No	No	No	No	No
BS_3DYRAZE7	7316-1081	No	No	No	No	No	No	No	No	No
BS_3MYQP7P5	7316-2899	No	No	No	No	No	No	No	No	No
BS_3QDRWJCF	7316-441	No	No	No	No	No	No	No	No	No
BS_3R0KN6Z4	7316-2729	No	No	No	No	No	No	No	No	No
BS_3Y44RJXS	7316-893	No	No	No	No	No	No	Yes	No	No
BS_3ZMH8578	7316-487	No	No	No	No	No	No	No	No	No
BS_40SJZGT2	7316-2215	Yes	No	No	No	No	No	No	No	No
BS_41SWNWAG	7316-2752	No	No	No	No	No	No	No	No	No
BS_41TD9XET	7316-222	No	No	No	No	No	No	No	No	No
BS_45913DTA	7316-1088	No	No	No	No	No	No	No	Yes	No
BS_47454JJ6	7316-247	No	No	No	No	No	No	No	No	No
