sample_id	aliquot_id	Parent RNA	Notes	DNA/ RNA Pair Category
7316-10	717108	RNA [554634]	Has DNA that shipped from the same extraction	Same Extraction
7316-100	601598	RNA [591582]	Has DNA that shipped from the same extraction	Different TISS Aliquot
7316-101	588338	RNA [582983]	Has DNA that shipped from the same extraction	Same Extraction
7316-1038	711661	RNA [650578]	Has DNA that shipped from the same extraction	Same Extraction
7316-104	717154	RNA [582033]	Has DNA that shipped from the same extraction	Same TISS Aliquot
7316-1052	577728	RNA [575900]	Has DNA that shipped from the same extraction	Same Extraction
7316-1055	577725	RNA [575895]	Has DNA that shipped from the same extraction	Same Extraction
7316-1057	401550	Not found	Has DNA that shipped from the same extraction	Same Extraction
7316-1059	577727	RNA [575897]	Has DNA that shipped from the same extraction	Same Extraction
7316-1060	577726	RNA [575896]	Has DNA that shipped from the same extraction	Same Extraction
7316-1062	574555	RNA [573680]	Has DNA that shipped from the same extraction	Same Extraction
7316-1064	739974	RNA [604299]	Has DNA that shipped from the same extraction	Same Extraction
7316-1068	574556	RNA [573681]	Has DNA that shipped from the same extraction	Same Extraction
7316-1070	717137	RNA [591121]	Has DNA that shipped from the same extraction	Same Extraction
7316-1071	731919	RNA [731327]	Has DNA that shipped from the same extraction	Same Extraction
7316-1073	549566	RNA [447482]	Different TISS aliquot	Different TISS Aliquot
7316-1075	588351	RNA [583302]	Has DNA that shipped from the same extraction	Same Extraction
7316-1076	571410	RNA [567604]	Has DNA that shipped from the same extraction	Same Extraction
7316-1077	731885	RNA [729727]	Has DNA that shipped from the same extraction	Same Extraction
7316-1078	588352	RNA [583303]	Has DNA that shipped from the same extraction	Same Extraction
7316-1079	731888	RNA [730397]	Has DNA that shipped from the same extraction	Same Extraction
7316-1080	731870	RNA [728668]	Has DNA that shipped from the same extraction	Same Extraction
7316-1081	731897	RNA [731062]	Has DNA that shipped from the same extraction	Same Extraction
7316-1082	728285	RNA [727863]	Has DNA that shipped from the same extraction	Same Extraction
7316-1083	588302	RNA [581282]	Has DNA that shipped from the same extraction	Same Extraction
7316-1084	731871	RNA [728669]	Has DNA that shipped from the same extraction	Same Extraction
7316-1085	711673	RNA [665666]	Has DNA that shipped from the same extraction	Same Extraction
7316-1086	711674	RNA [665667]	Has DNA that shipped from the same extraction	Same Extraction
7316-1087	711721	RNA [665948]	Has DNA that shipped from the same extraction	Same Extraction
7316-1088	717180	RNA [665949]	Has DNA that shipped from the same extraction	Same Extraction
7316-1089	717173	RNA [585473]	Has DNA that shipped from the same extraction	Same Extraction
7316-109	1030652	Not found	Different TISS aliquot	Different TISS Aliquot
7316-1090	717127	RNA [570429]	Has DNA that shipped from the same extraction	Same Extraction
7316-1093	654179	RNA [648540]	Has DNA that shipped from the same extraction	Same Extraction
7316-1094	731855	RNA [728437]	Has DNA that shipped from the same extraction	Same Extraction
7316-1095	588303	RNA [581283]	Has DNA that shipped from the same extraction	Same Extraction
7316-1096	731908	RNA [731098]	Has DNA that shipped from the same extraction	Same Extraction
7316-1099	470025	RNA [415897]	Has DNA that shipped from the same extraction	Same Extraction
7316-1100	470028	RNA [415898]	Has DNA that shipped from the same extraction	Same Extraction
7316-1101	654189	RNA [644959]	Has DNA that shipped from the same extraction	Same Extraction
7316-1102	470031	RNA [415899]	Has DNA that shipped from the same extraction	Same Extraction
7316-1103	588353	RNA [583304]	Has DNA that shipped from the same extraction	Same Extraction
7316-1104	564479	RNA [560765]	Has DNA that shipped from the same extraction	Same Extraction
7316-1105	470017	RNA [416630]	Has DNA that shipped from the same extraction	Same Extraction
7316-1106	549575	RNA [478634]	Has DNA that shipped from the same extraction	Same Extraction
