sample_id	aliquot_id	experimental_strategy	parent_aliquot_id
7316-3217	A12401	WGS	A12398
A16404	A16408	WXS	A16404
A14447	A14450	WXS	A14447
A12748	A12764	RNA-Seq	A12748
A18775	A18799	WXS	A18775
7316-3216	A08713	WGS	A08692
A14449	A14458	RNA-Seq	A14449
7316-3231	SF5599-4	WGS	SF5599-4
A14709	A14711	WXS	A14709
A12398	A12404	RNA-Seq	A12398
7316-3231	SF5599-7	WGS	SF5599-7
7316-3227	A14412	WGS	A14401
A07081	A07087	WXS	A07081
A19649	A19681	WXS	A19649
A16538	A16548	RNA-Seq	A16538
A15170	A15181	WXS	A15170
A08767	A08771	WXS	A08767
A17997	A18002	WXS	A17997
7316-3219	A08961	WGS	A08924
7316-3217	A12400	WGS	A12397
7316-3223	A09825	WGS	A09689
7316-3213	A05239	WGS	A05223
A09689	A09825	WXS	A09689
A19646	A19667	WXS	A19646
A09576	A09595	RNA-Seq	A09576
7316-4446	SF10438	WGS	SF10438
A09446	A09448	WXS	A09446
A09985	A10004	WXS	A09985
7316-3230	SF5606-19	WGS	SF5606-19
A16405	A16420	WXS	A16405
A08691	A08710	WXS	A08691
A09576	A09593	WXS	A09576
A09446	A09450	RNA-Seq	A09446
7316-3228	A14450	WGS	A14447
A19015	A19018	WXS	A19015
7316-3222	A09593	WGS	A09576
A18777	A18808	RNA-Seq	A18777
A08731	A08746	WXS	A08731
A09409	A09463	WXS	A09409
A05262	A05265	WXS	A05262
A08692	A08713	WXS	A08692
7316-4448	SF10864	WGS	SF10864
A19015	A19020	RNA-Seq	A19015
A12910	A12924	WXS	A12910
A12748	A12762	WXS	A12748
A14563	A14573	WXS	A14563
A15726	A15739	WXS	A15726
A20091	A20094	WXS	A20091
7316-3224	A10004	WGS	A09985
A07150	A07168	Targeted Sequencing	A07150
7316-3218	A08774	WGS	A08768
A16915	A16919	RNA-Seq	A16915
A14566	A14574	WXS	A14566
A08924	A08961	WXS	A08924
7316-3220	A09416	WGS	A09410
A17996	A18001	WXS	A17996
A07150	A07170	RNA-Seq	A07150
A12398	A12401	WXS	A12398
7316-3214-A07081	A07087	WGS	A07081
7316-3222	A09579	WGS	A09575
A15148	A15151	WXS	A15148
