Tumor_Sample_Barcode	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total
BS_8AY2GM4G	25	26	2	4	10857	639	5	278	5	11841
BS_20TBZG09	20	34	5	4	10470	597	5	286	7	11428
BS_02YBZSBY	12	214	2	1	9277	515	3	140	8	10172
BS_VW4XN9Y7	6	141	0	3	6320	296	8	182	6	6962
BS_HM5GFJN8	53	19	6	3	1177	41	0	54	1	1354
BS_F0GNWEJJ	63	19	15	1	884	33	0	49	5	1069
BS_P3PF53V8	67	34	16	5	498	28	0	10	0	658
BS_ST3Z2B9B	1	2	1	6	465	7	1	71	29	583
BS_9ZFXXJPK	0	5	2	1	378	9	0	152	23	570
BS_1JGQPJH3	5	3	2	1	371	7	1	166	12	568
BS_QXZTRMWM	0	1	2	3	366	6	1	52	15	446
BS_89RCN9PF	1	0	0	0	370	5	0	14	42	432
BS_EDZCAHR2	1	1	1	0	302	0	1	8	25	339
BS_S0T3CQ97	43	23	9	1	224	19	0	7	1	327
BS_E0S2Y0TS	1	1	0	1	212	2	0	99	5	321
BS_MZJJRDZF	0	1	1	2	267	7	3	10	25	316
BS_QWM9BPDY	42	15	7	2	221	6	0	9	1	303
BS_R913E3VB	0	0	2	0	259	3	1	9	20	294
BS_3ZMH8578	0	0	0	0	221	3	2	10	25	261
BS_P0QJ1QAH	44	10	3	0	185	8	0	3	0	253
BS_1S2BHJ8K	8	72	1	6	143	6	0	5	3	244
BS_ERFMPQN3	3	16	2	1	198	1	0	13	1	235
BS_05S9WJW6	0	0	1	2	202	7	1	1	17	231
BS_G61CN2V0	1	0	0	0	202	1	1	4	22	231
BS_YETTZ1NC	6	4	2	1	194	8	0	6	7	228
BS_02ZSVZCB	0	2	2	2	164	2	0	53	1	226
BS_6F49F7WH	4	2	2	0	186	6	0	3	15	218
BS_3BMGF6GN	1	0	0	0	176	1	0	7	24	209
BS_VQEPFE1P	0	1	0	0	183	7	0	2	11	204
BS_85Q5P8GF	34	9	4	0	143	5	0	1	0	196
BS_WH8KWW5J	2	1	1	1	172	2	0	4	9	192
BS_MCM78YPC	0	1	1	0	160	1	0	9	15	187
BS_FJEZ3ASV	2	2	5	0	153	17	1	1	4	185
BS_PMFR8NPN	7	1	6	0	151	4	1	5	7	182
BS_PKZ1HWNB	2	2	3	0	157	13	1	1	2	181
BS_QX754ADQ	0	0	1	0	160	9	1	2	7	180
BS_19EJ85F8	0	0	0	0	161	2	0	3	12	178
BS_1CZPVCXR	8	3	3	0	146	7	0	7	1	175
BS_FSM39DXA	1	0	1	0	165	0	0	4	3	174
BS_MFTAVQ5C	0	0	1	0	143	4	1	4	15	168
BS_6T87HSPX	1	0	0	1	150	4	0	3	7	166
BS_8Q8CAY84	0	1	1	0	143	2	0	5	11	163
BS_GKN0B47F	0	0	1	0	142	2	0	5	10	160
BS_6DT506HY	1	2	0	0	134	16	0	6	0	159
BS_9HEMB7RK	1	0	0	0	147	1	0	0	9	158
BS_928HWFFM	10	0	13	1	118	2	0	3	9	156
BS_Q88059DJ	1	0	1	0	134	4	1	3	12	156
BS_47X3VAM0	2	0	0	0	137	0	0	5	9	153
BS_V2MDX7HG	0	0	2	0	136	5	1	3	5	152
BS_6HE8H9HY	0	0	1	0	135	3	0	3	9	151
BS_EJ1H9PZY	8	0	1	0	128	3	0	4	7	151
BS_JVTQD8HH	1	0	1	0	132	3	0	6	8	151
BS_QA0W86WP	1	0	5	0	127	3	0	1	14	151
BS_Z5VJCFNP	0	1	6	1	119	6	0	2	15	150
BS_0S617SMM	1	0	2	1	83	2	0	57	3	149
BS_JA3XXP1Y	2	0	3	0	136	2	1	2	3	149
BS_9GN1QA3Q	2	1	5	0	128	7	0	1	3	147
BS_AFBPM6CN	2	0	1	0	134	6	0	4	0	147
BS_QZTPJ8YW	1	0	2	0	123	1	0	6	13	146
BS_JB3J82ZK	5	1	5	0	125	2	0	3	4	145
BS_2J4FG4HV	0	0	2	1	122	4	0	3	11	143
BS_C6NB914B	0	1	2	0	122	3	1	5	9	143
BS_P8WN8XEQ	21	2	5	1	97	9	0	5	1	141
BS_SYGKQD8M	3	1	2	0	115	3	1	7	8	140
BS_FF73TT6D	0	1	2	0	117	1	0	5	13	139
BS_E8SJ36A6	2	1	3	0	117	5	0	1	9	138
BS_EDCQ4M0R	0	0	1	0	123	6	0	2	6	138
BS_M16CDR44	1	2	1	1	115	4	0	1	13	138
BS_WP2D11SK	0	1	0	0	125	2	0	2	7	137
BS_A94A7EJ4	6	1	5	0	112	7	0	3	2	136
BS_9HDPJT21	1	2	1	1	122	2	0	2	4	135
BS_03SSN1N2	0	0	0	1	118	1	0	2	11	133
BS_PZDTK87A	0	0	0	0	122	1	0	4	6	133
BS_9F2J6VS1	1	2	2	0	111	1	0	3	12	132
BS_D3KVGMRJ	1	1	1	0	119	3	0	1	5	131
BS_ZP89F1JY	1	1	1	0	110	1	0	3	14	131
BS_DT92H1MJ	0	0	2	0	115	2	0	0	11	130
BS_PC2YQ4F6	1	0	1	0	114	1	0	2	11	130
BS_ZPF89720	0	0	1	1	115	3	0	0	10	130
BS_235QEYMQ	0	0	1	0	108	3	0	5	12	129
BS_4QFSH7C4	0	0	0	1	112	3	1	8	4	129
BS_WY5KYSHJ	1	1	2	0	118	2	0	4	0	128
BS_9NF39QAW	0	0	0	0	106	2	1	2	16	127
BS_M8EBKZDG	0	0	3	1	113	3	0	0	7	127
BS_32JF8TPP	0	0	2	0	112	2	0	2	6	124
BS_Z4S81HG1	0	0	0	0	104	0	0	3	17	124
BS_10HD18B8	0	0	0	0	114	4	1	2	1	122
BS_AWV1EDYB	0	0	2	0	101	1	0	5	13	122
BS_ZKZACPVV	0	1	0	0	100	0	0	7	13	121
BS_FFD25TTK	0	0	1	0	106	1	0	2	10	120
BS_P4K6WK9Y	17	2	4	1	82	8	1	3	1	119
BS_3AERRZQT	1	1	3	0	97	1	2	5	8	118
BS_99PPRCW4	1	0	0	0	102	1	0	4	10	118
BS_9JVGXA2W	1	0	1	0	103	2	0	3	7	117
BS_DC7XYYG8	1	0	1	0	97	3	0	6	8	116
BS_NS8G0465	0	0	0	0	102	2	0	5	7	116
BS_KP0YNTAK	2	0	2	0	106	4	0	1	0	115
BS_S791VC80	6	0	4	0	97	3	1	3	1	115
BS_8TFBNHT0	1	1	2	0	102	2	0	0	6	114
BS_A70G7S2W	1	1	4	0	99	4	0	4	1	114
BS_01DQH017	1	0	0	1	101	1	0	0	9	113
BS_1135HC0V	0	0	2	1	97	2	1	1	9	113
BS_79SYEHY3	17	4	6	1	72	9	1	3	0	113
BS_BAVWP5JG	1	0	0	0	105	1	0	3	3	113
BS_MWKJF6XH	1	1	1	0	100	0	0	1	9	113
BS_NXZSD2KK	2	0	1	0	95	3	0	1	11	113
BS_YZ2YNEJJ	0	0	2	0	97	3	0	5	6	113
BS_AJAH8KG5	39	1	0	1	58	2	0	10	1	112
BS_MZB884N9	1	1	2	1	96	5	0	0	5	111
BS_71HPXFE7	2	0	2	0	90	3	0	6	7	110
BS_95RRF4NE	0	0	3	0	91	1	0	5	10	110
BS_9X9E86DY	0	1	1	0	98	2	0	2	5	109
BS_ME97J1GA	0	1	4	0	92	3	0	2	7	109
BS_CN7PB0DN	1	0	2	0	101	2	0	0	2	108
BS_JM979K1M	0	1	3	0	96	2	0	2	4	108
BS_EFBBP9H3	3	2	3	0	89	2	0	5	3	107
BS_SQSH5G7A	13	4	2	0	82	4	0	2	0	107
BS_H174820R	1	0	0	0	97	4	0	0	3	105
BS_V3ZNXRHK	0	0	2	0	96	0	0	1	5	104
BS_ZJZFT0AJ	2	0	0	1	92	6	0	1	2	104
