LGAT,Source,Embryonal tumor,Source,HGAT,Source,Ependymal tumor,Source,Other,Source
KIAA1549,RYALL 2020,DICER1,LAMBO 2020,H3F3A,MACKAY 2017,H3F3A,RYALL 2017,CTNNB1,SEKINE 2002
BRAF,RYALL 2020,TP53,LAMBO 2020,TP53,MACKAY 2017,CDKN2A,PAJTLER 2015,BRAF,QADDOUMI 2016
FGFR1,RYALL 2020,MSH2,LAMBO 2020,ATRX,MACKAY 2017,RELA,PAJTLER 2015,FGFR1,QADDOUMI 2016
TACC1,RYALL 2020,TERT,LAMBO 2020,PPM1D,MACKAY 2017,YAP1,PAJTLER 2015,MYB,QADDOUMI 2016
MYB,RYALL 2020,TFPT,LAMBO 2020,PIK3CA,MACKAY 2017,C11orf95,PAJTLER 2015,KRAS,QADDOUMI 2016
MYBL,RYALL 2020,PAARP8,LAMBO 2020,NF1,MACKAY 2017,MAMLD1,PAJTLER 2015,IDH1,QADDOUMI 2016
NTRK1,RYALL 2020,CENPE,LAMBO 2020,PIK3R1,MACKAY 2017,FAM118B,PAJTLER 2015,IDH2,QADDOUMI 2016
NTRK2,RYALL 2020,DDX11,LAMBO 2020,PDGFRA,MACKAY 2017,MAML2,PAJTLER 2015,H3F3A,QADDOUMI 2016
NTRK3,RYALL 2020,MUTYH,LAMBO 2020,ACVR1,MACKAY 2017,NF2,PAJTLER 2015,FGFR3,QADDOUMI 2016
IDH,RYALL 2020,CHEK2,LAMBO 2020,PTEN,MACKAY 2017,CLDN1,PAJTLER 2015,PDGFRA,QADDOUMI 2016
H3F3A,RYALL 2020,CTNNB1,LAMBO 2020,EGFR,MACKAY 2017,PTEN,PAJTLER 2015,NTRK2,QADDOUMI 2016
RAF1,RYALL 2020,DYNC2H1,LAMBO 2020,ATM,MACKAY 2017,ARL4D,PAJTLER 2015,MYBL1,QADDOUMI 2016
PTPN11,RYALL 2020,PTCH1,LAMBO 2020,FGFR1,MACKAY 2017,L1CAM,PARKER 2014,TACC1,QADDOUMI 2016
TSC1,RYALL 2020,MAP4K4,LAMBO 2020,CCND2,MACKAY 2017,,,MAML2,QADDOUMI 2016
TSC2,RYALL 2020,SUFU,LAMBO 2020,HIST1H3B,MACKAY 2017,,,QKI,QADDOUMI 2016
PIK3CA,RYALL 2020,ROS1,LAMBO 2020,KIT,MACKAY 2017,,,PATZ1,QADDOUMI 2016
PRKCA,RYALL 2020,KSR2,LAMBO 2020,KDR,MACKAY 2017,,,EGFR,QADDOUMI 2016
FGFR2,RYALL 2020,RASSF5,LAMBO 2020,CDKN2A,MACKAY 2017,,,EWSR1,QADDOUMI 2016
