Hugo_Symbol	3'Flank	5'Flank	Fusion	In_Frame_Ins	Missense_Mutation	Multi_Hit_Fusion	Splice_Site	3'UTR	total	MutatedSamples	AlteredSamples
BRAF	3	0	21	2	13	1	0	1	41	38	38
KIAA1549	0	0	20	0	0	0	0	0	20	20	20
PIK3CA	0	0	0	0	5	0	0	0	5	5	5
FGFR1	0	0	0	0	6	0	0	0	6	4	4
QKI	0	0	1	0	0	2	0	0	3	3	3
MYB	0	0	1	0	0	1	0	0	2	2	2
ROS1	0	0	2	0	0	0	0	0	2	2	2
TP53	0	0	0	0	1	0	1	0	2	2	2
CDKN2A	0	1	0	0	0	0	0	0	1	1	1
NTRK2	0	0	1	0	0	0	0	0	1	1	1
NTRK3	1	0	0	0	0	0	0	0	1	1	1
PTPN11	0	0	0	0	1	0	0	0	1	1	1
RAF1	0	0	1	0	0	0	0	0	1	1	1
