Hugo_Symbol	3'Flank	5'Flank	Frame_Shift_Del	Frame_Shift_Ins	Fusion	In_Frame_Ins	Missense_Mutation	Multi_Hit_Fusion	Splice_Site	3'UTR	total	MutatedSamples	AlteredSamples
BRAF	3	0	0	0	22	3	14	1	0	1	44	41	41
KIAA1549	0	0	0	0	21	0	0	0	0	0	21	21	21
PIK3CA	0	0	0	0	0	0	5	0	0	0	5	5	5
FGFR1	0	0	0	0	0	0	6	0	0	0	6	4	4
QKI	0	0	0	0	1	0	0	2	0	0	3	3	3
TP53	0	0	1	0	0	0	1	0	1	0	3	3	3
MYB	0	0	0	0	1	0	0	1	0	0	2	2	2
NTRK2	0	0	0	0	2	0	0	0	0	0	2	2	2
NTRK3	2	0	0	0	0	0	0	0	0	0	2	2	2
ROS1	0	0	0	0	2	0	0	0	0	0	2	2	2
ATRX	0	0	0	1	0	0	0	0	0	0	1	1	1
CDKN2A	0	1	0	0	0	0	0	0	0	0	1	1	1
PTPN11	0	0	0	0	0	0	1	0	0	0	1	1	1
RAF1	0	0	0	0	1	0	0	0	0	0	1	1	1
