Hugo_Symbol	3'Flank	Frame_Shift_Del	Frame_Shift_Ins	Fusion	In_Frame_Ins	Missense_Mutation	Multi_Hit_Fusion	3'UTR	total	MutatedSamples	AlteredSamples
BRAF	3	0	0	19	2	13	1	1	39	36	36
KIAA1549	0	0	0	18	0	0	0	0	18	18	18
PIK3CA	0	0	0	0	0	4	0	0	4	4	4
FGFR1	0	0	0	0	0	5	0	0	5	3	3
QKI	0	0	0	1	0	0	2	0	3	3	3
MYB	0	0	0	1	0	0	1	0	2	2	2
ROS1	0	0	0	2	0	0	0	0	2	2	2
TP53	0	1	0	0	0	1	0	0	2	2	2
ATRX	0	0	1	0	0	0	0	0	1	1	1
NTRK2	0	0	0	1	0	0	0	0	1	1	1
NTRK3	1	0	0	0	0	0	0	0	1	1	1
PTPN11	0	0	0	0	0	1	0	0	1	1	1
RAF1	0	0	0	1	0	0	0	0	1	1	1
