Hugo_Symbol	3'Flank	5'Flank	Frame_Shift_Del	Frame_Shift_Ins	Fusion	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Multi_Hit_Fusion	Nonsense_Mutation	Splice_Site	3'UTR	Silent	Splice_Region	5'UTR	RNA	total	Amp	Del	CNV_total	MutatedSamples	AlteredSamples
TP53	6	0	2	0	0	1	0	42	0	7	2	1	2	1	0	0	64	0	0	0	44	44
H3F3A	0	1	0	0	0	0	0	40	0	0	0	0	0	0	0	0	41	0	0	0	41	41
ATRX	0	1	7	2	2	0	0	14	0	3	2	2	1	0	0	0	34	0	2	2	23	24
NF1	1	2	8	2	1	0	0	4	0	8	2	2	1	0	0	0	31	0	0	0	17	17
PIK3CA	0	1	0	0	0	4	0	9	0	0	0	4	0	0	0	0	18	0	0	0	14	14
EGFR	1	0	0	0	1	0	1	14	0	0	0	5	2	0	1	0	25	1	0	1	12	13
TERT	0	7	0	0	1	0	0	4	0	0	0	1	0	0	0	0	13	0	0	0	12	12
MET	2	0	0	0	3	0	0	2	3	1	0	1	1	0	0	0	13	2	0	2	11	12
PPM1D	1	0	2	2	0	0	0	1	0	5	0	1	0	0	0	0	12	1	0	1	11	12
PTPN11	2	4	0	0	0	0	0	10	0	0	1	0	1	0	0	0	18	0	0	0	10	10
PTEN	1	0	1	1	1	1	0	4	0	0	2	5	0	0	0	0	16	0	1	1	10	10
NTRK3	5	2	0	0	3	0	0	2	0	0	0	9	0	0	0	0	21	0	0	0	9	9
BCOR	0	2	3	0	0	0	0	2	0	2	1	1	1	0	0	0	12	0	0	0	9	9
BRAF	4	0	0	0	1	0	0	7	0	0	0	4	0	0	0	0	16	0	0	0	8	8
PIK3R1	2	2	0	0	0	1	1	3	0	1	1	3	0	0	0	0	14	0	0	0	8	8
ACVR1	3	0	0	0	0	0	0	5	0	0	0	0	1	0	1	0	10	0	0	0	8	8
ROS1	3	0	0	0	2	0	0	3	0	0	0	1	1	0	0	0	10	0	0	0	8	8
PDGFRA	0	0	0	0	1	0	0	6	0	0	1	0	1	0	0	0	9	2	0	2	8	10
KIT	0	0	0	0	2	0	0	3	0	0	0	6	1	1	1	0	14	2	0	2	7	9
CDK6	1	1	0	0	1	0	0	1	1	0	0	4	1	0	0	0	10	0	0	0	7	7
IDH1	1	3	0	0	0	0	0	4	0	0	0	0	1	0	1	0	10	0	0	0	7	7
IGF1R	1	3	0	0	1	0	0	2	0	0	0	13	3	0	0	0	23	1	0	1	6	7
ATM	0	1	2	0	0	0	0	9	0	1	0	4	2	0	0	0	19	0	0	0	6	6
KMT2C	1	1	0	0	1	0	0	10	1	0	0	1	3	0	0	0	18	0	0	0	6	6
TSC2	0	0	1	0	0	0	0	8	0	0	0	0	3	1	0	0	13	0	0	0	6	6
ALK	0	1	0	0	0	0	0	2	1	2	0	0	2	0	0	0	8	0	0	0	6	6
NTRK1	0	2	0	0	1	0	0	2	0	0	0	0	1	2	0	0	8	0	0	0	6	6
SETD2	2	0	1	1	0	0	0	7	0	2	1	1	2	1	0	0	18	0	0	0	5	5
AKT1	3	0	0	0	0	0	0	0	0	0	0	2	0	1	5	0	11	0	0	0	5	5
PIK3C2G	2	5	1	0	0	0	0	0	0	0	1	0	1	0	0	0	10	0	0	0	5	5
TDRD9	1	3	0	0	0	0	0	5	0	0	0	0	1	0	0	0	10	0	0	0	5	5
CCND1	4	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	9	1	0	1	5	6
CCND2	2	1	0	0	0	0	0	0	1	0	0	4	1	0	0	0	9	0	0	0	5	5
CDKN2A	4	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	9	0	2	2	5	7
FGFR1	0	2	0	0	0	0	0	5	0	0	0	1	1	0	0	0	9	0	0	0	5	5
FYN	1	1	0	0	1	0	0	3	0	0	0	3	0	0	0	0	9	0	0	0	5	5
FOSB	2	3	0	0	0	0	0	1	0	0	0	1	1	0	0	0	8	0	0	0	5	5
DDR2	0	1	0	0	2	0	0	1	0	0	0	2	0	0	1	0	7	0	0	0	5	5
NTRK2	0	0	0	0	2	0	0	1	0	0	0	4	0	0	0	0	7	0	0	0	5	5
KRAS	4	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	5	5
MYCN	3	7	0	0	0	0	0	5	0	0	0	2	0	0	0	0	17	1	0	1	4	5
KDM6B	1	1	0	0	0	0	0	5	0	0	0	4	2	0	0	0	13	0	0	0	4	4
TOP3A	5	2	0	0	0	0	0	3	0	1	0	1	1	0	0	0	13	1	0	1	4	5
NFIB	5	3	0	0	0	0	0	1	0	0	0	2	1	0	0	0	12	0	0	0	4	4
CIC	0	1	0	0	1	0	0	6	0	0	1	0	1	0	0	0	10	0	0	0	4	4
GOLPH3	1	4	0	0	0	0	0	4	0	0	0	1	0	0	0	0	10	0	0	0	4	4
KDR	0	0	0	0	0	0	0	5	0	0	0	3	2	0	0	0	10	1	0	1	4	5
MDM2	0	1	0	0	0	0	0	1	0	0	0	6	1	1	0	0	10	0	0	0	4	4
PIK3C2B	0	1	0	0	0	0	0	5	0	0	0	4	0	0	0	0	10	0	0	0	4	4
ASXL1	1	1	0	0	0	0	0	5	0	0	0	2	0	0	0	0	9	0	0	0	4	4
SMARCE1	0	2	0	0	0	0	0	0	0	0	0	5	0	1	1	0	9	0	0	0	4	4
MAFK	0	1	0	0	0	0	0	0	0	0	0	6	1	0	0	0	8	0	0	0	4	4
MYC	4	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	8	2	0	2	4	6
PLAGL2	6	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	8	0	0	0	4	4
VEGFA	6	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	0	0	0	4	4
PDGFC	0	2	1	0	2	0	0	0	0	0	0	2	0	0	0	0	7	0	0	0	4	4
CDKN1B	2	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	6	0	0	0	4	4
AURKB	1	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	5	0	0	0	4	4
GAB2	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	5	0	0	0	4	4
HIST1H3C	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	4	4
POLE	3	0	0	0	0	0	0	7	0	0	0	0	4	0	0	0	14	0	0	0	3	3
MTOR	0	0	0	0	0	0	0	5	0	0	0	0	3	0	0	0	8	0	0	0	3	3
PDGFA	2	3	0	0	0	0	0	2	0	0	0	0	0	1	0	0	8	0	0	0	3	3
AKT2	1	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	7	0	0	0	3	3
NRAS	1	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	7	0	0	0	3	3
SLCO1B3	0	3	0	1	0	0	0	3	0	0	0	0	0	0	0	0	7	0	0	0	3	3
FANCA	0	1	0	0	0	0	0	2	0	0	0	1	1	1	0	0	6	0	0	0	3	3
YES1	1	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	6	0	0	0	3	3
CDKN2C	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	4	0	0	0	3	3
DIS3L2P1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	3	3
HIST1H2BE	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	3	3
CDKN2B	1	6	0	0	0	0	0	1	0	0	0	4	0	0	0	0	12	0	2	2	2	4
FGFR2	0	0	0	0	0	0	0	3	0	0	1	0	1	0	2	0	7	0	0	0	2	2
ID3	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	3	0	0	0	2	2
RB1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	3	0	0	0	2	2
TOP2A	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	3	0	0	0	2	2
APOBEC3H	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2
HIST1H3B	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	2	2
ID2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2
CDK4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	1	3
CDKN1C	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
DDX11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
HIST2H3C	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
