Hugo_Symbol	3'Flank	5'Flank	Fusion	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Multi_Hit_Fusion	Nonsense_Mutation	Splice_Site	3'UTR	Silent	total	MutatedSamples	AlteredSamples
BRAF	4	0	26	0	3	27	1	0	0	1	0	62	59	59
KIAA1549	0	0	26	0	0	0	0	0	0	0	0	26	26	26
PIK3CA	0	0	0	0	0	5	0	0	0	0	0	5	5	5
FGFR1	0	0	0	0	0	6	0	0	0	0	0	6	4	4
QKI	0	0	1	0	0	0	2	0	0	1	0	4	4	4
CDKN2A	0	2	0	0	0	0	0	1	0	0	0	3	3	3
MYB	0	0	2	0	0	0	1	0	0	0	0	3	3	3
NTRK2	0	1	2	0	0	0	0	0	0	0	0	3	3	3
KRAS	0	0	0	0	0	2	0	0	0	0	1	3	2	2
FGFR2	0	0	2	0	0	0	0	0	0	0	0	2	2	2
RAF1	0	0	2	0	0	0	0	0	0	0	0	2	2	2
ROS1	0	0	2	0	0	0	0	0	0	0	0	2	2	2
TP53	0	0	0	0	0	1	0	0	1	0	0	2	2	2
ALK	0	0	0	0	0	0	1	0	0	0	0	1	1	1
ATRX	0	0	0	0	0	0	0	1	0	0	0	1	1	1
MAP2K1	0	0	0	1	0	0	0	0	0	0	0	1	1	1
NTRK3	1	0	0	0	0	0	0	0	0	0	0	1	1	1
PTPN11	0	0	0	0	0	1	0	0	0	0	0	1	1	1
