sample_id	frac_unmapped_of_total	frac_multi_mapped_of_mapped	frac_dupe_of_mapped	frac_non_exonic_of_non_dupe	MEND_depth_bin	summary_flag_status
BS_014EVM2D	above_limit					NM
BS_02NZT8CE						not flagged
BS_03FT4S8B						not flagged
BS_0448A413						not flagged
BS_044XZ8ST						not flagged
BS_052PZFMK						not flagged
BS_063ERW0R						not flagged
BS_06AMMCXR						not flagged
BS_06XH7EVF	above_limit	above_limit				NM, MM
BS_07ANYSYQ						not flagged
BS_09R7GDA7						not flagged
BS_09Z7TC35						not flagged
BS_0BXY0F9N						not flagged
BS_0C7VZC0A						not flagged
BS_0GDJQANN						not flagged
BS_0HW7W7SD						not flagged
BS_0J9SHHSC						not flagged
BS_0QYS36NR						not flagged
BS_0RF0EZTV						not flagged
BS_0RQ4P069						not flagged
BS_0SCXXM6N						not flagged
BS_0SPCTBZY						not flagged
BS_0T17SY47						not flagged
BS_0VRSD9V3						not flagged
BS_0WQJP6ZG						not flagged
BS_0WVJYM9R						not flagged
BS_0X9EGHY2						not flagged
BS_0XEG6SNV				above_limit		NE
BS_0Y66ZBWE						not flagged
BS_1021ZGQT						not flagged
BS_10APZRVT						not flagged
BS_11WY983P						not flagged
BS_13CGKADW						not flagged
BS_15ETQ0E4		above_limit				MM
BS_1607397Q						not flagged
BS_17WYVEEC						not flagged
BS_196BBNEJ						not flagged
BS_1A6MQ9ZA						not flagged
BS_1AYRM596						not flagged
BS_1BWP5MCT			below_limit	above_limit		D, NE
BS_1D6PZNKN						not flagged
BS_1EBQ3T20						not flagged
BS_1EN5V3XW						not flagged
BS_1G3WYEN3						not flagged
BS_1HFK0SXV						not flagged
BS_1HQ76V6D						not flagged
BS_1J2WQ08M						not flagged
BS_1JDG6JV5						not flagged
BS_1KYGSMA7						not flagged
BS_1N9XZXGE						not flagged
BS_1NPD7PVG						not flagged
BS_1QNTEZPS						not flagged
BS_1QXEC43H						not flagged
BS_1RT76ANT						not flagged
BS_1RXZ3BP7						not flagged
BS_1SVVER1H						not flagged
BS_1T19NFJ8						not flagged
BS_1TPWFSK6						not flagged
BS_1TWCV047				above_limit		NE
BS_1XJ73KBQ						not flagged
BS_1ZVXF5FE						not flagged
BS_21RE8W46				above_limit		NE
BS_23M72ABG						not flagged
BS_23QW0BBA						not flagged
BS_23W9EPFE			above_limit			D
BS_24AHZ9ZW						not flagged
BS_258RRGDM						not flagged
BS_25T139TX				above_limit		NE
BS_264RCK7G						not flagged
BS_273HKCT4						not flagged
BS_27QE6BV7						not flagged
BS_28CDASF7						not flagged
BS_29006KEX					10-20 MEND_reads	10-20M
BS_29CPJ040						not flagged
BS_29X4ZX6Q						not flagged
BS_2A162JH9						not flagged
BS_2A5R9MEJ						not flagged
BS_2ADZNNV4						not flagged
BS_2AR3AP0N						not flagged
BS_2EMW8ZG3						not flagged
BS_2EN3X6HB						not flagged
BS_2HN96129						not flagged
BS_2KJ2YAZR						not flagged
BS_2R9TCR03						not flagged
BS_2SFTWNVE						not flagged
BS_2SHWPB5P	above_limit	above_limit	above_limit	above_limit	<10M_MEND_reads	NM, MM, D, NE, <10M
BS_2W3NC4K1					10-20 MEND_reads	10-20M
BS_2WPQ8YCW						not flagged
BS_2XD3MNKD						not flagged
BS_2YCJV2VV						not flagged
BS_2Z1MKS84						not flagged
BS_30VC3R2Q						not flagged
BS_31TF0P1N		above_limit				MM
BS_34201DKZ						not flagged
BS_37GTVG4N						not flagged
BS_398KYV92						not flagged
BS_399RPKC9						not flagged
BS_39CGACC7						not flagged
BS_3BDAG9YN						not flagged
BS_3BVVWHP5						not flagged
BS_3DCBDJAT						not flagged
BS_3EVSN5QD						not flagged
BS_3F4FQJMR						not flagged
BS_3F5PR9GS						not flagged
BS_3G3KWY18						not flagged
BS_3H71BH6Q						not flagged
BS_3J85TTZM		above_limit				MM
BS_3KASVCSQ						not flagged
BS_3KHXMAJF					10-20 MEND_reads	10-20M
BS_3MS8WVNR						not flagged
BS_3MYEMXPQ						not flagged
BS_3NNQ6PSB						not flagged
BS_3NWQXPQV						not flagged
BS_3P20Q2C3						not flagged
BS_3PYESPHA						not flagged
BS_3Q0GTSYH						not flagged
BS_3T6X4BPC			above_limit			D
BS_3TQSE8HF						not flagged
BS_3V3KE3VT						not flagged
BS_3W07B2TG						not flagged
BS_3X9WMZGJ						not flagged
BS_3XY76V8T						not flagged
BS_3Y0QXZQB						not flagged
BS_401R3KV0						not flagged
BS_40MP5BWR						not flagged
BS_42DY6WS7						not flagged
BS_42Y3YANN						not flagged
BS_44A3ES23				above_limit		NE
BS_45J79YTF						not flagged
BS_46BZ2NNN			above_limit		10-20 MEND_reads	D, 10-20M
BS_470DYRJQ						not flagged
BS_478TN841						not flagged
BS_479S95Q6						not flagged
BS_47SJZ3PH						not flagged
BS_49852ZBH						not flagged
BS_49BQS7Z6						not flagged
BS_49F4RAA4						not flagged
BS_49FQXT2E						not flagged
BS_49VCQD19						not flagged
BS_4A45GGSW						not flagged
BS_4B0BAVTX						not flagged
BS_4BWB0FA0						not flagged
BS_4C4MZ4NT						not flagged
BS_4CP4T22V						not flagged
BS_4D9DD103						not flagged
BS_4E1G7E3G						not flagged
BS_4EN8D8Y4						not flagged
BS_4FZS7TX4						not flagged
BS_4GTESTSE						not flagged
BS_4HQ3T2NC						not flagged
BS_4JWBB28H	above_limit	above_limit				NM, MM
BS_4NF35AF6	above_limit	above_limit				NM, MM
BS_4NWHYH53						not flagged
BS_4PH1MBGR						not flagged
BS_4QW2S1Q8						not flagged
BS_4SCWT0FX						not flagged
BS_4T0HPZDC						not flagged
BS_4W1DBAN4						not flagged
BS_4W68NV3M						not flagged
BS_4Y6BCYK5						not flagged
BS_4Z2F4P9N						not flagged
BS_51RA1PGE						not flagged
BS_52426AMF						not flagged
BS_52C576HH						not flagged
BS_52DAPP1Y						not flagged
BS_52MPKTJH						not flagged
BS_53CTGDQG						not flagged
BS_53GQKVEX						not flagged
BS_53M8PP88						not flagged
BS_55JW3HFM						not flagged
BS_55P8HPYD						not flagged
BS_593HEWBF						not flagged
BS_5965SFPZ						not flagged
BS_59ZJWJTF						not flagged
BS_5AF6ZNJF						not flagged
BS_5CMGN56B						not flagged
BS_5CTVXVRX						not flagged
BS_5GNQC2FF						not flagged
BS_5JM573JC			above_limit			D
BS_5K3R0F5D						not flagged
BS_5NWDARXG						not flagged
BS_5P1TN10Z						not flagged
BS_5P3CZQV8		above_limit	above_limit			MM, D
BS_5PEFNDCY						not flagged
BS_5PJCHF6V						not flagged
BS_5PV5N4HQ						not flagged
BS_5VQP0E6K						not flagged
BS_5YJEPPTP						not flagged
BS_60K3EQ9S						not flagged
BS_61E80SD6						not flagged
BS_64HCD9K3						not flagged
BS_66ABA973						not flagged
BS_66HQ3E4Z						not flagged
BS_67PX06P3						not flagged
BS_67Z63A2K						not flagged
BS_680K119G	above_limit					NM
BS_68BW2163						not flagged
BS_699TN5RN						not flagged
BS_69V8P8A0						not flagged
BS_6DCSD5Y6				above_limit		NE
BS_6G6C7VPX						not flagged
BS_6H1C1ME9						not flagged
BS_6HTK4YJP						not flagged
BS_6JHXXVR7						not flagged
BS_6MY8W3H0	above_limit					NM
BS_6MZ7FRZH						not flagged
BS_6N3AFF66	above_limit	above_limit				NM, MM
BS_6NRTJSYK				above_limit		NE
BS_6NTXGQAC						not flagged
BS_6P50QTPP						not flagged
BS_6R7SFVV2						not flagged
BS_6T4JGBGY						not flagged
BS_6VF6VPCG						not flagged
BS_6VPKXXMR						not flagged
BS_6WP1FHTE						not flagged
BS_6YMJ621P						not flagged
BS_70FFPA51						not flagged
BS_7327SDAQ						not flagged
BS_742RHK1M				above_limit		NE
BS_74FS6GMW						not flagged
BS_74G5K7JF						not flagged
BS_769BDPDB						not flagged
BS_77317DY4				above_limit		NE
BS_775HDFNY						not flagged
BS_77CDMEY4						not flagged
BS_78QX3XDF						not flagged
BS_7B89YR6K						not flagged
BS_7BTZQKYY						not flagged
BS_7BW0YRPY	above_limit					NM
BS_7C40TRCY						not flagged
BS_7FWZ518S						not flagged
BS_7G42J2SK						not flagged
BS_7GJT4A6A						not flagged
BS_7H4RFCW9						not flagged
BS_7N0B2CY1						not flagged
BS_7P83Z28P						not flagged
BS_7S6GNG04						not flagged
BS_7T1J3KET						not flagged
BS_7WNSZNE3						not flagged
BS_7XQRH69M						not flagged
BS_7XRN3CFX						not flagged
BS_7Z93ZYMS						not flagged
BS_7ZV3DPGT						not flagged
BS_81SP2HX4						not flagged
BS_84XCR9GG						not flagged
BS_850BAHH9						not flagged
BS_86Q14TZG						not flagged
BS_893A91ZM			above_limit			D
BS_8D0NYM46						not flagged
BS_8F9BDWY4						not flagged
BS_8GW1TMV2						not flagged
BS_8J09S6MZ						not flagged
BS_8J3B6ZB6						not flagged
BS_8MA5B8Y9					10-20 MEND_reads	10-20M
BS_8NY9J9NQ						not flagged
BS_8PNA0V6R						not flagged
BS_8Q77HZ4R						not flagged
BS_8RCR7Y4B						not flagged
BS_8RHPJ740						not flagged
BS_8S86CM61						not flagged
BS_8SKZ7BRN						not flagged
BS_8T7DZV2F						not flagged
BS_8VAZSJEN						not flagged
BS_8WPNFT03	above_limit	above_limit	above_limit		10-20 MEND_reads	NM, MM, D, 10-20M
BS_8Z3SCKB5						not flagged
BS_8ZD6J47V						not flagged
BS_8ZP3CBQA						not flagged
BS_8ZS9F31R						not flagged
BS_90B22NGP						not flagged
BS_912NX4Y0						not flagged
BS_91VYM11A						not flagged
BS_92MT680S		above_limit	above_limit		<10M_MEND_reads	MM, D, <10M
BS_92VDQ0NE						not flagged
BS_94MT16N2				above_limit		NE
BS_9755PSCS						not flagged
BS_97M1E2DW				above_limit		NE
BS_983Z6CA6	above_limit	above_limit	above_limit		10-20 MEND_reads	NM, MM, D, 10-20M
BS_996ZS2A4						not flagged
BS_99B1XRZQ						not flagged
BS_9BJARSX3						not flagged
BS_9CA93S6D				above_limit		NE
BS_9DFBHHB5						not flagged
BS_9DZ253JY	above_limit	above_limit	above_limit		<10M_MEND_reads	NM, MM, D, <10M
BS_9E7YVFJM						not flagged
BS_9F09XV62						not flagged
BS_9FHSNVS0				above_limit		NE
BS_9G69F50J						not flagged
BS_9GJ23RHH						not flagged
BS_9HA238XS	above_limit					NM
BS_9HSGV9TJ						not flagged
BS_9M5XJ10G						not flagged
BS_9NJHQE9F						not flagged
BS_9NZ2D6AD						not flagged
BS_9P9MB8X8						not flagged
BS_9PB3XH5D						not flagged
BS_9Q6Z6VJC						not flagged
BS_9RT63JD9						not flagged
BS_9SJWWYQ4						not flagged
BS_9V633J1X						not flagged
BS_9XVACXP0						not flagged
BS_9XWJ88Q1						not flagged
BS_A0DYVX9J						not flagged
BS_A13BMEF5						not flagged
BS_A14Z8BBK						not flagged
BS_A1VEGWTR						not flagged
BS_A3QZB9Y2						not flagged
BS_A46RDWGM						not flagged
BS_A7MC2KR2						not flagged
BS_A7Q8G0Y1			below_limit	above_limit	10-20 MEND_reads	D, NE, 10-20M
BS_A87NPZAP				above_limit		NE
BS_A89VAPVV	above_limit					NM
BS_AA164D3A						not flagged
BS_ABYF92Z9						not flagged
BS_AD4JPN9Q						not flagged
BS_AG3D3435						not flagged
BS_AG4H9S3J						not flagged
BS_AGS1HHGF						not flagged
BS_AGTPCRR4						not flagged
BS_AHEFXG7W						not flagged
BS_AJ6X83G5						not flagged
BS_AKRHBPNZ						not flagged
BS_AM70R8RG						not flagged
BS_AMQGM1V9						not flagged
BS_AMZ70B6F						not flagged
BS_AP0SZ364						not flagged
BS_ARBQDTT5						not flagged
BS_ARFQ1WG3						not flagged
BS_AVYNZHSB						not flagged
BS_AWH9757B						not flagged
BS_AZN38B7V						not flagged
BS_B0SVFK4P						not flagged
BS_B1C6GZ84						not flagged
BS_B1HVNV0T						not flagged
BS_B24PKKQB						not flagged
BS_B3M5SGPA						not flagged
BS_B53Z0T1Q						not flagged
BS_B61168DE	above_limit	above_limit				NM, MM
BS_B6M763JS						not flagged
BS_B741RZY9						not flagged
BS_B7GEH89C						not flagged
BS_B7QS4DHK						not flagged
BS_B7X8VXQ3						not flagged
BS_B8T7M0WV						not flagged
BS_B9V8RGTA						not flagged
BS_BA6AZWB3						not flagged
BS_BB0YW800						not flagged
BS_BC936YNZ						not flagged
BS_BHR08WGW						not flagged
BS_BJDNWMJH						not flagged
BS_BKQZ550R						not flagged
BS_BKR4E30C						not flagged
BS_BN986DF6						not flagged
BS_BPSTSCBJ						not flagged
BS_BPWEFR89						not flagged
BS_BSV07M7Z						not flagged
BS_BVSW4GTG						not flagged
BS_BWBDH9GM						not flagged
BS_BXXJ9P8C						not flagged
BS_C05FKR8X						not flagged
BS_C0XFDP38			above_limit			D
BS_C3P5BC92			above_limit			D
BS_C41DJZ1F						not flagged
BS_C51RB0YR						not flagged
BS_C6SKJG3N						not flagged
BS_C6ZZ3FY5						not flagged
BS_C7A2TYAC						not flagged
BS_C7N3J4NW	above_limit					NM
BS_C80S5N37						not flagged
BS_CB6VK7PB						not flagged
BS_CGB2WS2A						not flagged
BS_CHDGRYHJ						not flagged
BS_CQEETJ66						not flagged
BS_CQSAJ7BF				above_limit		NE
BS_CREQ97QC						not flagged
BS_CS170P7T			below_limit	above_limit		D, NE
BS_CS66RYDA						not flagged
BS_CTR5X93B						not flagged
BS_CVGFNCBJ						not flagged
BS_CW9QV8AG						not flagged
BS_CXVGG342						not flagged
BS_CXVJK2FY						not flagged
BS_CYEY58NY						not flagged
BS_CZ3ER8DY						not flagged
BS_CZ3NA7KV						not flagged
BS_CZ82ANWP						not flagged
BS_D0BGESQF						not flagged
BS_D0RDN4K5	above_limit	above_limit		above_limit		NM, MM, NE
BS_D144EJRQ						not flagged
BS_D29RPBSZ						not flagged
BS_D2K9C7XR						not flagged
BS_D3YBV7KB						not flagged
BS_D4PJYHZ2			above_limit		10-20 MEND_reads	D, 10-20M
BS_D5NQV7N5	above_limit	above_limit	above_limit			NM, MM, D
BS_D5P6EZ1M						not flagged
BS_D8N31T39						not flagged
BS_D9GEXXHX						not flagged
BS_DBDXCXT5	above_limit	above_limit				NM, MM
BS_DBEX7AG2		above_limit		above_limit	10-20 MEND_reads	MM, NE, 10-20M
BS_DEHJF4C7						not flagged
BS_DFGS950G						not flagged
BS_DFWFBYSN						not flagged
BS_DGTPWJ59						not flagged
BS_DHA5FMVW						not flagged
BS_DMZP9G1H						not flagged
BS_DPF1CX0G						not flagged
BS_DRD9QXR5						not flagged
BS_DRY58DTF						not flagged
BS_DS438CXE						not flagged
BS_DSS3S5XD						not flagged
BS_DV86M0Y7						not flagged
BS_DVCQ8XDZ						not flagged
BS_DY88N5ZT						not flagged
BS_DY9NTFQR	above_limit	above_limit				NM, MM
BS_E054DFJN			above_limit			D
BS_E0N3PTPN						not flagged
BS_E1CGF3KV						not flagged
BS_E2Z940S4				above_limit		NE
BS_E3BAT4C1						not flagged
BS_E3EJHXQV						not flagged
BS_E4F1D721						not flagged
BS_E4GC9EXR						not flagged
BS_E4QK839R						not flagged
BS_E60JZ9Z3						not flagged
BS_E94QRJDW						not flagged
BS_EBMCTR80						not flagged
BS_EF775B3K						not flagged
BS_EFE4YEK3						not flagged
BS_EFEZB0ZH						not flagged
BS_EHVYJAVA	above_limit					NM
BS_EJ9JKM1C						not flagged
BS_EK5PCKY0					10-20 MEND_reads	10-20M
BS_EMMF4PZX						not flagged
BS_EMYET8F4						not flagged
BS_EN2VK7NY						not flagged
BS_ENKG5GF3						not flagged
BS_ERJAJ0KA						not flagged
BS_ERWT0ZWE						not flagged
BS_ET8CJXSF						not flagged
BS_EVCAC3NH						not flagged
BS_EXGBH3TD						not flagged
BS_EXYHZ6D4	above_limit	above_limit	above_limit		<10M_MEND_reads	NM, MM, D, <10M
BS_EYSS0ZDS						not flagged
BS_EYYMKWB7						not flagged
BS_F4E8R9VY						not flagged
BS_F5BZSF3Q						not flagged
BS_F6V1Y4QS						not flagged
BS_F6Z5HFWH						not flagged
BS_F8N6CFQE						not flagged
BS_F9WKPDFG	above_limit		above_limit		10-20 MEND_reads	NM, D, 10-20M
BS_FAQQ0GCQ						not flagged
BS_FAVRBEW7						not flagged
BS_FBJ5Q54N						not flagged
BS_FCAKKZ20						not flagged
BS_FEPRNEXX						not flagged
BS_FEV5A0HN						not flagged
BS_FEYMKEK8						not flagged
