sample_group	n_samples	Kids_First_Biospecimen_IDs
Adamantinomatous Craniopharyngioma___PBTA	17	BS_03FT4S8B,BS_1HFK0SXV,BS_78QX3XDF,BS_7T1J3KET,BS_8D0NYM46,BS_A7MC2KR2,BS_ABYF92Z9,BS_B53Z0T1Q,BS_BHR08WGW,BS_FRZ76GEG,BS_GMJBGBWB,BS_JCPKYHKY,BS_NGY0TE6S,BS_PRR8K9GE,BS_VNK9XYV9,BS_XHCYEE2S,BS_YH05F9DB
Atypical Teratoid Rhabdoid Tumor___PBTA	24	BS_15ETQ0E4,BS_1QNTEZPS,BS_31TF0P1N,BS_4E1G7E3G,BS_6G6C7VPX,BS_850BAHH9,BS_90B22NGP,BS_9FHSNVS0,BS_B1HVNV0T,BS_DHA5FMVW,BS_GAGRGSSX,BS_GJNCYABP,BS_J483EMFP,BS_K25F4J3V,BS_KXCY5BN5,BS_MMNRZ1EQ,BS_MVW01FPB,BS_N0877CX1,BS_P7EY9DXG,BS_PGHK1JRW,BS_QX12J6W1,BS_S71RJ8DH,BS_WV0S8N4M,BS_WVW3W6ZB
Choroid plexus papilloma___PBTA	15	BS_0GDJQANN,BS_8Q77HZ4R,BS_AGS1HHGF,BS_B741RZY9,BS_F6Z5HFWH,BS_FAVRBEW7,BS_FEYMKEK8,BS_JX449BF5,BS_KK5C8VCK,BS_NQFH3GZH,BS_PKK3BZRG,BS_SES41DAX,BS_WE3Q8A73,BS_Z85M2R3N,BS_ZN8136D9
CNS Embryonal tumor___PBTA	9	BS_1HQ76V6D,BS_6NRTJSYK,BS_7BW0YRPY,BS_D0RDN4K5,BS_DBEX7AG2,BS_KSKZ9J7J,BS_QKT3TJVK,BS_ZQ76ZBEX,BS_ZQKGJD70
Craniopharyngioma___PBTA	11	BS_C3P5BC92,BS_D5NQV7N5,BS_DRD9QXR5,BS_E054DFJN,BS_EMMF4PZX,BS_GMDQK06Q,BS_JX7S9MY7,BS_R7HZCZ8B,BS_S6NJRR5W,BS_ZF34SJGN,BS_ZWR9W4FX
Diffuse midline glioma___PBTA	47	BS_0VXZCRJS,BS_0ZA67BBC,BS_2A5R9MEJ,BS_2JP7RBMB,BS_49CJNZ06,BS_4B0BAVTX,BS_4QW2S1Q8,BS_51RA1PGE,BS_5965SFPZ,BS_5VPM0F36,BS_6M2053M0,BS_6WP1FHTE,BS_7WM3MNZ0,BS_8ZY4GST0,BS_BMMY0H73,BS_C83TK159,BS_D7XRFE0R,BS_EZ3147MX,BS_FCDAH728,BS_G3NN392N,BS_GW0GKWMS,BS_GWSJ4Z9H,BS_H97S5SQN,BS_JB43XBCQ,BS_JQVAWTTM,BS_MB7WN0ZB,BS_MDBT7S5Z,BS_MWWZBQ60,BS_NB9XXBW6,BS_NEVYM2FP,BS_NGSG2KB6,BS_NR3P3GN2,BS_QNNX91SM,BS_R9B92M75,BS_RX1YTZ7F,BS_RXN5T5YT,BS_T3DGY9J9,BS_VF5XWFXD,BS_X4DD4KSZ,BS_XG0DBWVT,BS_XGDPK33A,BS_XM1AHBDJ,BS_XZM79E42,BS_YDEVMD24,BS_Z3RCA1T9,BS_ZF6BSFNF,BS_ZVWE73JZ
Dysembryoplastic neuroepithelial tumor___PBTA	19	BS_264RCK7G,BS_273HKCT4,BS_3T6X4BPC,BS_6MY8W3H0,BS_AJ6X83G5,BS_CQSAJ7BF,BS_CREQ97QC,BS_CZ82ANWP,BS_FWMJPKCV,BS_JXNZYGCR,BS_KM2EX0K6,BS_KQ6ZW085,BS_KZPR01BD,BS_SM8VQFPD,BS_TDEFAPNH,BS_VTJ9ESSV,BS_W7FP2G3F,BS_YNEQJ6AH,BS_ZR96A4FH
Ependymoma___PBTA	69	BS_07ANYSYQ,BS_0BXY0F9N,BS_0QYS36NR,BS_0XEG6SNV,BS_196BBNEJ,BS_34201DKZ,BS_3F4FQJMR,BS_3X9WMZGJ,BS_4FZS7TX4,BS_4NWHYH53,BS_4SCWT0FX,BS_4T0HPZDC,BS_6H1C1ME9,BS_74G5K7JF,BS_7BTZQKYY,BS_7G42J2SK,BS_8RHPJ740,BS_8ZP3CBQA,BS_AGTPCRR4,BS_BJDNWMJH,BS_C05FKR8X,BS_C80S5N37,BS_CXVJK2FY,BS_CZ3ER8DY,BS_CZ3NA7KV,BS_E4F1D721,BS_EK5PCKY0,BS_EMYET8F4,BS_EVCAC3NH,BS_FTKPQ5FZ,BS_G23JJAZY,BS_GV3NZ9QD,BS_H4NXBD2D,BS_J8VX4D17,BS_JHGW42S6,BS_KBT7MQ6H,BS_KDSTG5YY,BS_KXMYBQ6N,BS_MA2T7ET1,BS_MT15SGJN,BS_N5DVEJXT,BS_N8J1DP02,BS_NGHK9RZP,BS_P78SMRBS,BS_PJPGVD62,BS_PRAEF32W,BS_PSW27ZTE,BS_Q5WZYWCT,BS_QP6MSKRE,BS_QXKRN6CR,BS_RCFQ31XF,BS_RGPSEMHC,BS_RHD7XPNP,BS_SAA624A4,BS_SDCNP7MW,BS_T1DVKKJB,BS_T4P3J13C,BS_TBWYAFSM,BS_TNRHHYNC,BS_TXY8QYWA,BS_V4W81SFC,BS_VJ2S5DVS,BS_W80TJC27,BS_WFD0GE5X,BS_WRHDP7WF,BS_WYERXS4G,BS_X67GTEM6,BS_XF0ZX2B3,BS_XQYHPBFS
Ewing sarcoma___PBTA	7	BS_0448A413,BS_1N9XZXGE,BS_8S86CM61,BS_JFEZA9KE,BS_R4Y180DM,BS_WJGFDRWK,BS_XZTV0J8W
Glial-neuronal tumor NOS___PBTA	5	BS_5PEFNDCY,BS_ARFQ1WG3,BS_KVAJYZ6F,BS_QB7YGKN1,BS_Z1A875MW
High-grade glioma/astrocytoma___PBTA	51	BS_052PZFMK,BS_0C7VZC0A,BS_29X4ZX6Q,BS_2EN3X6HB,BS_399RPKC9,BS_3AC3SRWH,BS_3MS8WVNR,BS_45J79YTF,BS_4PWDGEB0,BS_52C576HH,BS_52MPKTJH,BS_5P1TN10Z,BS_7327SDAQ,BS_84XCR9GG,BS_8PNA0V6R,BS_9XVACXP0,BS_AWH9757B,BS_C41DJZ1F,BS_DS438CXE,BS_F0JB4EAK,BS_FEV5A0HN,BS_FX2P2WEG,BS_FYRDYBMZ,BS_GG9W3J9Y,BS_HWGWYCY7,BS_JVW2JJ39,BS_K17VQECG,BS_KBEX4RT2,BS_KP735TJ6,BS_M0QYNVK8,BS_NPA6CZQF,BS_PQVTB6BB,BS_PS0P3QJ3,BS_PXCPK5XS,BS_R5SNFB5B,BS_R7NTZR4C,BS_SB12W1XT,BS_SD8YBRBR,BS_SHJA4MR0,BS_SNVM7CZT,BS_TGS109T3,BS_TXZ7KHTQ,BS_V3Z3DB4N,BS_W4H1D4Y6,BS_W7MFJZ5A,BS_W9N9844Q,BS_X4X1SFSE,BS_YEW22W35,BS_Z8F3GM85,BS_Z8YZ6QGS,BS_ZD5HN296
Low-grade glioma/astrocytoma___PBTA	237	BS_014EVM2D,BS_063ERW0R,BS_0J9SHHSC,BS_0SCXXM6N,BS_0T17SY47,BS_0WVJYM9R,BS_0X9EGHY2,BS_0Y66ZBWE,BS_17WYVEEC,BS_1G3WYEN3,BS_1JDG6JV5,BS_1NPD7PVG,BS_1TPWFSK6,BS_1ZVXF5FE,BS_21RE8W46,BS_23W9EPFE,BS_24AHZ9ZW,BS_258RRGDM,BS_25T139TX,BS_27QE6BV7,BS_2AR3AP0N,BS_2EMW8ZG3,BS_2KJ2YAZR,BS_2R9TCR03,BS_2WPQ8YCW,BS_2YCJV2VV,BS_3G3KWY18,BS_3P20Q2C3,BS_3PYESPHA,BS_3Q0GTSYH,BS_3TQSE8HF,BS_3W07B2TG,BS_3XY76V8T,BS_401R3KV0,BS_42DY6WS7,BS_42Y3YANN,BS_470DYRJQ,BS_478TN841,BS_49852ZBH,BS_4A45GGSW,BS_4BWB0FA0,BS_4C4MZ4NT,BS_4EN8D8Y4,BS_4HQ3T2NC,BS_4NF35AF6,BS_4Y6BCYK5,BS_4Z2F4P9N,BS_52426AMF,BS_52DAPP1Y,BS_53GQKVEX,BS_55JW3HFM,BS_55P8HPYD,BS_593HEWBF,BS_5JM573JC,BS_5NWDARXG,BS_5PV5N4HQ,BS_5YJEPPTP,BS_66ABA973,BS_66HQ3E4Z,BS_680K119G,BS_68BW2163,BS_699TN5RN,BS_6N3AFF66,BS_6NTXGQAC,BS_775HDFNY,BS_7H4RFCW9,BS_7N0B2CY1,BS_7P83Z28P,BS_7XRN3CFX,BS_7Z93ZYMS,BS_8J3B6ZB6,BS_8VAZSJEN,BS_8Z3SCKB5,BS_94MT16N2,BS_9755PSCS,BS_9BJARSX3,BS_9F09XV62,BS_9HSGV9TJ,BS_9P9MB8X8,BS_9Q6Z6VJC,BS_9RT63JD9,BS_9SJWWYQ4,BS_A13BMEF5,BS_A1VEGWTR,BS_A46RDWGM,BS_AD4JPN9Q,BS_AG3D3435,BS_AKRHBPNZ,BS_AP0SZ364,BS_ARBQDTT5,BS_AVYNZHSB,BS_B0SVFK4P,BS_B3M5SGPA,BS_B6M763JS,BS_B7GEH89C,BS_B7X8VXQ3,BS_BC936YNZ,BS_BKQZ550R,BS_BN986DF6,BS_BPSTSCBJ,BS_C51RB0YR,BS_C7A2TYAC,BS_CB6VK7PB,BS_CGB2WS2A,BS_CTR5X93B,BS_CVGFNCBJ,BS_D3YBV7KB,BS_DEHJF4C7,BS_DMZP9G1H,BS_DPF1CX0G,BS_DSS3S5XD,BS_DV86M0Y7,BS_E1CGF3KV,BS_E3EJHXQV,BS_E4QK839R,BS_EBMCTR80,BS_EFEZB0ZH,BS_EHVYJAVA,BS_ERJAJ0KA,BS_ET8CJXSF,BS_EXGBH3TD,BS_EXYHZ6D4,BS_EYSS0ZDS,BS_EYYMKWB7,BS_F4E8R9VY,BS_F8N6CFQE,BS_FAQQ0GCQ,BS_FJWZ3M7V,BS_G5QBBHDV,BS_G7AGNB5G,BS_GCA4GET3,BS_GHNJ4CYC,BS_GPEGRCCT,BS_GR46VD0Q,BS_GTZCFGRZ,BS_GYXSDZ56,BS_H1XPVS9A,BS_H3FE3TH9,BS_H8A9PSYA,BS_HC5M8JTC,BS_HQ5BJ6MW,BS_HSHN8PBB,BS_HV8PFRBR,BS_J6VKB1VE,BS_JG9JZTA9,BS_JH29M4KG,BS_JKXA3FQC,BS_JMHG7GCN,BS_JVA2NQFF,BS_JWSR581E,BS_K5802F84,BS_K7MVS0Z7,BS_KEA474HN,BS_KPT2WPHW,BS_KVV7001W,BS_M4NVX721,BS_M4TTKPNR,BS_M8M56Z4Y,BS_M8WP5T16,BS_MBSTWZA6,BS_ME3HKN2C,BS_MF47B9ZW,BS_MF9X3PKH,BS_MY9D8XZ1,BS_N1E0H8YQ,BS_N210XMKR,BS_N5B2CZMH,BS_N6NE6B3W,BS_NB5XWMJT,BS_NQB91P48,BS_NRFQEQKP,BS_NS7GSHB9,BS_NT9NZYFD,BS_NYS8TRCB,BS_PEP9NZXN,BS_PN2CE34A,BS_PQ7CQFYR,BS_Q3TBCK4V,BS_Q79NP5YY,BS_QC3XCE6X,BS_QF5VVZX5,BS_QH82PBMB,BS_QTSXW7DA,BS_QV51J756,BS_R13X6TMW,BS_R244Z0WX,BS_RGSMX7QD,BS_RRAEQZ97,BS_RVSEDNJ4,BS_RWJZFTP9,BS_S1KK7XRH,BS_S50KQEXV,BS_S7CZY2CH,BS_SDA4RMMG,BS_SDZY6RZ3,BS_SFKZSJN1,BS_SHMC4902,BS_SXRS2P6T,BS_T0RKFEKR,BS_T1W4JA94,BS_T2QPMZCM,BS_T3H5AY8A,BS_T4JFN54G,BS_T55Y4Z0Y,BS_TG93XC55,BS_V72GX2AZ,BS_V89HGTET,BS_VMMJYN8Z,BS_VP3C8WZT,BS_VR7FR1NE,BS_W4HGV6E7,BS_WCRKYV0T,BS_WRQHPSXQ,BS_X0F9AYEC,BS_X16PENSA,BS_X59HSFGG,BS_X91K8KMG,BS_X9EGD530,BS_XGSA3GQE,BS_XKKB4MZV,BS_Y0PCBNJV,BS_Y7F9E2E9,BS_YB2RXRHT,BS_YCREDZTJ,BS_YEQVW4ND,BS_YG0A13JH,BS_YVMEEBKC,BS_YY5B2XDD,BS_YZ2Z1Q6Y,BS_Z0AVVB1V,BS_Z6BWR941,BS_Z7Y2466H,BS_ZRM0W01M,BS_ZTWGFWTX,BS_ZVX2GRD6,BS_ZVZDDW2G,BS_ZZMYDZJW
Medulloblastoma___PBTA	105	BS_1AYRM596,BS_1BWP5MCT,BS_1TWCV047,BS_2SFTWNVE,BS_2Z1MKS84,BS_3F5PR9GS,BS_3MYEMXPQ,BS_3NWQXPQV,BS_3V3KE3VT,BS_4CP4T22V,BS_4D9DD103,BS_4PH1MBGR,BS_4W68NV3M,BS_5PJCHF6V,BS_5VQP0E6K,BS_61E80SD6,BS_77317DY4,BS_7C40TRCY,BS_7FWZ518S,BS_7XQRH69M,BS_81SP2HX4,BS_8GW1TMV2,BS_8T7DZV2F,BS_9M5XJ10G,BS_9NJHQE9F,BS_9NZ2D6AD,BS_9PB3XH5D,BS_9V633J1X,BS_A14Z8BBK,BS_A87NPZAP,BS_AHEFXG7W,BS_AM70R8RG,BS_AMZ70B6F,BS_BA6AZWB3,BS_BPWEFR89,BS_BSV07M7Z,BS_BVSW4GTG,BS_CHDGRYHJ,BS_D144EJRQ,BS_DFWFBYSN,BS_E3BAT4C1,BS_EFE4YEK3,BS_ERWT0ZWE,BS_FKDQJJB5,BS_G00FHF3Q,BS_GNV89A5P,BS_H4B5Y6S0,BS_HB03GSHF,BS_HD4EJYE3,BS_HE57E1RP,BS_HF3RNN2T,BS_HHPA8NJ2,BS_HKZENFDA,BS_HTEPAKCM,BS_HZE3KYZ1,BS_HZRM07TW,BS_J1AB8PMA,BS_J71N7D09,BS_J8G4SH4Z,BS_JFB984RG,BS_JT82QGXF,BS_JTMXAMB7,BS_JZRM1S3T,BS_K3ER45RV,BS_K74PZET7,BS_K81DR8XG,BS_KN92S7YQ,BS_KVNGNETA,BS_KYF0Q0E7,BS_M15PW2N0,BS_M84H3KXA,BS_N4B1SZZH,BS_NKEAAFMW,BS_NKRYMHEP,BS_NZ71XCG3,BS_QEYPFYHD,BS_QPPPGYP4,BS_QRDT19KS,BS_R439VVPK,BS_R6WNEEE4,BS_RCC8BXVE,BS_RD4D5F9F,BS_S1M423AB,BS_SKGJ5SY9,BS_TA9WP4TH,BS_TE0GVDNG,BS_TW8DQH8J,BS_TYAYZ9ZW,BS_TZVFR600,BS_V72H4RQS,BS_V9HVBBDW,BS_VA5T4KAA,BS_VJVDJABP,BS_VMEX27TN,BS_VPBMDMQX,BS_VT6C6N6K,BS_VVFBW0YH,BS_W311713R,BS_W9AT0MR7,BS_WH5HDE0A,BS_YEB88D32,BS_YETBN0RQ,BS_Z45HD492,BS_ZV68CES9,BS_ZXYDSBM9
Meningioma___PBTA	14	BS_23M72ABG,BS_398KYV92,BS_3DCBDJAT,BS_5AF6ZNJF,BS_6YMJ621P,BS_70FFPA51,BS_E2Z940S4,BS_JGPR9SR2,BS_K2FHZGTK,BS_KF0ZXDER,BS_M026T44Q,BS_Q2T9ZRM0,BS_QW60M0FE,BS_THSPSG2Z
