"","stranded_over_polya_logFC","average_logCPM","F","PValue","BH FDR"
"AC069282.1",-8.94770553613536,1.04092378574575,155.173429467538,1.37081347373166e-10,2.20434940947988e-06
"AC018635.1",-9.32227548347707,1.17794774705544,137.834897912473,3.73540711189631e-10,2.20434940947988e-06
"AC011472.3",-8.45574644024753,1.07625522761466,135.01646589952,4.44284722400455e-10,2.20434940947988e-06
"LRRC37A16P",-9.31332794333937,1.2421773861728,134.655435936069,4.54370568289393e-10,2.20434940947988e-06
"AC005062.1",-8.86235238993956,1.09652039321652,132.690982175254,5.13882275615414e-10,2.20434940947988e-06
"AC009630.3",-9.39128981976768,1.19836102905047,128.50417853266,6.71667272978177e-10,2.31637251178155e-06
"SPDYE3",-10.253932243042,1.1970766728581,126.69213721385,7.55996250581447e-10,2.31637251178155e-06
"HNRNPKP2",-4.67517831221911,0.689526710806876,123.199308270462,9.53614285325902e-10,2.55663989895874e-06
"SCARNA2",10.2283427294431,1.45253189074806,118.534427758791,1.31230551833247e-09,3.12736986191054e-06
"AP001001.1",-6.57994217054503,0.988304059348571,110.08696605371,2.40799875424576e-09,4.2733858866773e-06
"RIMKLBP2",-6.75039640726265,1.01310850453511,109.341010233315,2.54546022839717e-09,4.2733858866773e-06
"PRPS1P2",-8.45945206862523,1.3587307660194,109.025242585487,2.60624289598569e-09,4.2733858866773e-06
"AL020996.3",-8.65182433381178,1.27772977438162,108.705708929264,2.66938795558314e-09,4.2733858866773e-06
"RPSAP54",-7.24903123580036,0.930106067317915,108.120738863448,2.78941637511573e-09,4.2733858866773e-06
"SFT2D3",11.360386794849,1.6928425377768,104.943546613176,3.55497617311063e-09,5.06495557588439e-06
"MED4-AS1",-8.10041210061384,1.3756982045376,103.15565739445,4.08611133480266e-09,5.06495557588439e-06
"AL122010.1",-7.83534755513677,1.30565995553662,102.915125421349,4.16403224707782e-09,5.06495557588439e-06
"AC008894.2",-8.78119328648239,1.49767648565714,102.653343612839,4.25070870784778e-09,5.06495557588439e-06
"ASS1P12",-7.93166456046366,1.36117220863235,97.7615676573333,6.29984026934181e-09,7.08952869299513e-06
"AC018638.1",-8.67750333307163,1.4686906928855,97.1761605051647,6.61089956452362e-09,7.08952869299513e-06
"AL512770.1",-8.44139034203062,1.42459320751939,95.7065214640607,7.46930709092256e-09,7.6019345504074e-06
"AC006547.1",-9.05960812640941,1.42377749270459,94.7361682570536,8.10336095492906e-09,7.6019345504074e-06
"AC005523.2",-7.77511491812834,1.21474603295833,94.6651976566395,8.15201858725151e-09,7.6019345504074e-06
"AC099850.3",-8.01408376628377,1.32746276057995,90.3014688974009,1.18676596633676e-08,1.05641502201779e-05
"AC005726.3",-7.55651443681699,1.30628589124223,89.7616927022269,1.24450361277969e-08,1.05641502201779e-05
"AL513523.10",-8.47313362254548,1.36672497947001,89.4379173267164,1.28062246234906e-08,1.05641502201779e-05
"AC069234.3",-8.67861877393042,1.38869534569225,88.8161605075585,1.35327722243457e-08,1.07500332839913e-05
"AC010978.1",-8.42729911460604,1.53241798704305,88.2947973571085,1.41772104610083e-08,1.08597432131324e-05
