"","stranded_over_polya_logFC","average_logCPM","F","PValue","BH FDR"
"AC008894.2",-9.24048679708724,3.41211605718386,245.072137787951,9.69487329197052e-10,1.66942268599232e-05
"SCARNA2",10.4867102921705,8.57897804399361,226.789569938791,1.55671641737441e-09,1.66942268599232e-05
"ZNF460",5.59575966573282,6.00898003274365,210.180395238141,2.47284862444578e-09,1.71957273330096e-05
"AC005062.1",-9.39731443547692,4.23252745402049,201.363166855654,3.20696145710735e-09,1.71957273330096e-05
"SCARNA13",7.77740761952421,4.04937393257472,174.501631030746,7.6076816813174e-09,2.94057704088818e-05
"ZACN",-9.24810645863074,4.49748802500972,170.749045597895,8.66816417784503e-09,2.94057704088818e-05
"SCARNA12",7.15812763278775,3.12831447967522,164.769436412538,1.07321890421739e-08,2.94057704088818e-05
"AC136632.1",-4.5565659645079,3.26363157837242,164.171528177928,1.09682097757858e-08,2.94057704088818e-05
"AC005523.2",-8.31230638173346,4.50025037031187,156.208617692241,1.47607848188004e-08,3.47114197188825e-05
"LRRC37A16P",-9.81574861654976,1.0965222061947,153.814375094165,1.61839890520713e-08,3.47114197188825e-05
"HIST1H4E",7.19090670411172,5.39591343713347,148.39177841635,2.00356775252747e-08,3.90659283238266e-05
"AC024267.6",-5.54659357649905,1.40179446736458,140.426516236874,2.7787573757043e-08,4.96656568284216e-05
"CXCR5",-7.15431554297829,2.43579418195681,134.079502789728,3.65143576288649e-08,5.54661445929172e-05
"AC005912.1",-5.18980040303258,3.25367616363486,133.999352993127,3.66432741003478e-08,5.54661445929172e-05
"FP236383.2",-16.7059293043357,9.3042168886705,131.767227110716,4.04540664706156e-08,5.54661445929172e-05
"AC011472.3",-8.8924254709204,0.217806048553615,131.262986560321,4.13772059626387e-08,5.54661445929172e-05
"Z74021.1",-5.20902124743042,1.49502511273865,116.563795141507,8.29287750023757e-08,9.08659067165997e-05
"AC064799.1",-5.25288246205115,1.30091497236751,116.312732103193,8.3976490163153e-08,9.08659067165997e-05
"RN7SKP203",7.79462814196748,1.26450928735511,115.282983519656,8.8436931059141e-08,9.08659067165997e-05
"MT-RNR2",-14.6917331852757,12.0212517476363,114.935144674978,9.00050714258783e-08,9.08659067165997e-05
"SFT2D3",12.7446834754402,2.69545399725565,344.201419701289,9.36049799182031e-08,9.08659067165997e-05
"AL136370.1",-5.43413435867586,3.31428218853982,113.016889646229,9.92528654335846e-08,9.08659067165997e-05
"FP236383.3",-17.9831745741422,10.5804251877913,111.837643431164,1.05482499503053e-07,9.08659067165997e-05
"AL138478.1",-10.6173759129594,2.01308059614101,111.643604819004,1.06550301459375e-07,9.08659067165997e-05
"AC114491.1",-7.22460516369134,1.88437449465912,111.288742498432,1.08535613469002e-07,9.08659067165997e-05
"ZNF808",2.29750488778723,4.49016757826022,111.005535217067,1.10150763457273e-07,9.08659067165997e-05
"HIST1H2AH",7.46255207306468,3.04440723000385,109.681312692062,1.18081435591501e-07,9.21825344411918e-05
"HIST1H1B",8.89678500255565,5.63836752791962,108.854397282033,1.23368373683675e-07,9.21825344411918e-05
"MT-RNR1",-11.9527775249101,9.23283510180713,108.661505416874,1.24640689052339e-07,9.21825344411918e-05
"AC006449.7",-8.85279100318802,0.814871154744058,107.905880111225,1.29773065255998e-07,9.22849090639033e-05
"AC025259.1",-8.73225107840047,0.749678475729858,107.394584111855,1.33384566438875e-07,9.22849090639033e-05
"SCARNA10",9.00771159124616,6.00273943954044,106.220640318557,1.4212519448339e-07,9.52594116024924e-05
"RPL7AP30",-8.01478573772008,1.53243189725394,104.070403996157,1.59911479760394e-07,0.000103352877580703
"HIST1H2BL",7.53093542434793,3.5826074064775,103.446605464472,1.65544038061095e-07,0.000103352877580703
"HIST1H3F",8.29242063903638,4.68471623605876,102.915186300168,1.70523951623645e-07,0.000103352877580703
"FP671120.3",-17.1332600828452,9.73113863015537,102.591353468805,1.73643457793812e-07,0.000103352877580703
"AC015674.1",-8.8389643138416,0.875665812036339,102.120835290231,1.78294315110313e-07,0.000103352877580703
"HIST1H3I",8.56376802135463,3.29486439403451,101.465896205014,1.8500991620013e-07,0.000104423491648957
