"","stranded_over_polya_logFC","average_logCPM","LR","PValue","BH FDR"
"RIMKLBP2",-7.0396791119583,5.04336942777866,119.073337624475,1.00928160306335e-27,2.16470718225028e-23
"HNRNPKP2",-4.84138336497823,4.77499584280735,115.464233631807,6.22720882448913e-27,6.67805874338214e-23
"AC069282.1",-9.22469724949776,5.14994682423266,114.017897989191,1.29137593873625e-26,9.23247704467167e-23
"AP001001.1",-6.90901765774058,5.05006879246603,112.277941803716,3.1057185239014e-26,1.66528627251593e-22
"RPSAP54",-7.37898437077565,4.98193111539302,110.172949655842,8.98037097610659e-26,3.85221993391068e-22
"SCARNA2",9.8597442028476,5.2317761459049,106.639894596551,5.33875656185284e-25,1.90842751231033e-21
"AC011472.3",-8.72530171761682,5.18030900065386,106.054747217149,7.1725993625039e-25,2.18730709434376e-21
"AC018635.1",-9.57117678250055,5.27153687412539,105.661050391192,8.7490271408948e-25,2.18730709434376e-21
"SPDYE3",-10.395648876915,5.2467306692125,105.469695634542,9.63603591317568e-25,2.18730709434376e-21
"AC009630.3",-9.60797076607256,5.26240580849657,105.357341901441,1.019818675095e-24,2.18730709434376e-21
"AC005062.1",-9.08388212575112,5.18813768522027,103.842059088325,2.19104217755708e-24,4.27213387493131e-21
"AL020996.3",-8.87250781922723,5.30643617432415,100.238476413835,1.35109136249404e-23,2.41485062856434e-20
"RN7SK",8.05763441796369,5.28485489529975,96.7197992736697,7.98665860106274e-23,1.31767579750457e-19
"PRPS1P2",-8.73877328139184,5.43364497650234,95.5524723493623,1.44022872265528e-22,2.20643040310789e-19
"AC005726.3",-7.79224591367593,5.30500203235874,94.1619423523456,2.90737229618792e-22,4.02759216445065e-19
"AL512770.1",-8.67072921241708,5.44688786063831,94.0968670095528,3.00454469559914e-22,4.02759216445065e-19
"AC005523.2",-8.14959691690218,5.28845196048608,91.9313500967023,8.97360931359015e-22,1.13215277975224e-18
"LRRC37A16P",-9.59472946717255,5.41292205989359,91.107522366887,1.36073395635057e-21,1.62139010532261e-18
"MRPS36P1",-7.90623011377629,5.41281408434246,90.5674083126756,1.78781126180786e-21,2.01815662859237e-18
"AC099850.3",-8.25095540545346,5.34385947334111,89.7434846502648,2.71129741347474e-21,2.90759534621031e-18
"AL122010.1",-8.16634269242868,5.40762233618384,88.8001914187862,4.36773673034558e-21,4.46091511392629e-18
"AC006547.1",-9.29561457462033,5.47944336307526,87.292741893558,9.35907261418359e-21,9.12424497404589e-18
"PFN1P1",-9.2086026083012,5.5496357064149,87.1176730887158,1.02252748459411e-20,9.51421745323972e-18
"ASS1P12",-8.25260554526648,5.45544799976651,87.0378753491462,1.06462709286532e-20,9.51421745323972e-18
"SFT2D3",11.1960759344517,5.59835429121975,86.457671563764,1.42760425714637e-20,1.22477024429101e-17
"AC008894.2",-9.00978291976515,5.61083664960637,85.2159424984395,2.67496407073555e-20,2.20663959188985e-17
"AL590627.1",-5.26672736986303,4.94031603418759,84.9996838978063,2.98412779462688e-20,2.30879247428409e-17
"AC018638.1",-8.99147979974868,5.58261863291238,84.9799306427908,3.01408939201579e-20,2.30879247428409e-17
"RN7SKP203",7.73637506028067,5.4271183631161,84.6203391332255,3.61526969541489e-20,2.67380360093995e-17
"AC008635.1",-7.79364494098434,5.5131862300879,83.8196098589034,5.42044657929791e-20,3.87525794109272e-17
"AC010300.1",-8.81092311575357,5.65608659679947,83.7108735701392,5.72693658013706e-20,3.96230115389612e-17
"AC069234.3",-8.93324987959794,5.44734856310606,82.8253720243334,8.96320705611948e-20,6.00758952936408e-17
"AC092171.2",-7.43467738249607,5.35927769175097,82.5817688994184,1.01387911011359e-19,6.58959974355041e-17
"AC211433.1",-7.8672478989206,5.42339173116797,82.4912921105587,1.06136692746281e-19,6.69535231183013e-17
"MED4-AS1",-8.49565077201892,5.54931595609517,81.8380279705041,1.4770896567193e-19,9.05160541637588e-17
"RPS28P7",-5.58971986462511,4.99906785642955,80.5308142447444,2.86206817015743e-19,1.70515661426491e-16
"AC007560.1",-8.02187771127772,5.6409884841143,79.8462834255472,4.04700792940889e-19,2.34595205594492e-16
"AC015674.1",-8.59771195255887,5.52976569169724,79.2632705755267,5.43609883491197e-19,3.06824862661031e-16
"AC021224.1",-9.14675679022474,5.55280594670762,78.3642755350631,8.56878736227962e-19,4.71239362426085e-16
"AC008764.2",-8.10379839600319,5.59690460664497,78.0148349238556,1.02269592302273e-18,5.48369553924788e-16
"AC025259.1",-8.56040913232198,5.57003680253286,76.9323920656128,1.76911588639332e-18,9.25463354423512e-16
