"","stranded_over_polya_logFC","average_logCPM","F","PValue","BH FDR"
"SNRPF",-2.23303417884516,4.78570772128576,49.7942902902217,1.5730626480641e-08,3.37421938009749e-05
"HINT2",-2.21273855992285,4.8575519583216,43.5559556774356,6.82624814480356e-08,7.32115113530181e-05
"HINT1",-2.15301820155175,4.80006650223625,40.6588505442424,1.40347324603923e-07,0.000100348337091805
"DIMT1",-1.92912051079711,4.78176844038755,38.3909910748871,2.51494092761366e-07,0.000134863707243282
"RPL26",-2.89652356078997,5.0550762125042,34.6036997408997,6.93722565165948e-07,0.000265209184942142
"RPS27",-2.32177259689982,4.96242659694631,34.3602396121039,7.41843873964033e-07,0.000265209184942142
"DRAP1",-1.88741352146772,4.87386045680567,32.4760843663939,1.256570930859e-06,0.000385049235241794
"RPL36AL",-2.30163987445974,5.03337450080126,30.8952147713169,1.97756966704344e-06,0.000530235866976022
"NDUFB6",-1.86908410265635,4.85016168257491,29.4465393559287,3.02516776320104e-06,0.000720998316896248
"ASH1L",1.66824137595836,4.83852123166674,28.726967589131,3.74958834013543e-06,0.000804286698959049
"DPM1",-1.45008680259665,4.70140987601988,27.5732733265049,5.31702439237453e-06,0.000975643034376579
"SNRPD2",-2.43583573630614,5.07849111073318,26.9067275379549,6.52494380514e-06,0.000975643034376579
"ATP6V1G1",-1.52555780411391,4.66244731490584,26.3635532771684,7.72212403855844e-06,0.000975643034376579
"MAGOH",-1.96696128666392,4.92183944190435,26.3566321965632,7.73879125668179e-06,0.000975643034376579
"TMA7",-1.53253777443655,4.79364646409439,26.3029829905408,7.86927923776886e-06,0.000975643034376579
"TCEAL4",-1.69528550891139,4.86039508532573,26.2259257540492,8.06076641235118e-06,0.000975643034376579
"SSR4",-1.40805027476857,4.71203589752509,26.1618988853301,8.22360157145925e-06,0.000975643034376579
"PFDN2",-1.58453709747051,4.80112299931635,26.0307776025353,8.56797141639629e-06,0.000975643034376579
"SETD1B",1.33434869595301,4.68374654606771,26.0032932846352,8.64205951196037e-06,0.000975643034376579
"CUTA",-1.76053283150351,4.84833932892624,25.3610380170646,1.05798325407129e-05,0.00110615545095551
"CHMP4A",-1.70464743986357,4.90520396727707,25.2874298710227,1.08294939254385e-05,0.00110615545095551
"GATAD2B",1.44440915428375,4.74796167906042,25.083867056725,1.15527520023646e-05,0.00112639332023055
"GPN3",-1.63699675868467,4.81619434841976,24.9265205867245,1.21465657041319e-05,0.00113279927979839
"EID1",-1.68730952956374,4.85200589029286,24.431808864475,1.42321143078659e-05,0.00127199521626551
"MRPS36",-1.50873562688226,4.84179218148104,23.6120787574895,1.85597733049099e-05,0.00159242854956127
"SEM1",-1.69499118033581,4.83811893297975,23.308840821697,2.04945197392526e-05,0.00159764492673627
"ARID1A",1.3251664308339,4.71785196551371,23.1192145741605,2.18113655678359e-05,0.00159764492673627
"RPS19BP1",-1.56761409370812,4.876739696745,23.0842632346915,2.20636542791689e-05,0.00159764492673627
"UBE2B",-1.26807431158226,4.71261640414395,22.9125456072721,2.33485672329392e-05,0.00159764492673627
"KIAA1109",1.47550367664779,4.71632881401758,22.9073323116474,2.33887877230765e-05,0.00159764492673627
"NDUFA11",-1.32241917592784,4.75230512162853,22.8493284311217,2.38412396532199e-05,0.00159764492673627
"NOL7",-1.34568413992075,4.76900560125959,22.8211646795057,2.40642421326981e-05,0.00159764492673627
"SRP14",-1.636371627381,4.91352038942119,22.7571709663829,2.45791527190196e-05,0.00159764492673627
"MACF1",1.48178596354045,4.78707076796225,22.414765448644,2.75384774024981e-05,0.00173735394201054
"HUWE1",1.69212874743467,4.90549978135752,22.125152398195,3.03342822490183e-05,0.00185262793029907
"MRPS28",-1.78539147996933,4.94170306661252,21.9895123751899,3.17450278914626e-05,0.00185262793029907
"BANF1",-1.41226409247383,4.67883621249165,21.9697047732426,3.1956752177653e-05,0.00185262793029907
"SRP9",-1.44553867827032,4.82210621213508,21.5644249809179,3.66316212324723e-05,0.00204769745940583
"RRP9",-1.55615548036935,4.87164297406849,21.5164530623067,3.72308628982879e-05,0.00204769745940583
"MYDGF",-1.59551010413158,4.87056497401998,21.2047054039776,4.13853710635721e-05,0.00221929052328405
"MRPL33",-1.86854356716786,4.99033439575921,21.0926521158948,4.29956072163175e-05,0.00224940432875612
"RPL21",-1.62235597862016,4.85595947785305,20.9427443051335,4.52537306172527e-05,0.00231117267080969
"RPL11",-1.43373784676436,4.78314678808018,20.040390713301,6.17683530539359e-05,0.00308123528606261
"GNG10",-2.26928670928274,5.17386380479957,19.675067486211,7.01638015167212e-05,0.00342048532394016
"SVBP",-1.40669414584152,4.8182367878741,19.3051748928142,7.98989500212367e-05,0.00380851661767895
"COX17",-1.51722468671308,4.85286068298318,19.144975418149,8.45478991667186e-05,0.00389316663360308
"KRCC1",-1.63116644745708,4.95340493425329,19.1197737623511,8.53048166803473e-05,0.00389316663360308
"UBR4",1.54643796262915,4.90801121947921,18.9323905006725,9.11616771388184e-05,0.00407378744714095
"RPS9",-1.52483219749669,4.84350207063313,18.5213937782361,0.000105543176904896,0.00458341918473434
"SELENOS",-1.27802238329688,4.79970044592819,18.487286680633,0.000106839608035766,0.00458341918473434
"RPL27",-1.48390927058825,4.88147573698149,18.1304085861267,0.000121456891908323,0.00510833398320298
"HCFC1",1.21498411602172,4.67884462893204,17.8812584720473,0.000132902258295351,0.00541640914091912
"EDF1",-1.13726434171893,4.68752512846261,17.8616558660073,0.000133849763125402,0.00541640914091912
"RPS29",-2.09066392031365,5.14329618742761,17.7900110463805,0.00013737379940185,0.00541640914091912
"SPTSSA",-2.08624957466544,5.1151455626203,17.7184419192869,0.00014099192785469,0.00541640914091912
"TBCA",-1.2053189943876,4.78383810354509,17.7103474505109,0.000141407418131222,0.00541640914091912
"SELENOW",-1.46782061791715,4.9120155741956,17.1209823145946,0.000175418714713241,0.00660128321157724
"CFDP1",-1.50071437826096,4.94747970628901,17.0554816480052,0.000179699649242841,0.0066457887521706
"RPLP1",-1.30741439702771,4.81016600257602,16.971719641337,0.000185335269545531,0.00670771015008874
"RPL31",-1.70148930685141,4.93098216802299,16.9362453598383,0.000187777946791834,0.00670771015008874
"MED11",-1.48763288900168,4.93434937667315,16.893657325073,0.000190755393545647,0.00670771015008874
"CCDC12",-1.16260947769954,4.79810214752324,16.7367566106849,0.000202161677225537,0.00699414189756092
"SYF2",-1.61388757868547,4.99347931669133,16.6887040351919,0.00020579720171507,0.00700690472506072
"RPL27A",-1.43152909494088,4.81575501897724,16.5594106945485,0.000215925851273056,0.00712183414040017
"ARPC3",-1.6223329679478,4.99000726638537,16.5358315263373,0.000217829033516197,0.00712183414040017
"BRD4",1.09315483280004,4.72367538615757,16.5197969894859,0.000219133358166159,0.00712183414040017
"CHMP5",-1.346271565438,4.86991666824268,16.4731024601073,0.000222978863078752,0.00713865166125259
"H3F3A",-1.23285673271326,4.6553601697751,16.3815845877384,0.000230723787428516,0.00718221807063901
"MED13",1.22496018067148,4.70612714746883,16.3572506652693,0.000232830519304162,0.00718221807063901
"EBNA1BP2",-1.2265930353168,4.8012644707081,16.3394470175047,0.000234384738901972,0.00718221807063901
"OST4",-1.92293098236915,5.1503772716441,16.1042255789599,0.000255978957674132,0.0077334487917044
"RANBP2",1.13175743559024,4.65570467244876,15.7890356943645,0.00028826087827037,0.00858777199847145
"ANAPC13",-1.24496653627411,4.80529456360571,15.6856246763344,0.00029976667767922,0.00880821265235515
"POLR3GL",-1.12188881209188,4.71778860991928,15.6496856728333,0.000303878027722503,0.00880835634411849
"FRG1",-1.18106141932235,4.68934380946526,15.5601747381067,0.000314378796093032,0.00887235434985211
"ARF4",-1.16459341886948,4.73954788854766,15.5048730118604,0.000321057255195891,0.00887235434985211
"PFN1",-1.59089235177489,4.95624797085249,15.4572589869839,0.000326927310865085,0.00887235434985211
"RPL35A",-1.3363233462643,4.838746477998,15.4500585511997,0.000327824826652751,0.00887235434985211
"SUMO2",-1.27368977781109,4.61926308684689,15.430610215721,0.000330262037021187,0.00887235434985211
"RPS15A",-1.59466046202903,4.93677511765077,15.4255154230835,0.000330903658735743,0.00887235434985211
"SELENOK",-1.16089769002474,4.74099638296467,15.2703370105205,0.000351090442770774,0.00929739505855939
"NDUFA5",-1.74109117613021,5.04582002528624,15.2349093273153,0.000355878948629,0.00930927249767323
"TRIAP1",-1.08498733695548,4.74682568484306,15.0807273470022,0.000377536071879964,0.00965728580779059
"COX6B1",-1.0415903343679,4.74036238504132,15.0691886043844,0.000379211876711003,0.00965728580779059
"VPS29",-1.10961832329844,4.75479622990747,15.0069914764141,0.000388381238338521,0.00965728580779059
"RPF1",-1.01829487415132,4.66423910387517,14.9899533358103,0.000390933715877211,0.00965728580779059
"FAM177A1",-1.04153530498806,4.7494651348009,14.9849003054053,0.000391694109686611,0.00965728580779059
"SOD1",-1.39606400066649,4.94371145600913,14.8532469414516,0.000412066274898051,0.01004411545064
"C9orf16",-1.02697444727846,4.7178045745169,14.8238314660524,0.000416769183450541,0.0100446056011394
"PPIH",-1.10982059201133,4.61901602580143,14.6418145254683,0.000447159365561251,0.0106572982125431
"NDUFA1",-1.59751075614685,4.99220902096064,14.5444138420008,0.000464375142851058,0.0108683154880725
"SARNP",-1.03608670900858,4.66209173910773,14.5346072524202,0.00046614686475649,0.0108683154880725
"RPL10A",-1.43020547404339,4.91081900538603,14.4836770588758,0.000475463787648127,0.010966342198981
"RNF7",-1.01935612465545,4.68913850539665,14.3598762194816,0.000498941242918182,0.0113854145325479
"NDUFA2",-1.13823815323827,4.76104121138861,14.300802898637,0.000510572572875758,0.0114404454149066
"MRPS34",-1.12791484514912,4.72178807827292,14.2723510326034,0.000516276536555811,0.0114404454149066
"PDCD5",-1.02273330334642,4.73874125186981,14.2670164496897,0.000517353475639133,0.0114404454149066
"C19orf53",-1.30648895692023,4.91247446897345,13.9938729366201,0.000575794989110859,0.0126028597106407
"ZMAT2",-1.05550609744402,4.75341674804213,13.9268137509196,0.000591183769136484,0.0126881273921853
"RPS21",-2.73973512732683,5.5686849440906,13.8936408240908,0.000598956438116419,0.0126881273921853
"BLOC1S4",-1.2944835043829,4.85011151767711,13.8930482636341,0.000599096257388447,0.0126881273921853
"HMGN3",-1.81019603520076,5.17650301985175,13.8750838718992,0.000603351512355665,0.0126881273921853
"TMSB10",-1.81772145407855,5.12590093947025,13.8494496420092,0.000609478928678674,0.0126925466215122
"SENP5",0.967179220092118,4.75858065642874,13.7777233480925,0.000626975890295292,0.0129262696505204
"HIPK1",1.05111375178187,4.65698346305557,13.7544987847679,0.000632754458417081,0.0129262696505204
"ZCRB1",-1.01941280690789,4.70816155847523,13.6842841968172,0.000650569660214233,0.0131648294449012
"GADD45GIP1",-1.65415320879835,5.06413262292779,13.4980833446617,0.000700429702281514,0.01404132440555
"H2AFJ",-1.13815974647516,4.79768722932422,13.4654961275788,0.000709563435244765,0.014092718227778
"RP9",-1.45398142782571,5.01924723373963,13.412675497475,0.000724636775935121,0.0142600539851453
"NCBP2-AS2",-1.10759358208034,4.81606199922873,13.3569936220182,0.00074089376756839,0.0144474284675836
