sample_barcode	sample_id
GTEX-XXEK-0526-SM-4BRWD	SRR1068687
GTEX-TKQ2-1526-SM-4DXUN	SRR1068788
GTEX-QV44-0008-SM-447AX	SRR1068808
GTEX-UJMC-0426-SM-4IHJF	SRR1068832
GTEX-XOTO-0526-SM-4B662	SRR1068855
GTEX-O5YT-0008-SM-4E3IQ	SRR1068880
GTEX-R55E-0726-SM-48FCZ	SRR1068905
GTEX-PWN1-0726-SM-48TDR	SRR1068929
GTEX-PWN1-1526-SM-48TDA	SRR1068953
GTEX-XBED-1626-SM-47JYN	SRR1068977
GTEX-U8XE-0826-SM-4E3J1	SRR1068999
GTEX-X5EB-0006-SM-46MV5	SRR1069024
GTEX-XUJ4-1826-SM-4BOOU	SRR1069048
GTEX-UPIC-0626-SM-4IHK2	SRR1069074
GTEX-XV7Q-2626-SM-4BRVA	SRR1069097
GTEX-U4B1-0008-SM-4DXUW	SRR1069121
GTEX-U8XE-1526-SM-4E3HT	SRR1069141
GTEX-XAJ8-0326-SM-47JYI	SRR1069166
GTEX-XLM4-2926-SM-4AT59	SRR1069188
GTEX-RWSA-2026-SM-47JX8	SRR1069209
GTEX-QEG5-1426-SM-447AS	SRR1069231
GTEX-VUSG-1226-SM-4KKZF	SRR1069255
GTEX-X4XX-0926-SM-46MV7	SRR1069279
GTEX-XPVG-0626-SM-4B65B	SRR1069303
GTEX-PSDG-1326-SM-48TD2	SRR1069328
GTEX-PWOO-0626-SM-48TZH	SRR1069352
GTEX-XV7Q-0526-SM-4BRWR	SRR1069376
GTEX-XGQ4-0126-SM-4AT4H	SRR1069400
GTEX-V955-0126-SM-4JBH5	SRR1069421
GTEX-XK95-0008-SM-4AT5G	SRR1069445
GTEX-T6MO-1526-SM-4DM57	SRR1069466
GTEX-P78B-0008-SM-48TE1	SRR1069490
GTEX-XGQ4-1826-SM-4AT6F	SRR1069514
GTEX-QLQW-0126-SM-447BK	SRR1069539
GTEX-T5JW-0008-SM-4DM5X	SRR1069564
GTEX-QCQG-0008-SM-48U2G	SRR1069590
GTEX-WFG7-0008-SM-4LMKB	SRR1069614
GTEX-XUZC-1126-SM-4BOPZ	SRR1069638
GTEX-W5WG-1626-SM-4LMKG	SRR1069666
GTEX-XXEK-2026-SM-4BRVE	SRR1069690
GTEX-TKQ2-0926-SM-4DXU5	SRR1069714
GTEX-S4Q7-1226-SM-4AD5I	SRR1069734
GTEX-TMMY-1226-SM-4DXT6	SRR1069758
GTEX-QLQW-0726-SM-447AA	SRR1069778
GTEX-XXEK-0926-SM-4BRWH	SRR1069802
GTEX-P4QS-0008-SM-48TDY	SRR1069826
GTEX-XGQ4-1226-SM-4AT67	SRR1069850
GTEX-Q2AI-0626-SM-48TZU	SRR1069871
GTEX-R53T-1026-SM-48FCO	SRR1069895
GTEX-SJXC-0008-SM-4DM7G	SRR1069919
GTEX-S7PM-0126-SM-4AD6S	SRR1069967
GTEX-PWN1-1426-SM-48TDF	SRR1069991
GTEX-XBEW-0226-SM-4AT6A	SRR1070015
GTEX-R55E-1326-SM-48FCR	SRR1070036
GTEX-WFJO-0826-SM-4LVM5	SRR1070060
GTEX-N7MS-0526-SM-4E3JP	SRR1070086
GTEX-RUSQ-0326-SM-47JWS	SRR1070111
GTEX-WFON-1526-SM-4LVMP	SRR1070133
GTEX-T2YK-0326-SM-4DM7D	SRR1070159
GTEX-RU72-1026-SM-46MUG	SRR1070184
GTEX-XV7Q-2326-SM-4BRVZ	SRR1070208
GTEX-XUW1-0926-SM-4BONX	SRR1070232
GTEX-RWS6-1726-SM-47JXP	SRR1070286
GTEX-PWCY-0426-SM-48TCW	SRR1070308
GTEX-XYKS-0526-SM-4BRW2	SRR1070358
GTEX-XBED-1226-SM-4AT5V	SRR1070382
GTEX-WFON-0626-SM-4LVLX	SRR1070403
GTEX-W5X1-0008-SM-4LMKA	SRR1070455
GTEX-R55C-1426-SM-48FED	SRR1070479
GTEX-XAJ8-0926-SM-47JXZ	SRR1070503
GTEX-QVJO-0008-SM-447AU	SRR1070525
GTEX-PWOO-1226-SM-48TCO	SRR1070549
K-562-SM-4BRWK	SRR1070573
GTEX-UPJH-0626-SM-4IHJN	SRR1070597
GTEX-XBEW-1326-SM-4AT63	SRR1070620
GTEX-T6MN-1126-SM-4DM71	SRR1070641
GTEX-SE5C-1226-SM-4BRWV	SRR1070665
GTEX-RN64-1826-SM-48FDV	SRR1070689
GTEX-XYKS-1826-SM-4E3JV	SRR1070713
GTEX-XYKS-1226-SM-4BRVI	SRR1070764
GTEX-SE5C-1126-SM-4BRWZ	SRR1070789
GTEX-XQ3S-0006-SM-4BOQ4	SRR1070813
GTEX-XBED-2226-SM-47JYQ	SRR1070841
GTEX-XBEW-0126-SM-4AT66	SRR1070863
GTEX-Q2AH-1126-SM-48TZM	SRR1070884
GTEX-XOT4-0626-SM-4B66L	SRR1070888
GTEX-QDVN-0426-SM-48TZ6	SRR1070913
GTEX-UJHI-0008-SM-4IHL1	SRR1070937
GTEX-XUJ4-0726-SM-4BOOP	SRR1070960
GTEX-WZTO-0011-R6B-SM-4E3J6	SRR1070986
GTEX-RU1J-0426-SM-46MUK	SRR1071011
GTEX-XYKS-2126-SM-4E3IB	SRR1071035
GTEX-REY6-1426-SM-48FDK	SRR1071060
GTEX-S7SE-0826-SM-4AT4D	SRR1071084
GTEX-WFJO-2026-SM-4LVM3	SRR1071105
GTEX-XQ8I-1826-SM-4BOOJ	SRR1071131
GTEX-OXRN-0126-SM-48TDM	SRR1071157
GTEX-WH7G-1626-SM-4LVMY	SRR1071181
GTEX-RU72-0726-SM-46MUW	SRR1071207
GTEX-XUJ4-2626-SM-4BOQ3	SRR1071231
GTEX-X4XY-0011-R8A-SM-46MVC	SRR1071289
GTEX-VUSG-0626-SM-4KL1Z	SRR1071313
GTEX-RWSA-0008-SM-47JYX	SRR1071337
GTEX-U3ZN-1126-SM-4DXUL	SRR1071359
GTEX-SIU7-1526-SM-4BRWQ	SRR1071379
GTEX-WH7G-0002-SM-4LVN9	SRR1071403
GTEX-T6MN-2026-SM-4DM7L	SRR1071429
GTEX-XUYS-0226-SM-47JX1	SRR1071453
GTEX-T6MO-1126-SM-4DM5D	SRR1071475
GTEX-TKQ1-0326-SM-4DXSM	SRR1071499
GTEX-Q2AH-0926-SM-48TZK	SRR1071519
GTEX-XOTO-0426-SM-4B66A	SRR1071543
GTEX-XUW1-0826-SM-4BOP6	SRR1071594
GTEX-VUSG-0008-SM-4KL24	SRR1071620
GTEX-V955-0926-SM-4JBJ8	SRR1071644
GTEX-U3ZM-0826-SM-4DXU6	SRR1071717
GTEX-PWN1-2026-SM-48TD9	SRR1071737
GTEX-S4UY-1626-SM-4AD55	SRR1071761
GTEX-X638-0126-SM-47JZ8	SRR1071785
GTEX-T5JC-1526-SM-4DM68	SRR1071807
GTEX-QDT8-2526-SM-48TYX	SRR1071832
GTEX-Q2AH-0626-SM-48TZJ	SRR1071856
GTEX-X261-0011-R8A-SM-4E3I5	SRR1071880
GTEX-XQ3S-1326-SM-4BOPQ	SRR1071905
GTEX-X4XY-0006-SM-46MV2	SRR1071931
GTEX-XQ3S-0426-SM-4BOOA	SRR1071955
GTEX-PW2O-0008-SM-48TEB	SRR1071983
GTEX-QLQW-0326-SM-447A8	SRR1072007
GTEX-W5WG-2226-SM-4LMI3	SRR1072031
GTEX-UPK5-1226-SM-4IHL8	SRR1072055
GTEX-XUW1-1126-SM-4BONZ	SRR1072078
GTEX-XMK1-0326-SM-4B652	SRR1072104
GTEX-S7SF-1426-SM-4AT5A	SRR1072129
GTEX-XQ8I-1126-SM-4BOO2	SRR1072150
GTEX-XMD1-0011-R5A-SM-4AT47	SRR1072178
GTEX-W5WG-1726-SM-4LMI5	SRR1072199
GTEX-PSDG-0008-SM-48TE5	SRR1072223
GTEX-X638-0226-SM-47JZ9	SRR1072247
GTEX-XUW1-1526-SM-4BOOY	SRR1072269
GTEX-R55G-1026-SM-48FDI	SRR1072297
K-562-SM-4DM4W	SRR1072321
GTEX-X88G-0006-SM-47JX5	SRR1072345
GTEX-XMD1-0011-R10A-SM-4AT4A	SRR1072367
GTEX-X62O-2226-SM-46MW3	SRR1072388
GTEX-U3ZH-1126-SM-4DXUG	SRR1072412
GTEX-T6MO-0626-SM-4DM6P	SRR1072432
GTEX-OOBJ-0926-SM-48TDO	SRR1072456
GTEX-X8HC-1426-SM-46MWC	SRR1072480
GTEX-WZTO-0011-R8A-SM-4E3II	SRR1072504
GTEX-XPVG-0006-SM-4B65Z	SRR1072529
GTEX-VUSG-1126-SM-4KKZQ	SRR1072554
GTEX-SE5C-1526-SM-4BRWU	SRR1072578
GTEX-VJYA-0926-SM-4KL1N	SRR1072602
GTEX-Q2AI-0226-SM-48U1D	SRR1072626
GTEX-SN8G-0008-SM-4DM4X	SRR1072676
GTEX-RU1J-0526-SM-46MUT	SRR1072700
GTEX-XOTO-0326-SM-4B66K	SRR1072724
GTEX-PX3G-0426-SM-48U1C	SRR1072749
GTEX-R55D-0008-SM-48FEV	SRR1072773
GTEX-X585-0011-R8A-SM-46MUX	SRR1072797
GTEX-QMRM-1126-SM-447BN	SRR1072821
GTEX-WFG8-1926-SM-4LVM1	SRR1072845
GTEX-XYKS-0005-SM-4BRUD	SRR1072871
GTEX-XOT4-0008-SM-4B664	SRR1072895
GTEX-WFON-1126-SM-4LVMA	SRR1072920
GTEX-PX3G-3026-SM-48TZR	SRR1072948
GTEX-WFJO-0626-SM-4LVMC	SRR1072972
K-562-SM-4IHK7	SRR1072998
GTEX-T8EM-0826-SM-4DM76	SRR1073021
GTEX-PWN1-2526-SM-48TDS	SRR1073045
GTEX-XQ3S-2526-SM-4BOOG	SRR1073069
GTEX-S341-1226-SM-4AD5S	SRR1073095
GTEX-SN8G-0926-SM-4DM5I	SRR1073119
GTEX-X585-0011-R3B-SM-46MVG	SRR1073143
GTEX-RM2N-0326-SM-48FD8	SRR1073167
GTEX-XUJ4-0926-SM-4BOPA	SRR1073191
GTEX-XMK1-1726-SM-4B64Z	SRR1073217
GTEX-O5YW-0008-SM-4E3IE	SRR1073242
GTEX-XV7Q-0326-SM-4BRVM	SRR1073267
GTEX-XUW1-0426-SM-4BOOT	SRR1073291
GTEX-X4XY-0008-SM-46MVL	SRR1073317
GTEX-SE5C-0726-SM-4BRWY	SRR1073341
GTEX-QCQG-0126-SM-48U27	SRR1073365
GTEX-T5JW-0426-SM-4DM7M	SRR1073389
GTEX-XBED-0003-SM-47JWP	SRR1073413
GTEX-S33H-1626-SM-4AD68	SRR1073435
GTEX-RM2N-0826-SM-48FD3	SRR1073459
GTEX-S4UY-1226-SM-4AD51	SRR1073483
GTEX-S4Z8-0226-SM-4AD5K	SRR1073507
GTEX-XAJ8-1326-SM-47JYT	SRR1073531
GTEX-XUW1-0626-SM-4BOP4	SRR1073553
GTEX-QV44-1825-SM-447CF	SRR1073581
GTEX-XQ8I-0926-SM-4BOOF	SRR1073605
GTEX-XXEK-0326-SM-4BRVV	SRR1073631
GTEX-Q734-1126-SM-48TZY	SRR1073655
GTEX-XBEW-0006-SM-4AT4E	SRR1073679
GTEX-XQ3S-0126-SM-4BOO9	SRR1073705
GTEX-XXEK-2226-SM-4BRUM	SRR1073731
GTEX-OHPN-0011-R9A-SM-4DXUH	SRR1073755
GTEX-S4Q7-0226-SM-4AD5O	SRR1073775
GTEX-XMD3-2326-SM-4AT5H	SRR1073878
GTEX-SNOS-1226-SM-4DM5H	SRR1073899
GTEX-XV7Q-0626-SM-4BRV5	SRR1073923
GTEX-PLZ6-0126-SM-48TC6	SRR1073947
GTEX-TKQ1-0626-SM-4DXTS	SRR1073971
GTEX-WFG8-0326-SM-4LVN4	SRR1073991
GTEX-RU72-0008-SM-46MV8	SRR1074017
GTEX-WXYG-2326-SM-4E3I6	SRR1074041
GTEX-SUCS-0926-SM-4DM4Z	SRR1074066
GTEX-WH7G-0826-SM-4LVMR	SRR1074090
GTEX-SIU7-0226-SM-4BRX2	SRR1074116
GTEX-T6MO-1026-SM-4DM72	SRR1074140
GTEX-XOTO-0011-R11B-SM-4B64O	SRR1074164
GTEX-XMK1-0626-SM-4B65A	SRR1074189
GTEX-X585-1426-SM-4E3JO	SRR1074214
GTEX-R53T-1326-SM-48FCQ	SRR1074239
GTEX-XUZC-0008-SM-4BOQG	SRR1074263
GTEX-WXYG-2026-SM-4E3IY	SRR1074289
GTEX-UJHI-1126-SM-4IHLN	SRR1074314
GTEX-XAJ8-0726-SM-47JY5	SRR1074337
GTEX-XQ8I-0626-SM-4BOPT	SRR1074359
GTEX-XPVG-0326-SM-4B653	SRR1074385
GTEX-U3ZM-0926-SM-4DXSW	SRR1074410
GTEX-TMMY-2226-SM-4DXTN	SRR1074430
GTEX-SNMC-0526-SM-4DM69	SRR1074450
GTEX-RWSA-1726-SM-47JX7	SRR1074474
GTEX-QDVJ-0626-SM-48U1T	SRR1074478
GTEX-QDVJ-0726-SM-48U1W	SRR1074502
GTEX-NPJ8-0626-SM-48TBO	SRR1074526
GTEX-XYKS-2526-SM-4BOPX	SRR1074550
GTEX-V955-1126-SM-4JBH3	SRR1074578
GTEX-TML8-1426-SM-4DXUT	SRR1074602
GTEX-UPK5-1526-SM-4JBJA	SRR1074622
GTEX-X585-0005-SM-46MV3	SRR1074646
GTEX-QDT8-0526-SM-4LMJR	SRR1074670
GTEX-X4XY-0826-SM-4E3JM	SRR1074694
GTEX-XPVG-2526-SM-4B66D	SRR1074719
GTEX-XPT6-0008-SM-4B64Q	SRR1074744
GTEX-XGQ4-0826-SM-4AT4T	SRR1074769
GTEX-XPVG-0926-SM-4B651	SRR1074790
GTEX-S7SF-1026-SM-4AD4I	SRR1074815
GTEX-XGQ4-1626-SM-4AT6J	SRR1074839
GTEX-SE5C-2126-SM-4BRUJ	SRR1074860
GTEX-S95S-0326-SM-4B66U	SRR1074884
GTEX-SE5C-0008-SM-4B64J	SRR1074909
GTEX-XAJ8-0526-SM-47JYK	SRR1074934
GTEX-PWCY-0008-SM-48TE9	SRR1074956
GTEX-Q2AH-0008-SM-48U2J	SRR1074980
GTEX-PSDG-1426-SM-48TD1	SRR1075004
GTEX-XBED-0926-SM-48TCE	SRR1075054
GTEX-VJYA-2026-SM-4KL1K	SRR1075078
GTEX-UTHO-2426-SM-4JBHD	SRR1075102
GTEX-REY6-2126-SM-48FD9	SRR1075126
GTEX-PWCY-1726-SM-48TD3	SRR1075150
GTEX-XMK1-0126-SM-4B65F	SRR1075198
GTEX-T5JW-0726-SM-4DM6D	SRR1075223
GTEX-XQ3S-1426-SM-4BOPR	SRR1075247
GTEX-XBEW-0008-SM-4AT3Y	SRR1075273
GTEX-TKQ1-0426-SM-4DXT4	SRR1075294
GTEX-RUSQ-0226-SM-47JWT	SRR1075314
GTEX-S4P3-0626-SM-4AD59	SRR1075336
GTEX-PWN1-2426-SM-48TDD	SRR1075360
GTEX-T2IS-1126-SM-4DM6Z	SRR1075384
GTEX-OHPM-0008-SM-4E3IP	SRR1075408
GTEX-XOTO-0011-R5A-SM-4B657	SRR1075433
GTEX-XMD1-0826-SM-4AT52	SRR1075484
GTEX-NL4W-0008-SM-4E3I2	SRR1075505
GTEX-XPVG-2026-SM-4B65E	SRR1075530
GTEX-QXCU-1126-SM-48FE5	SRR1075555
GTEX-S32W-0426-SM-4AD6H	SRR1075579
GTEX-QDVN-1026-SM-48TZA	SRR1075603
GTEX-V955-1926-SM-4KL1L	SRR1075607
GTEX-XQ8I-0226-SM-4BOPM	SRR1075631
GTEX-T6MN-0008-SM-4DM7H	SRR1075659
GTEX-X585-0002-SM-46MVA	SRR1075683
GTEX-X638-0008-SM-47JZ7	SRR1075707
GTEX-UPIC-1726-SM-4IHKG	SRR1075729
GTEX-XUJ4-0008-SM-4BOQI	SRR1075752
GTEX-XBEC-1526-SM-4AT68	SRR1075804
GTEX-XPT6-2126-SM-4B66P	SRR1075825
GTEX-T2IS-2226-SM-4DM65	SRR1075850
GTEX-S341-0626-SM-4AD5T	SRR1075874
GTEX-WZTO-0011-R7B-SM-4E3IS	SRR1075898
GTEX-PWN1-0008-SM-48TEA	SRR1075923
GTEX-RTLS-1226-SM-46MUP	SRR1075947
GTEX-XBEC-0326-SM-4AT4M	SRR1075971
GTEX-XOT4-1126-SM-4B66E	SRR1075997
GTEX-X4XY-1626-SM-46MVN	SRR1076022
GTEX-X4XX-0011-R6B-SM-46MWP	SRR1076072
GTEX-QXCU-0008-SM-48FCH	SRR1076096
GTEX-S33H-1826-SM-4AD65	SRR1076120
GTEX-U8XE-1826-SM-4E3HV	SRR1076170
GTEX-R45C-1226-SM-48FEE	SRR1076195
GTEX-X4XY-0926-SM-4E3JD	SRR1076219
GTEX-PX3G-1026-SM-48TZW	SRR1076244
GTEX-SIU7-1426-SM-4BRWT	SRR1076268
GTEX-X8HC-0626-SM-4E3HQ	SRR1076292
GTEX-R53T-0826-SM-48FCP	SRR1076343
GTEX-Q2AH-0226-SM-48U1I	SRR1076369
GTEX-T5JC-2526-SM-4DM6G	SRR1076393
GTEX-SNMC-0626-SM-4DM6H	SRR1076417
GTEX-REY6-2426-SM-48FF5	SRR1076441
GTEX-XPVG-1726-SM-4B65W	SRR1076465
GTEX-XV7Q-0005-SM-4BRWI	SRR1076511
GTEX-WFG7-1026-SM-4LMK8	SRR1076535
GTEX-X585-0426-SM-4E3JZ	SRR1076559
GTEX-S32W-1326-SM-4AD5Q	SRR1076584
K-562-SM-4JBIQ	SRR1076608
GTEX-XMK1-0226-SM-4B65D	SRR1076632
GTEX-P4PP-0008-SM-48TDV	SRR1076657
GTEX-QEL4-1526-SM-447AB	SRR1076681
GTEX-QVUS-0626-SM-447CC	SRR1076705
GTEX-PWOO-0008-SM-48TDU	SRR1076729
GTEX-XUZC-0126-SM-4BOO6	SRR1076753
GTEX-XBED-0526-SM-47JY3	SRR1076779
GTEX-RVPV-0526-SM-47JYL	SRR1076801
GTEX-XV7Q-0226-SM-4BRVL	SRR1076823
GTEX-XK95-0005-SM-4AT4S	SRR1076847
GTEX-S3XE-0526-SM-4AD4G	SRR1076868
GTEX-W5WG-1026-SM-4LMIF	SRR1076892
GTEX-RU72-0226-SM-46MUD	SRR1076916
GTEX-T6MO-0826-SM-4DM51	SRR1076940
GTEX-XQ8I-1626-SM-4BOOI	SRR1076964
GTEX-XV7Q-1326-SM-4BRWM	SRR1076990
GTEX-XQ8I-0526-SM-4BOPS	SRR1077038
GTEX-XXEK-1926-SM-4BRVD	SRR1077066
GTEX-SJXC-1126-SM-4DM6Y	SRR1077090
GTEX-X5EB-0626-SM-46MVQ	SRR1077115
GTEX-U3ZH-1426-SM-4DXSR	SRR1077139
GTEX-PX3G-2026-SM-48U1H	SRR1077159
GTEX-RVPU-1526-SM-47JXQ	SRR1077183
GTEX-XUZC-0926-SM-4BOQF	SRR1077211
GTEX-T6MO-1426-SM-4DM73	SRR1077239
GTEX-XPVG-2126-SM-4B667	SRR1077263
GTEX-SSA3-0326-SM-47JWY	SRR1077288
GTEX-PWN1-0626-SM-48TDT	SRR1077310
K-562-SM-47JYY	SRR1077334
GTEX-XBED-1026-SM-48TCB	SRR1077356
GTEX-X4EO-2726-SM-4E3HS	SRR1077380
GTEX-X4XY-0011-R10B-SM-46MWS	SRR1077405
GTEX-WFG8-1826-SM-4LVM4	SRR1077429
GTEX-Q2AG-3026-SM-48U1L	SRR1077455
GTEX-O5YT-0126-SM-48TBW	SRR1077479
GTEX-XXEK-0005-SM-4BRWJ	SRR1077503
GTEX-XGQ4-0526-SM-4AT6C	SRR1077528
GTEX-WFON-0126-SM-4LVM9	SRR1077549
GTEX-S4Q7-0526-SM-4AD5N	SRR1077575
GTEX-TKQ2-1226-SM-4DXSV	SRR1077599
GTEX-RNOR-1226-SM-48FDQ	SRR1077619
