sample_barcode	sample_id
TARGET-10-PANSUL-09A-01R	000225af-b5ad-431b-bc22-99f45432ab97
TARGET-20-PAEIKD-04A-01R	008dff3c-ccba-41ae-89ec-b200377a72fd
TARGET-21-PAMYMA-09A-02R	009db322-e0d3-4f5a-8dbf-1157a8799118
TARGET-10-PAPBZK-09A-01R	00c3129b-b32c-49cd-8d32-021f0fdab04b
TARGET-20-PASLSD-03A-01R	010bd198-e56c-42b7-be4f-85693772200c
TARGET-10-PARPRW-04A-01R	0120ea10-7f93-4648-beda-4a091602f5b8
TARGET-20-PARLVL-04A-02R	01563ead-2437-4282-81b1-f0db63d72e9c
TARGET-10-PAPVTA-04A-01R	0193ac1e-305c-4e3a-bb30-9bcd32d0b25a
TARGET-20-PASJGZ-04A-01R	01b1fc8c-afa2-4573-9195-96e22f9da217
TARGET-30-PAPZYP-01A-01R	01f3811a-53aa-4053-8c50-1821dc6015b1
TARGET-10-PAPMYD-03A-01R	0322a55e-a833-4d14-9cd6-2ef7ffa0c7cb
TARGET-20-PARJCR-09A-01R	03462b22-5b4e-414a-9b24-d44dac57ef9a
TARGET-50-PAKMUB-01A-02R	037c8d04-f225-4636-be32-fda33228e3b7
TARGET-21-PASTZK-09A-01R	0437a800-16d6-40e6-af69-8d5ff7d4cbb6
TARGET-30-PASWFB-01A-01R	044a89b0-04f6-47d0-a411-3ba175a74213
TARGET-30-PATINJ-01A-01R	048135c8-37ea-4a9e-aa39-5b3af20de392
TARGET-10-PATCTI-04A-01R	04986849-61e8-4fc1-92c2-1371fb4e9ed5
TARGET-10-PANTSM-09A-01R	04e8e968-4d8e-46c2-bf3e-df03d7c3cdab
TARGET-20-PAKERZ-09A-01R	051164a9-2d0b-4a47-9e25-1d33823a0060
TARGET-50-CAAAAO-01A-01R	05211f5a-cc62-4106-86fb-482741785d29
TARGET-30-PATYIL-02A-01R	052c420c-a4ba-4770-b8ce-a8bdf50007df
TARGET-10-PARFTR-04A-01R	0559bfed-b064-445b-9e9a-4fdbee8ae8a8
TARGET-20-PARKCX-09A-03R	05aec878-2b85-4e18-828a-20f85e87b364
TARGET-20-PASVVS-09A-03R	05bbc3f8-c64d-4010-8c1d-ad4bbcfdabba
TARGET-30-PARZCJ-01A-01R	05f019b5-209c-4964-9d35-46a30c8d5e06
TARGET-20-PASWLN-09A-01R	06545e1c-4d4b-4fa2-b38a-01bacda5bf1c
TARGET-30-PASNZU-01A-01R	0676055c-f49d-4682-86a0-0efac2057ffb
TARGET-50-PAJNZS-01A-01R	06816d57-e720-4dd9-a78d-6a6327ad1ec5
TARGET-30-PASHFA-01A-01R	069c8087-4ccb-4723-a4e8-ecc5a134c859
TARGET-10-PAPBSY-09A-01R	06ba4196-6b1a-473a-b363-69f109c9fe5d
TARGET-30-PATAYJ-01A-01R	06c6c970-199d-4529-bfd4-3b591f86dcf9
TARGET-30-PAPBGH-01A-01R	06e240f3-006c-4d06-a0e9-07bf5bf685f3
TARGET-50-PAJLKR-01A-01R	06fed852-3bb3-49f5-961f-619e3a40e0e1
TARGET-50-PAJNGH-02A-01R	07354567-a4b4-40a5-b457-195d0367f738
TARGET-30-PARFWB-01A-01R	07d070ba-d14b-461f-a422-8693d55b195f
TARGET-30-PASNEF-01A-01R	07e501ad-ccb1-4ee2-a8b2-a777fd6df140
TARGET-20-PATJHJ-40A-01R	0842f280-9a05-46b3-baa8-4ad1ac59c65c
TARGET-50-PAJNZK-01A-01R	093568f4-7f51-4289-895f-965f91c8c4d1
TARGET-50-CAAAAS-01A-01R	096df381-c25b-40e2-8fb5-b690910fd295
TARGET-20-PARXNG-09A-01R	09dc689c-5455-4276-92a6-955a32f491e4
TARGET-10-PAPGNC-03A-02R	0b1b81cb-ac51-4826-8c4d-6fc2dd3389ab
TARGET-50-PAJNRL-01A-01R	0bb1dcd6-df75-497c-9c00-78b3325ea5a3
TARGET-10-PAPDJM-04A-01R	0bc540c2-6fda-44e2-8d3d-0e77e97e717e
TARGET-10-PARJZZ-04A-01R	0c882480-7536-4097-ae86-d6bc872d232a
TARGET-52-PARRCL-11A-01R	0c94645b-acea-484c-9622-3e30dfe541d2
TARGET-20-PARFAL-09A-05R	0cb16eb0-9068-4bd6-842a-89f8da967fb0
TARGET-20-PAPVDV-03A-01R	0cd6f4cf-87cc-4996-b8c9-bf12e24a77ad
TARGET-10-PANKGK-09A-01R	0d783e2f-b653-4307-bb96-2988e03ac60e
TARGET-10-PASKAY-09A-01R	0d7caad5-d696-48ac-bc34-96e9e2bb9c03
TARGET-30-PARYNK-01A-01R	0da12384-e22c-4ac4-8382-a96e391200eb
TARGET-20-PANKFZ-09A-04R	0e2930ad-f332-4d10-b77b-2a300d372b52
TARGET-50-PAJLTI-01A-01R	0e6e869e-dec6-4b85-bb9a-30b8600f1673
TARGET-30-PARHAM-02A-01R	0e8f8739-9060-4cb5-b8cc-403d4458bf53
TARGET-10-PARIAD-04A-01R	0ed343f5-bab1-4fa1-ae80-89221157bce5
TARGET-20-PAPWHS-09A-03R	0f249468-2819-41a6-9170-7d7ba18f99e3
TARGET-30-PASSRN-01A-01R	0f511b09-9ccf-4619-91be-cbaaa66d4de0
TARGET-20-PASXNR-04A-01R	1017315c-3067-4668-8cc0-e3e43d2db5be
TARGET-10-PANSIA-09A-02R	101c4046-0057-43b5-9e1c-1f63d1d5e53b
TARGET-30-PAISNS-01A-01R	103153c2-6439-4551-86e8-901210002944
TARGET-10-PARTJL-09A-02R	1078e965-8dca-43fc-a4c0-a568eede4cb5
TARGET-20-PARANT-09A-02R	108cadaf-408d-4236-a503-705c8d13eb92
TARGET-50-PAKSDG-01A-01R	10fc1b62-ef5b-4984-b6be-35164b38e6f8
TARGET-20-PAPXWI-09A-03R	12507902-c25c-4e59-9b40-9776d0c78d0e
TARGET-10-PARLAF-04A-01R	125e6c80-4b73-484f-b8fb-f50727aed604
TARGET-10-PANZPJ-09A-02R	1269cb21-4087-4f27-b732-a7c68c0ca807
TARGET-30-PALVKK-01A-01R	12ad6372-54de-4e3a-9013-34fcd57decde
TARGET-30-PAMBMJ-01A-01R	13366a84-dbfe-4d1c-b846-1bf0a8fcf94a
TARGET-20-PASWAJ-04A-02R	13b37846-676b-44c5-8513-ae17f2d21117
TARGET-10-PARPZJ-03A-02R	13d014a0-8066-40e9-ab36-715fb1228ced
TARGET-30-PAUDDK-02A-01R	150a40c4-c5cc-4b19-9e18-f4cb64d016d7
TARGET-30-PATESI-01A-01R	1527fa22-6d4b-4704-9689-d0fdc2d974db
TARGET-20-PANLIZ-09A-03R	155ae976-1cf7-4871-9e4e-327a6a843eb5
TARGET-50-PAKULH-01A-02R	162521bb-6b35-446d-a2ee-f488261bfafd
TARGET-10-PANYEJ-09A-01R	169465a9-832b-4bf2-a6ed-d742e57483b6
TARGET-21-PASFJJ-09A-01R	16d21c52-bdc0-41a6-b4a5-b43c8797e4d3
TARGET-10-PAPSPG-04A-01R	16db1df0-629a-4a04-bd25-fb64e442dc20
TARGET-10-PANLIC-09A-01R	17661d4c-26bc-4ab7-910c-a55861f3c292
TARGET-50-PAKECR-01A-01R	181661ef-2a6b-4435-a074-cb68fdde8054
TARGET-50-PAJMLI-01A-01R	19533879-1cd2-49c9-b21f-48b220cc8b6f
TARGET-10-PARAKF-04A-01R	19956c21-2b9f-4872-aa22-6f2128970884
TARGET-30-PASGAP-02A-01R	19efbd9f-9103-48e1-90bb-186dc3215ce3
TARGET-20-PARPDS-09A-01R	19ff6104-93b1-4a24-9b69-019458e50307
TARGET-21-PASVJS-41A-02R	1adcf219-a887-4025-9b9e-07c6e978ece0
TARGET-20-PARCVS-04A-01R	1af57a63-b51f-45fb-bec8-6c45744c2481
TARGET-20-PARMZF-09A-02R	1b2013e2-2635-40d8-a909-d24735e7b179
TARGET-30-PASNML-01A-01R	1b24296f-4583-42b9-aa00-9b62f308612a
TARGET-20-PANPTM-09A-02R	1cbf2f90-e3f5-4de2-8aca-e0b2c55e050e
TARGET-50-PAJMKJ-01A-01R	1cd55539-ec44-489d-8200-35b9290300f5
TARGET-10-PATCTI-09A-01R	1d375c70-c0d2-431c-9b63-cd46fbf85f76
TARGET-21-PASYEJ-09A-01R	1d39aa7c-b4ed-4540-93c3-b9c24f509c70
TARGET-10-PAPCVZ-04A-01R	1e429916-a15d-4753-a4e7-34fd73d0a5df
TARGET-50-PAJPAR-01A-01R	1e596021-9509-4d9b-9ea6-5e05bff83a94
TARGET-50-PAJNLT-01A-01R	1ea75394-802f-43ec-bf93-a53336c58c9f
TARGET-30-PARACS-01A-01R	1ed78aba-c51d-434c-a483-0f174b70133a
TARGET-30-PATYIL-01A-01R	1edbe943-180e-43d1-840a-bf7c8f5a495d
TARGET-20-PASFJB-03A-01R	1ee00168-c67d-4527-9244-58a461b73f0b
TARGET-20-PADZCG-04A-01R	1f54b6d6-5d85-47f0-91f5-cf1ffa5da053
TARGET-10-PARNMF-03A-02R	1fa69d03-f3fc-4729-8c9a-2b54cf18f24d
TARGET-30-PARBAJ-02A-01R	1fa88a89-dae5-45e8-9686-6b76c3720112
TARGET-10-PAPACP-04A-02R	1fe43e54-5816-4f73-8e63-fed90a81d406
TARGET-50-CAAAAR-11A-01R	1fe51e9d-1bc8-4052-907a-bf33bc145530
TARGET-50-PALERC-01A-01R	204a9bef-042f-448e-8480-96767498fcc5
TARGET-30-PARDIW-01A-01R	205050b1-9c92-4cd0-a234-0284f5962062
TARGET-30-PANBSP-01A-01R	20a04a06-fee6-4bea-85cb-a7999a8af961
TARGET-20-PARYFN-03A-01R	215df1c7-9135-4689-a88a-9bbaf1e8ac93
TARGET-20-PASHYZ-04A-01R	216102e5-79f5-4105-b3dd-05f3d6030c89
TARGET-50-PALDWP-01A-01R	2199bdc2-f12f-42bc-a3c6-53e7aeacfd0d
TARGET-20-PARTAL-04A-01R	21b2a7bf-c1b9-46af-ad8b-9f718e8cc0f0
TARGET-30-PAUDDK-01A-01R	22f60975-a5d0-4075-a8e6-51e6d9b6b868
TARGET-10-PARXMC-09A-01R	24008ad9-480e-4c0d-9423-76a7dff826dc
TARGET-30-PAPUAR-01A-01R	240bf595-66fd-443c-951d-942fc078764b
TARGET-21-PASTZK-41A-03R	247235da-591a-46a5-90d7-30be0b85e516
TARGET-10-PARUBK-03A-01R	24890942-2b96-4ebf-8dc4-0b7c2a979ba3
TARGET-10-PANEUH-09A-01R	249e0ba5-9317-4025-88af-79991e52364c
TARGET-50-PAJNCZ-01A-01R	25479a63-588a-4c7f-aa47-b3922334da66
TARGET-20-PASWAT-09A-01R	255c7384-2c96-481e-acf0-24222c121e98
TARGET-20-PAMYAS-09A-03R	2586fe42-a01f-4e8a-9f6f-ace7e7de2cf5
TARGET-10-PAPGGT-03A-01R	258f7e28-805c-4d91-97fa-a9c32a0a68f5
TARGET-10-PANWYH-09A-02R	2594136b-91fe-4bce-91b7-4148899866b6
TARGET-21-PANVPB-09A-02R	26187e9f-593c-468b-97f6-c78a5ceceb62
TARGET-20-PARBIU-04A-02R	26b0515e-3e90-44ab-afa5-345f1a80f093
TARGET-20-PANSJB-09A-03R	26bffdc2-479a-4711-b1e1-65b4b4834e14
TARGET-30-PAIVHE-01A-01R	26c1ff25-0235-44a7-947d-08209e7a1a74
TARGET-50-PAKNTW-01A-02R	27279da7-6de4-4ddf-9ec3-fbb4e3979879
TARGET-21-PATJMY-41A-01R	277606de-9962-4a74-8f96-f26e01ded54d
TARGET-10-PASKAY-04A-01R	27b136b1-865f-4a8b-9e12-ee3c3eb4c4bc
TARGET-20-PASVYL-09A-01R	28255fc3-7da7-42e1-be51-48bd012616ff
TARGET-20-PAPVCN-09A-03R	29a4349a-4fd5-4bcc-9208-b6e3865022de
TARGET-20-PARCUK-09A-03R	29bf9c55-7805-4e73-928d-7c5b3decf205
TARGET-30-PAPEAV-01A-01R	29e0db3e-d96f-48b4-a675-422a7b81795a
TARGET-50-PAKZHF-01A-01R	2a039652-1032-47dd-9459-55cf66570b70
TARGET-30-PANKFE-01A-01R	2a555bbe-9704-4ed8-8816-6f320aadf14b
TARGET-20-PARZWH-09A-03R	2a8b0849-61df-40e1-a063-b7423ff1775f
TARGET-20-PARUBT-40A-01R	2b03556c-fa4e-4f0b-9ed1-c0e2b553a693
TARGET-10-PANGIF-03A-01R	2b050bf9-150b-425b-9e30-80f8cbd13acb
TARGET-30-PARKGJ-01A-01R	2b0968d9-a91b-444a-8606-2410bb9e8c46
TARGET-20-PASCGR-04A-01R	2b2918bd-1387-408e-8a71-77b5afdea947
TARGET-10-PARIAD-03A-01R	2b58889b-d5ac-4b79-8e1c-51b2c3effd25
TARGET-20-PANGTF-09A-04R	2b71980a-3577-4f4f-a45b-32d060299ef8
TARGET-20-PASVYA-09A-01R	2b74396c-5398-447c-8760-a4aa06fd256d
TARGET-10-PANYYV-04A-01R	2bb79b0a-d688-4007-8ea6-4ee89a19bd77
TARGET-20-PAEERJ-09A-01R	2c3978d8-314a-4a4f-88ca-ccdee3ebecb2
TARGET-30-PAMEZH-01A-01R	2d007764-cedf-4e96-9b01-e0a2f376faa0
TARGET-20-PANNHB-09A-03R	2f4e6fff-b448-4704-a830-e185bd8d3df3
TARGET-20-PANLKB-09A-03R	2fff08b9-3b54-4fc6-8b1f-d5b3786fba60
TARGET-30-PAITCI-01A-01R	30593711-8a09-4763-ae8e-e5b385d71aa4
TARGET-20-PANAEV-09A-03R	306c6703-cfcb-435a-b619-f8220b7ecad8
TARGET-10-PAPIRZ-09A-01R	306f5776-c9ee-4640-96a9-1f70562f0b38
TARGET-20-PAKERZ-04A-01R	307171c2-1600-4bdd-a9f9-04dcca532ce0
TARGET-20-PASFEW-09A-05R	30adfc6f-3762-4c0d-bc9d-5b58ac2d1e6a
TARGET-30-PALXTB-01A-01R	30b54d90-17b3-4c6d-971a-d9e3eefd6d93
TARGET-10-PAPJHB-04A-02R	30c343da-bc77-443b-88bd-31c4732f1091
TARGET-50-PAJNSL-01A-01R	3107ed28-7a85-43b2-9950-d733f5aa0a63
TARGET-50-PAJMUF-01A-01R	314e2844-8fe9-4c96-8621-57a99a891947
TARGET-20-PASGGK-03A-01R	3177015e-f384-40c1-9815-218d60b46838
TARGET-50-PAEAFB-01A-01R	31a135e5-e158-4137-a7b0-70af8030e506
TARGET-10-PARFTR-09A-01R	32831386-1399-4885-bcd6-14d796c1d663
TARGET-10-PAPJHB-09A-01R	328da6a4-8e45-4bde-a8e5-212d7c547670
TARGET-10-PAPRCS-04A-01R	32d4d3b2-2993-4c7c-acd5-3eece596ecfc
TARGET-10-PANKRG-03A-02R	335a8aa2-459c-4dbd-909b-06e897bccb48
TARGET-30-PARFRE-01A-01R	33be82c4-fc99-466b-a5bb-d24afb84b8af
TARGET-30-PANRVJ-01A-01R	3425813c-05dd-47b6-a2b3-c89de2a82e1b
TARGET-50-PAJMEL-01A-01R	34698d0e-af43-423a-b1c8-633bdd8e5050
TARGET-10-PARLAF-09A-01R	3476435c-a01b-4e07-9611-3d27427d8d60
TARGET-20-PASXYG-09A-05R	34fcb97c-6fd4-4355-a3f9-37e7cbe8d576
TARGET-50-PAKZFK-01A-01R	351a5a8c-54d2-46df-b972-f1db4620b27a
TARGET-50-PAJNYT-01A-02R	355327cc-e716-4f0a-b7ec-f9892baca130
TARGET-20-PALGKX-04A-01R	3567c992-1438-49e8-9e38-f9365fe87fe1
TARGET-30-PARZIP-01A-01R	3627a8ea-5b38-4a07-a933-26b6720c2de9
TARGET-50-PAJLLF-01A-01R	3632bb17-71d3-44a6-ae98-59d13210ec63
TARGET-30-PAKYZS-01A-01R	36456a58-99cf-4ce8-ba28-5481c0cf20bc
TARGET-30-PARZHA-01A-01R	364d9c6a-30a1-4f74-9134-083257d4254a
TARGET-10-PAPBES-03A-01R	37e9866a-6183-4c8f-a7ee-a6bb68574442
TARGET-20-PATELT-03A-05R	384f1926-17d9-4174-8c00-94171c0f46fa
TARGET-50-PAKZER-01A-01R	38554fed-1cb1-47ef-8ce9-c0b9b80637bd
TARGET-30-PASSRS-01A-01R	3869612e-cb43-4546-b680-33457bc6a38f
TARGET-50-PAKGMU-01A-01R	39d48256-5156-43cd-b484-62d81e9045b5
TARGET-10-PAPGFP-09A-02R	3a3b14ff-241d-46c5-945f-379ee28bfce8
TARGET-20-PASBPK-09A-02R	3a4ac64d-49a9-4ab7-b50a-35d16a741729
TARGET-10-PARVWD-09A-01R	3a660e15-4e0f-49eb-882d-7188a3289c71
TARGET-30-PANZVU-01A-01R	3b00284d-e64a-4022-bbcd-a3ebe5b5cce1
TARGET-10-PANDWE-03A-02R	3b54b349-0c19-4dfa-af23-c7719192d9fa
TARGET-50-PALEZT-01A-01R	3b81437a-516b-4c57-8cd6-17edd1ed4fca
TARGET-10-PARBVI-09A-01R	3b820e1a-659b-484a-925f-c4d75cbc1f66
TARGET-30-PARAMT-01A-01R	3c265b28-3167-4058-85b0-f687e9be945f
TARGET-20-PAKTCX-09A-02R	3c6626e1-7070-462f-b548-a231ec8f6d05
TARGET-50-PAJMMY-01A-01R	3cae0666-9d25-4d87-a016-ba02b2f470a8
TARGET-30-PALCBW-01A-01R	3d7111da-0b33-457f-845d-f16cfeeeb6a3
TARGET-30-PALBFW-01A-01R	3d74afbc-de64-4bd2-9528-fe2ad13e67d7
TARGET-20-PAEFGR-09A-02R	3da75a2d-0f34-4e35-b074-9dd5ad964fb2
TARGET-21-PASFJJ-41A-01R	3dad9345-52fe-488c-b5b9-2c5a00c939a8
TARGET-20-PARSHM-03A-02R	3dc441bb-8f10-4b7c-90e1-1d65046c30b6
TARGET-50-PAJNAV-01A-01R	3dde3368-13d0-42b0-b15a-343c89acf059
TARGET-30-PATGJU-01A-01R	400e6eb5-11f6-4f45-af2e-a5d188f68d70
TARGET-10-PARMSP-09A-01R	40324b17-15b5-4f70-b199-308613cab0ab
TARGET-10-PARMSP-04A-01R	4055a005-9747-4b47-aa06-d7e324d2bfff
TARGET-20-PARZUU-09A-04R	40d72505-4436-4b02-a717-82008e2fda50
TARGET-20-PARXBT-09A-02R	414e907c-7b1a-4730-93bf-e1785fb9fb17
TARGET-30-PARGKK-01A-01R	4161c7a3-8452-4605-8012-4bb02b47324f
TARGET-10-PAPIJB-04A-01R	4202a930-ba3f-4d8d-9647-875452b7b10f
TARGET-10-PANUSN-03A-01R	4220dac8-5b1a-4111-8ce8-997abcedb2f9
TARGET-30-PAPHPE-01A-01R	4248cc77-6678-4a93-872b-3bab80c68c37
TARGET-20-PAKTCX-04A-01R	42552ac1-754e-40c9-81bc-421b4f142496
TARGET-30-PAPTFZ-01A-01R	4281911f-37e2-4c7f-bf70-b84f2a8c0f87
TARGET-30-PAPTLV-01A-01R	42870e3a-bc80-4435-bf23-f036150e69ab
TARGET-50-PAJLTH-01A-01R	42a858b9-1c8a-42d3-a21f-801a7d7e8f11
TARGET-10-PASLZM-40A-01R	42c1b6ed-f84c-41d9-a416-46ae205e5b09
