level1	level2	level3	hex_codes	size	counter
Benign tumor	Benign	Adenoma	#D3D3D3	4	1
Benign tumor	Benign	Adenoma	#D3D3D3	4	1
Benign tumor	Benign	Adenoma	#D3D3D3	4	1
Benign tumor	Benign	Adenoma	#D3D3D3	4	1
Benign tumor	Benign	Atypical choroid plexus papilloma	#D3D3D3	2	1
Benign tumor	Benign	Atypical choroid plexus papilloma	#D3D3D3	2	1
Benign tumor	Benign	Benign tumor, atypical lymphoid infiltrate	#D3D3D3	1	1
Benign tumor	Benign	Benign tumor, cortical tubers	#D3D3D3	1	1
Benign tumor	Benign	Benign tumor, dermoid cyst	#D3D3D3	3	1
Benign tumor	Benign	Benign tumor, dermoid cyst	#D3D3D3	3	1
Benign tumor	Benign	Benign tumor, dermoid cyst	#D3D3D3	3	1
Benign tumor	Benign	Benign tumor, dermoid inclusion cyst	#D3D3D3	1	1
Benign tumor	Benign	Benign tumor, epidermoid cyst	#D3D3D3	1	1
Benign tumor	Benign	Benign tumor, fibroma	#D3D3D3	1	1
Benign tumor	Benign	Benign tumor, hamartoma	#D3D3D3	1	1
Benign tumor	Benign	Benign tumor, inclusion cyst	#D3D3D3	1	1
Benign tumor	Benign	Benign tumor, meningioangiomatosis	#D3D3D3	3	1
Benign tumor	Benign	Benign tumor, meningioangiomatosis	#D3D3D3	3	1
Benign tumor	Benign	Benign tumor, meningioangiomatosis	#D3D3D3	3	1
Benign tumor	Benign	Benign tumor, ossifying fibroma	#D3D3D3	1	1
Benign tumor	Benign	Benign tumor, osteoblastoma	#D3D3D3	2	1
Benign tumor	Benign	Benign tumor, osteoblastoma	#D3D3D3	2	1
Benign tumor	Benign	Benign tumor, perineuroma	#D3D3D3	1	1
Benign tumor	Benign	Benign tumor, prolactinoma	#D3D3D3	1	1
Benign tumor	Benign	Benign tumor, rathke cleft cyst	#D3D3D3	1	1
Benign tumor	Benign	Choroid plexus papilloma	#D3D3D3	14	1
Benign tumor	Benign	Choroid plexus papilloma	#D3D3D3	14	1
Benign tumor	Benign	Choroid plexus papilloma	#D3D3D3	14	1
Benign tumor	Benign	Choroid plexus papilloma	#D3D3D3	14	1
Benign tumor	Benign	Choroid plexus papilloma	#D3D3D3	14	1
Benign tumor	Benign	Choroid plexus papilloma	#D3D3D3	14	1
Benign tumor	Benign	Choroid plexus papilloma	#D3D3D3	14	1
Benign tumor	Benign	Choroid plexus papilloma	#D3D3D3	14	1
Benign tumor	Benign	Choroid plexus papilloma	#D3D3D3	14	1
Benign tumor	Benign	Choroid plexus papilloma	#D3D3D3	14	1
Benign tumor	Benign	Choroid plexus papilloma	#D3D3D3	14	1
Benign tumor	Benign	Choroid plexus papilloma	#D3D3D3	14	1
Benign tumor	Benign	Choroid plexus papilloma	#D3D3D3	14	1
Benign tumor	Benign	Choroid plexus papilloma	#D3D3D3	14	1
Chordoma	Chordoma	Chordoma, conventional	#70008c	2	1
Chordoma	Chordoma	Chordoma, conventional	#70008c	2	1
Chordoma	Chordoma	Chordoma, poorly differentiated	#70008c	2	1
Chordoma	Chordoma	Chordoma, poorly differentiated	#70008c	2	1
Choroid plexus tumor	Choroid plexus tumor	Choroid plexus carcinoma	#00e65c	4	1
Choroid plexus tumor	Choroid plexus tumor	Choroid plexus carcinoma	#00e65c	4	1
Choroid plexus tumor	Choroid plexus tumor	Choroid plexus carcinoma	#00e65c	4	1
Choroid plexus tumor	Choroid plexus tumor	Choroid plexus carcinoma	#00e65c	4	1
Choroid plexus tumor	Choroid plexus tumor	Choroid plexus cyst	#00e65c	1	1
Diffuse astrocytic and oligodendroglial tumor	Diffuse astrocytic and oligodendroglial tumor	Brainstem glioma- Diffuse intrinsic pontine glioma	#cc0000	9	1
Diffuse astrocytic and oligodendroglial tumor	Diffuse astrocytic and oligodendroglial tumor	Brainstem glioma- Diffuse intrinsic pontine glioma	#cc0000	9	1
Diffuse astrocytic and oligodendroglial tumor	Diffuse astrocytic and oligodendroglial tumor	Brainstem glioma- Diffuse intrinsic pontine glioma	#cc0000	9	1
Diffuse astrocytic and oligodendroglial tumor	Diffuse astrocytic and oligodendroglial tumor	Brainstem glioma- Diffuse intrinsic pontine glioma	#cc0000	9	1
Diffuse astrocytic and oligodendroglial tumor	Diffuse astrocytic and oligodendroglial tumor	Brainstem glioma- Diffuse intrinsic pontine glioma	#cc0000	9	1
Diffuse astrocytic and oligodendroglial tumor	Diffuse astrocytic and oligodendroglial tumor	Brainstem glioma- Diffuse intrinsic pontine glioma	#cc0000	9	1
Diffuse astrocytic and oligodendroglial tumor	Diffuse astrocytic and oligodendroglial tumor	Brainstem glioma- Diffuse intrinsic pontine glioma	#cc0000	9	1
Diffuse astrocytic and oligodendroglial tumor	Diffuse astrocytic and oligodendroglial tumor	Brainstem glioma- Diffuse intrinsic pontine glioma	#cc0000	9	1
Diffuse astrocytic and oligodendroglial tumor	Diffuse astrocytic and oligodendroglial tumor	Brainstem glioma- Diffuse intrinsic pontine glioma	#cc0000	9	1
