"DiseaseX"	"DiseaseY"	"diff"	"lwr"	"upr"	"p.adj"	"F_Value"	"AOV_P"	"Pathway"	"ClinVar"
"Craniopharyngioma"	"Adenoma"	0.852391986681833	0.0576477483425687	1.6471362250211	0.0182647929705115	19.4407757443816	7.16305230434221e-86	"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	"short_histology"
"Schwannoma"	"Adenoma"	0.829035159158069	0.00739648162678597	1.65067383668935	0.0444106646865268	19.4407757443816	7.16305230434221e-86	"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	"short_histology"
"Craniopharyngioma"	"ATRT"	0.592588875835502	0.265649633112284	0.919528118558721	3.96935051494296e-09	19.4407757443816	7.16305230434221e-86	"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	"short_histology"
"LGAT"	"ATRT"	0.289336456556945	0.034119592006397	0.544553321107493	0.00716871679347475	19.4407757443816	7.16305230434221e-86	"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	"short_histology"
"ATRT"	"Medulloblastoma"	-0.438706626520337	-0.708224898562352	-0.169188354478322	3.7955901999176e-07	19.4407757443816	7.16305230434221e-86	"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	"short_histology"
"Neurofibroma"	"ATRT"	0.511215418219755	0.134926199180677	0.887504637258832	0.000128663826123643	19.4407757443816	7.16305230434221e-86	"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	"short_histology"
"Schwannoma"	"ATRT"	0.569232048311738	0.181467969941489	0.956996126681988	1.36246989009825e-05	19.4407757443816	7.16305230434221e-86	"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	"short_histology"
"Craniopharyngioma"	"Central neurocytoma"	0.902056721729038	0.107312483389774	1.6968009600683	0.00701760307011945	19.4407757443816	7.16305230434221e-86	"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	"short_histology"
"Neurofibroma"	"Central neurocytoma"	0.82068326411329	0.0043973385295738	1.63696918969701	0.0465865595984623	19.4407757443816	7.16305230434221e-86	"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	"short_histology"
"Schwannoma"	"Central neurocytoma"	0.878699894205274	0.0570612166739911	1.70033857173656	0.0191095036383613	19.4407757443816	7.16305230434221e-86	"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	"short_histology"
"Chordoma"	"CNS Embryonal tumor"	-0.66374009571187	-1.19687073820774	-0.130609453216003	0.00109071512269276	19.4407757443816	7.16305230434221e-86	"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	"short_histology"
"Chordoma"	"Medulloblastoma"	-0.761587314641719	-1.19661211119713	-0.32656251808631	1.9176868981674e-08	19.4407757443816	7.16305230434221e-86	"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	"short_histology"
