term	estimate	std.error	statistic	p.value	conf.low	conf.high
B_cell	-4.925101497572424	20.46950069175852	-0.240606821423611	0.8098598627551068	-45.04458563493684	35.19438263979198
Macrophage_M1	19.157015426476438	10.420380787195024	1.8384179827686657	0.06600083728091112	-1.2665556216189415	39.58058647457182
Macrophage_M2	-27.82738294050728	11.483828814171586	-2.42317988110089	0.015385306330680163	-50.335273820906906	-5.31949206010766
Monocyte	-0.875744277786795	4.339457848396675	-0.2018096058037207	0.8400655717134743	-9.38092537307395	7.629436817500359
Neutrophil	-16.307878092566877	32.210912780889835	-0.5062842584902485	0.612657112060125	-79.44010705227186	46.82435086713811
NK_cell	11.015067318258401	10.679534059109052	1.0314183425318222	0.3023446828724664	-9.91643480926419	31.946569445780995
T_cell_CD4_non_regulatory	6.681466318745746	8.708595342304204	0.7672266371465022	0.4429467781546988	-10.387066908103755	23.749999545595244
T_cell_CD8	-112.1454094860062	72.72280653726393	-1.542094080603747	0.12305073319847595	-254.6794911537175	30.38867218170509
T_cell_regulatory_Tregs	-32.83916845000344	48.175316808676186	-0.6816596262443102	0.49545420233655213	-127.26105433881584	61.582717438808956
Myeloid_dendritic_cell	-4.289932100262621	3.969423446438536	-1.0807443847069662	0.27981083369774024	-12.069859094671006	3.489994894145764
cancer_groupEpendymoma	-3.8876971255711625	0.4593004263913031	-8.464388235204948	2.575007171419682e-17	-4.787909419382006	-2.9874848317603186
cancer_groupHigh-grade glioma astrocytoma	-1.2613200079811262	0.28887715814259146	-4.366285019179437	1.2637755164005104e-5	-1.827508833896887	-0.6951311820653655
cancer_groupLow-grade glioma astrocytoma	-3.647224855700642	0.3588913723233224	-10.162475715395258	2.9157689304704504e-24	-4.350639019816509	-2.9438106915847753
cancer_groupMedulloblastoma	-2.9415095202220405	0.34660746366962764	-8.486572934926091	2.1282011189640825e-17	-3.6208476657872857	-2.2621713746567953
CD274	-0.025356515740555318	0.12251663846048771	-0.20696385453583052	0.8360380872034365	-0.26548471463002604	0.21477168314891532
