term	estimate	std.error	statistic	p.value	conf.low	conf.high
B_cell	193.385950804442	105.79464523635276	1.8279370413540688	0.06755900105610779	-13.967743616001371	400.73964522488535
Macrophage_M1	-13.509391219470933	84.4572516855728	-0.15995537327884232	0.8729162284497172	-179.04256275642834	152.02378031748648
Macrophage_M2	139.25364824216143	132.86433265076252	1.0480890203106157	0.29459759447794487	-121.15565858328222	399.6629550676051
Monocyte	-77.63392079041792	67.86931044415974	-1.1438737226348001	0.2526760101293879	-210.6553249165391	55.387483335703266
Neutrophil	-1.3107400284606074	106.92233088019891	-0.012258805224974245	0.9902191335530566	-210.87465769672528	208.25317763980408
NK_cell	222.2632122357829	134.26956560786667	1.65535064651137	0.09785339099151484	-40.90030057547361	485.42672504703944
T_cell_CD4_non_regulatory	228.19281391208906	177.08791293221879	1.288584918833116	0.19754242919237278	-118.89311753242455	575.2787453566027
T_cell_CD8	-270678.8327506755	177784444.25158298	-0.001522511341698926	0.9987852121761325	-Inf	Inf
T_cell_regulatory_Tregs	1300.3737719247754	622.7588764089593	2.088085487312803	0.036790123934361006	79.7888031105847	Inf
Myeloid_dendritic_cell	-127.69050468773496	128.33777384628166	-0.9949565187306273	0.3197574124080224	-379.2279192824935	123.84690990702354
CD274	-0.7171261357802983	0.8643520681150457	-0.8296690228834489	0.40672594016759045	-2.4112250592484994	0.9769727876879026
