term	estimate	std.error	statistic	p.value	conf.low	conf.high
tp53_score	-2.6685990342948043	5.723019582202046	-0.4662921375621097	0.6410064058329492	-13.88551129822828	8.548313229638673
telomerase_score	-1.4068021708761025	4.162521677726062	-0.33796873140721334	0.7353867514468492	-9.565194744086423	6.751590402334219
cancer_groupCraniopharyngioma	-15.782641417964005	26.444021563377635	-0.5968321187508563	0.5506194716178837	-67.61197128858473	36.046688452656724
cancer_groupDiffuse midline glioma	7.1538136390445874	15.85736159756103	0.4511351775029771	0.6518921255852743	-23.926043982003556	38.233671260092734
cancer_groupEpendymoma	-17.81752051053575	8.802243190405948	-2.0242022544839537	0.04294934572007929	-35.069600146894345	-0.565440874177156
cancer_groupHigh-grade glioma astrocytoma	-7.11682190270191	4.284997797849901	-1.6608694422837145	0.0967396706311652	-15.51526326032116	1.2816194549173376
cancer_groupMedulloblastoma	14.658500431381011	6.649125235973814	2.204575776686234	0.027483877118682422	1.6264544401759498	27.690546422586074
tp53_score:telomerase_score	5.9725710508603855	7.707679731976701	0.7748857319644582	0.43840718387115085	-9.134203628183283	21.079345729904052
tp53_score:cancer_groupCraniopharyngioma	24.008008652913457	49.8019977068774	0.4820691891562027	0.6297567964039005	-73.60211321071259	121.61813051653951
tp53_score:cancer_groupDiffuse midline glioma	-6.241899904137559	20.155898450624413	-0.3096810553708753	0.7568035106500661	-45.74673494340808	33.262935135132956
tp53_score:cancer_groupEpendymoma	17.931821942261113	13.572033019416692	1.3212332976649213	0.1864235869497919	-8.668873972784002	44.53251785730623
tp53_score:cancer_groupHigh-grade glioma astrocytoma	12.368344471555837	7.228071086631574	1.7111542378756175	0.08705264392737382	-1.7984145359373382	26.535103479049013
tp53_score:cancer_groupMedulloblastoma	-20.641195705692514	9.832351129593617	-2.0993143383138757	0.03578920029891145	-39.912249803047715	-1.3701416083373132
telomerase_score:cancer_groupCraniopharyngioma	36.806352854365905	68.23090717452766	0.5394381282403153	0.5895845781952881	-96.92376784020385	170.53647354893567
telomerase_score:cancer_groupDiffuse midline glioma	-17.763350214690977	26.03908891172951	-0.6821801743873357	0.49512502927228247	-68.79902667191708	33.27232624253513
telomerase_score:cancer_groupEpendymoma	26.966619282676277	14.85728678901296	1.8150433296218142	0.06951725099232804	-2.153127731771864	56.086366297124414
telomerase_score:cancer_groupHigh-grade glioma astrocytoma	12.387909067231059	6.2310517798801595	1.9880927819009895	0.04680142952994497	0.1752719928617488	24.60054614160037
telomerase_score:cancer_groupMedulloblastoma	-23.083309829125852	10.285984248733122	-2.244151776916139	0.024822637539060503	-43.24346850218905	-2.9231511560626515
tp53_score:telomerase_score:cancer_groupCraniopharyngioma	-70.6919469645706	130.7661389827878	-0.5405982581918665	0.5887845187046884	-326.9888697681938	185.6049758390526
tp53_score:telomerase_score:cancer_groupDiffuse midline glioma	20.572362762990434	33.42036845904513	0.6155636131959694	0.538182572664919	-44.93035576679638	86.07508129277726
tp53_score:telomerase_score:cancer_groupEpendymoma	-23.25918009710113	23.265273397070683	-0.9997380946329081	0.3174372713236171	-68.8582780458375	22.339917851635235
tp53_score:telomerase_score:cancer_groupHigh-grade glioma astrocytoma	-21.35179945620633	10.253401359531798	-2.082411358681205	0.037304911814020514	-41.44809683992268	-1.255502072489982
tp53_score:telomerase_score:cancer_groupMedulloblastoma	28.376844140169837	14.528877542253033	1.9531339608062634	0.050803723762038754	-0.0992325784389187	56.85292085877859
