	SAMPLE_ID	RAS_SCORE	TP53_SCORE	NF1_SCORE	RAS_SHUFFLE	TP53_SHUFFLE	NF1_SHUFFLE	sample_id	NF1	TP53	nf1_status	tp53_status	Kids_First_Biospecimen_ID	Kids_First_Participant_ID
0	7316-466	0.7193414470702985	0.2390159763881984	0.7694147776801357	0.4702415413857321	0.6709645060773562	0.4313132143603685	7316-466	1.0	1.0	1	1	BS_0VXZCRJS	PT_40HTPY49
1	A12748	0.471490689031801	0.5808189600522408	0.4312058468334132	0.4381468114268967	0.5060145568964578	0.6034318061046606	A12748	0.0	1.0	0	1	BS_0ZA67BBC	PT_VPEMAQBN
2	A14449	0.3969576741908691	0.39151610480712457	0.509708069843575	0.3615852736835701	0.7985941935448093	0.4890151407056424	A14449	0.0	0.0	0	0	BS_1N7MQZGR	PT_NK8A49X5
3	A12398	0.4714659930494522	0.16293983243955654	0.5125904272147344	0.6738788266906839	0.5046352099652058	0.5234221908579232	A12398	0.0	1.0	0	1	BS_21ET39G7	PT_KZ56XHJT
4	A16538	0.4752681807641738	0.6855910279776566	0.4402670583155918	0.5377401619013688	0.38990562191914657	0.3740213474735351	A16538	0.0	1.0	0	1	BS_2JP7RBMB	PT_Y74CVASJ
5		0.2446885711148369	0.5262466548027439	0.4832540957412748	0.5466047863281889	0.535739387015249	0.5114992008797736				0	0		
6	A09576	0.7668270049142443	0.925319141343634	0.4996638515107221	0.5118550871385653	0.4434421617852414	0.6687983671487473	A09576	0.0	1.0	0	1	BS_49CJNZ06	PT_M9XXJ4GR
7	7316-870	0.4999182651749934	0.13775449543748602	0.7330282607179053	0.6890823309120784	0.5181062584075998	0.388095827422853	7316-870	0.0	0.0	0	0	BS_4PPHAQXF	PT_P5HHJJPH
8		0.21428627421219573	0.009817514172319802	0.5397820486622079	0.4470285139089951	0.5447867585587043	0.5579386612403604				0	0		
9		0.2939660303909371	0.5756411456076759	0.43832005052534784	0.5369958353676447	0.3218878906000016	0.4517916560082941				0	0		
10	A09446	0.6456788262731873	0.16286647258192113	0.5511935837133425	0.4189025429617251	0.6606750940818865	0.4945550671824778	A09446	0.0	1.0	0	1	BS_5VPM0F36	PT_HGM20MW7
11	A18777	0.4662678490718909	0.8527412067193452	0.4882221575829224	0.3519625473598601	0.3344890012515578	0.4033196023306373	A18777	0.0	1.0	0	1	BS_68KX6A42	PT_RYMG3M91
12	A19015	0.40408074704382135	0.7100143631729237	0.4587393237407051	0.4825545315731841	0.6060060338711626	0.5196950660870477	A19015	0.0	1.0	0	1	BS_6M2053M0	PT_RE6AXQM1
13		0.5617482089552872	0.1353932510082938	0.4425057515392701	0.5501373988063051	0.5571043815816645	0.5146547885060008				0	0		
14	A16915	0.4760289459980732	0.8320359391214801	0.4355328715303416	0.52606063966962	0.4262745918721888	0.5349797281882616	A16915	0.0	1.0	0	1	BS_7WM3MNZ0	PT_W5GP3F6B
15	A07150	0.4106069438237056	0.7562073508349837	0.4185780727370911	0.5868724734613624	0.3953360361710001	0.5522091735332478	A07150	0.0	1.0	0	1	BS_8ZY4GST0	PT_V1HNAC2Q
16	7316-343	0.4417525282160703	0.617935451795508	0.5586308188249495	0.5972067096169411	0.5210878627191585	0.451110293434504	7316-343	1.0	1.0	1	1	BS_BMMY0H73	PT_X5TQR8V2
17	7316-85	0.8677382522349064	0.06229677874126492	0.8014904175233436	0.596529631853574	0.4935528889197371	0.4490244980735144	7316-85	0.0	0.0	0	0	BS_BYCX6VK1	PT_3AWKWXEV
18	A14709	0.4522508413290888	0.6822945190546527	0.4855517105589727	0.5077649809758994	0.5634056512248908	0.5448495079292841	A14709	0.0	1.0	0	1	BS_C83TK159	PT_1AAYYGGY
19	A16405	0.4404849013809608	0.9321072084351204	0.3892572870176616	0.3399246155779043	0.5267226738298456	0.4585497995175519	A16405	0.0	1.0	0	1	BS_EZ3147MX	PT_KAQMYFYB
20	7316-3214	0.3951540755858558	0.5737863641576832	0.4322831162178755	0.6696496026893783	0.4919087814457516	0.5845658164206189	7316-3214	1.0	1.0	1	1	BS_F0JB4EAK	PT_KBFM551M
21	A08732	0.6287441528590394	0.5953161504197052	0.4770360249516962	0.4985361928665218	0.8118864466723488	0.423618626132888	A08732	0.0	1.0	0	1	BS_FCDAH728	PT_KZ56XHJT
22	A08768	0.3236359476832721	0.8310104186460984	0.4658447249340963	0.4156926854435344	0.4862339794843028	0.5203810645009946	A08768	0.0	1.0	0	1	BS_G3NN392N	PT_QA9WJ679
23	A05262	0.35786273373751104	0.6985075071202381	0.5067956351549142	0.4304661534356175	0.4444491753713531	0.4390297122774959	A05262	0.0	1.0	0	1	BS_GWSJ4Z9H	PT_9GKVQ9QS
24	A18552	0.44237822248823583	0.7419479638291974	0.4428673189445916	0.4697910755413698	0.5165594217757871	0.4269497664930698	A18552	0.0	1.0	0	1	BS_H97S5SQN	PT_DMAF1J4A
25		0.5439127539336116	0.8681289306177091	0.510228985058506	0.4729426816764609	0.1963987786417537	0.3553808458806368				0	0		
26	A09985	0.5557409230961922	0.5024117783378463	0.5045571574866735	0.4449135054559019	0.3646121086991126	0.4951488801529096	A09985	0.0	1.0	0	1	BS_JB43XBCQ	PT_1E3E6GMF
27	A03942	0.4384833514467197	0.5800496004777079	0.5461256563963915	0.3942201851722572	0.3669991120630673	0.5223899801664403	A03942	0.0	0.0	0	0	BS_JQVAWTTM	PT_M23Q0DC3
28		0.6470208539257647	0.011757773505091045	0.6738518811523243	0.5611529304918815	0.5850521516267739	0.4844996453740989				0	0		
29	7316-87	0.3462598969029529	0.06645831094480575	0.3903461390846437	0.5787961935005556	0.5573770861770485	0.5167570874209727	7316-87	0.0	0.0	0	0	BS_JGA9BP3A	PT_WE1CHTWK
30	A08958	0.3160669780438546	0.7136011586109369	0.4135131681399121	0.4670326790839919	0.3057485936818489	0.5006073052117582	A08958	0.0	1.0	0	1	BS_NB9XXBW6	PT_WGVEF96B
