	SAMPLE_ID	RAS_SCORE	TP53_SCORE	NF1_SCORE	RAS_SHUFFLE	TP53_SHUFFLE	NF1_SHUFFLE	sample_id	NF1	TP53	nf1_status	tp53_status	Kids_First_Biospecimen_ID	Kids_First_Participant_ID
0	7316-362	0.4818777820476399	0.3992575984734716	0.5862764743586975	0.2635962166063743	0.745055335870778	0.4930337398660866	7316-362	1.0	1.0	1	1	BS_014EVM2D	PT_S21ZTKPS
1	7316-1745	0.5857040822336403	0.27408321800276	0.5000391381825223	0.213889973800332	0.5968326641793873	0.5083548167605197	7316-1745	1.0	1.0	1	1	BS_02NZT8CE	PT_2BJF83GQ
2	7316-1671	0.6171484547346074	0.4915443538698057	0.5175163230874466	0.4704610035790546	0.4696425051609378	0.4464232281378702	7316-1671	0.0	0.0	0	0	BS_03FT4S8B	PT_5KRVE8E4
3	7316-364	0.5513950306090201	0.017461243826156145	0.39131345913742177	0.296517627937559	0.35266564438956144	0.5613161901477357	7316-364	1.0	1.0	1	1	BS_0448A413	PT_VHS5RM2K
4	7316-3570	0.44492300721112665	0.12011349956797053	0.6400489329198746	0.4289678281469946	0.5561058365452968	0.4973622765215475	7316-3570	0.0	0.0	0	0	BS_044XZ8ST	PT_QAX38GM7
5	7316-1099	0.4519219387844371	0.9341816721843076	0.4174244695141386	0.5654747911205428	0.4792609623264853	0.4651836561522263	7316-1099	0.0	1.0	0	1	BS_052PZFMK	PT_N3205P0D
6	7316-1646	0.5687220077728684	0.5174974570075006	0.5035005828307866	0.708818595390293	0.5204989387733879	0.4390109827220625	7316-1646	1.0	1.0	1	1	BS_063ERW0R	PT_3V5GTCJR
7	7316-154	0.6411659296552134	0.2269707578271495	0.5671188187978139	0.4379733380289775	0.7446937631055902	0.4263364239700426	7316-154	0.0	0.0	0	0	BS_06AMMCXR	PT_Q3EP24V1
8	7316-879	0.6659459700284085	0.15876289216273806	0.5007090090566577	0.6581489286073131	0.4978918063294201	0.5131463690836038	7316-879	0.0	0.0	0	0	BS_06XH7EVF	PT_G8DRDA33
9	7316-2134	0.2825012328256143	0.5678527733606366	0.4226759642268745	0.5280704440790023	0.3714821469502921	0.28756436844950234	7316-2134	1.0	1.0	1	1	BS_07ANYSYQ	PT_S4H6KA09
10	7316-1100	0.4687455034969642	0.6132128911393491	0.4818355231286202	0.13281062945498634	0.5716446759109156	0.6624491433077163	7316-1100	0.0	0.0	0	0	BS_09R7GDA7	PT_0PT33SCF
11	7316-2176	0.5607517278640824	0.4933157865685525	0.6492026551070363	0.6693760931027906	0.4441663481211763	0.5099032738555352	7316-2176	1.0	1.0	1	1	BS_0C7VZC0A	PT_VAJN5QP8
12	7316-1078	0.2573289582673555	0.649753664042549	0.43096038061356257	0.2956998863413312	0.713841538622941	0.565565347234288	7316-1078	0.0	1.0	0	1	BS_0BXY0F9N	PT_164RNWTT
13	7316-1746	0.5251493789017946	0.4819064580632723	0.5839626442536695	0.4946947201175171	0.2212284701013787	0.4457174495395553	7316-1746	0.0	1.0	0	1	BS_0RQ4P069	PT_C2D4JXS1
14		0.4523113920814108	0.29456798192728384	0.3922985281478833	0.6638397969079158	0.5014224934200269	0.5396564495112087				0	0		
15		0.5234334209528979	0.5424531872739992	0.5830750586600083	0.6350916045378255	0.6225546438027868	0.4948909166474391				0	0		
16	7316-1090	0.5617079241464153	0.4865101078603869	0.5727161818656187	0.4545549528099622	0.7427427612344978	0.45830518058007597	7316-1090	0.0	0.0	0	0	BS_0J9SHHSC	PT_WVC247PK
17	7316-455	0.5056714255193451	0.5592087860763508	0.5779819602057221	0.4440000178309574	0.4364466723301021	0.4464896664868901	7316-455	0.0	0.0	0	0	BS_0QYS36NR	PT_V3Q78E6F
18		0.4148711646215431	0.2631809053719173	0.6124138733312969	0.31793315797383165	0.6296946634261599	0.5298631648533016				0	0		
19	7316-119	0.5422499938792937	0.34855805096086434	0.5251020693620254	0.33445889666443	0.3835146156989043	0.5282771819153558	7316-119	0.0	0.0	0	0	BS_0SCXXM6N	PT_SMDEQVHJ
20	7316-3306	0.6923784849742124	0.7025120907172389	0.6049271537948406	0.5567049206051953	0.6113058114832568	0.4410432884019142	7316-3306	0.0	0.0	0	0	BS_0SPCTBZY	PT_PKHG2YFW
21	7316-183	0.3657969770961268	0.5771251501411148	0.4322228522367768	0.5838618397448785	0.6270664629498695	0.4996614937435769	7316-183	1.0	1.0	1	1	BS_0T17SY47	PT_BQ8BQ01J
22	7316-2248	0.33101107544503616	0.9154898301924907	0.6351200096695967	0.5506406278627862	0.6301711028963153	0.4407743121881986	7316-2248	0.0	0.0	0	0	BS_0VRSD9V3	PT_3WA7SBQ6
23		0.4493362465512973	0.5384848746625072	0.523661407498942	0.3844441115682313	0.645622336917579	0.4059882797416723				0	0		
24	7316-370	0.2983029111195123	0.577257568983886	0.48002284481601293	0.7991832479139901	0.5650935865250589	0.5494660979480621	7316-370	0.0	0.0	0	0	BS_0WVJYM9R	PT_MNR94DEV
25	7316-1744	0.34382921022791546	0.5693624935478526	0.485071848275719	0.3720332056265532	0.5990539953435664	0.4124735682431102	7316-1744	1.0	1.0	1	1	BS_0X9EGHY2	PT_3KK1F95W
