PC1	PC2	Kids_First_Biospecimen_ID
-309549.1345250554	-78449.9519303444	BS_ZF6BSFNF
-307509.1551924023	-74543.11908658817	BS_H97S5SQN
-308473.0340988243	-76297.7889683565	BS_0ZA67BBC
-307648.23840751447	-75013.24793042951	BS_W7MFJZ5A
-306469.1429763633	-73318.71263005071	BS_68KX6A42
-307872.7075420217	-75254.19211176052	BS_NB9XXBW6
-308374.2727211503	-76101.62773981121	BS_1N7MQZGR
-307909.6555115217	-75057.61306989509	BS_2JP7RBMB
-311162.4772347796	-81548.7362700458	BS_JQVAWTTM
-307689.1831377605	-76977.82853135315	BS_R9B92M75
-309137.1390982342	-77839.6134828497	BS_6M2053M0
-309736.9344947798	-78867.0430934067	BS_JB43XBCQ
-308361.2131280198	-76211.85039460915	BS_C83TK159
-311221.51970785897	-82133.4950103262	BS_F0JB4EAK
-306787.0867468105	-73081.47787836386	BS_Z3RCA1T9
-307652.2995249134	-74746.51486345238	BS_FCDAH728
-306436.0883556445	-72486.14299200273	BS_X4DD4KSZ
-310606.63741112506	-80817.78389616031	BS_NGSG2KB6
-307018.9041916639	-73639.6178189688	BS_XGDPK33A
-307872.7723461252	-75098.45302836603	BS_21ET39G7
-315109.2557229488	-89201.22092323539	BS_XM1AHBDJ
-308597.48690369376	-76211.23517345062	BS_5VPM0F36
-308218.6616951146	-75879.49106734924	BS_YDEVMD24
-305921.5155138286	-70481.77666923727	BS_49CJNZ06
-317442.62032791734	-93808.82020591042	BS_G3NN392N
-308554.7079602332	-76234.19839210928	BS_7WM3MNZ0
-307004.92060865095	-73636.10146950056	BS_EZ3147MX
-308428.95752440195	-76073.40745064565	BS_R7NTZR4C
-307447.92008222383	-74366.05959480828	BS_QNNX91SM
-307267.1782554014	-74155.46367460204	BS_8ZY4GST0
-307809.16159114253	-74812.53587894166	BS_GWSJ4Z9H
-307455.83409047837	-74702.71006471821	BS_NEVYM2FP
68198.69895964308	4879.921606090293	BS_S2TA8R29
37771.74182287138	-14965.456690998924	BS_JMHG7GCN
-127897.45678848245	41702.87338425127	BS_BVSW4GTG
179561.83137703923	-52909.641299853756	BS_QNAQGAV6
179543.0825762353	20314.553531478134	BS_FRM9TG02
63310.87175773519	-16260.57011279129	BS_SM8VQFPD
60181.76433688806	-6384.5846358735525	BS_67PX06P3
-9377.998339866632	721.9055966782743	BS_RCFQ31XF
81658.82122689697	-18409.845865425184	BS_Q3TBCK4V
123596.75507986937	8302.06106603856	BS_VR7FR1NE
71995.48431880002	25781.441560006057	BS_EFE4YEK3
25303.732202419964	-50176.68213504056	BS_P44PE00R
2031.7260809434854	-4618.252831337642	BS_FEYMKEK8
181728.56293720417	-76824.23833760539	BS_EXYHZ6D4
-203560.42557458696	125972.64477972714	BS_TW8DQH8J
-27548.938223218975	54544.335041832834	BS_S1M423AB
12464.244274114571	82598.0345479177	BS_G63HYD6N
81354.4375425196	40874.057909728144	BS_B741RZY9
-45938.28318938676	26300.338242566053	BS_TZ5D0A7R
-117084.74194381712	-15156.606602567037	BS_M8EA6R2A
5132.32960846451	-56543.102968511805	BS_31TF0P1N
20457.512808141066	31134.22689791905	BS_JR5ATB7G
7326.120579355855	-46320.34405256847	BS_B0SVFK4P
-31723.018616626923	74963.55129258402	BS_7C40TRCY
99864.69575188986	-86634.01394035778	BS_C3P5BC92
-29201.942759201207	-63267.75886728022	BS_GFM6EA61
55102.184544667885	-24219.52342954908	BS_9HSGV9TJ
-256691.40179380847	-14982.589976063224	BS_DBEX7AG2
-62236.62003095229	33831.86285865446	BS_1EBQ3T20
46523.83730221289	-41234.015763519696	BS_B7X8VXQ3
-7858.083473348974	38422.73959268865	BS_QW60M0FE
-166802.83974643503	45573.070725328675	BS_WJGFDRWK
69351.2530512536	-43645.53575935562	BS_3H71BH6Q
-37868.11485780149	-12111.362644611794	BS_6JHXXVR7
-108344.88624486586	104970.4070307962	BS_M86ECPHK
2695.7148458204115	-7490.545423707049	BS_52DAPP1Y
26450.90689082618	28318.099479173725	BS_8Q77HZ4R
-42517.192351673766	5188.01011025992	BS_1D6PZNKN
42407.96024543665	82021.96271140668	BS_BJDNWMJH
130497.51659813672	26302.885653387537	BS_N8J1DP02
60381.98743315788	54469.12618567894	BS_49BQS7Z6
-19234.557769776908	-9327.49873296114	BS_23M72ABG
45435.87530881561	5505.728382950842	BS_XGSA3GQE
-307231.2336584149	-76765.27927522172	BS_NPA6CZQF
43918.17018768321	-17345.941645660347	BS_B7GEH89C
-88116.46689558918	7108.184517121298	BS_2HN96129
-121732.47740188122	37757.3021758957	BS_K25F4J3V
81430.83776610604	-32097.34689762975	BS_E4QK839R
-118875.94082873334	-16995.417610843764	BS_RB2S0KDF
40871.59872694466	-25829.258053547197	BS_5K3R0F5D
167448.1991492048	42537.05934572129	BS_69V8P8A0
-4496.823746731123	33493.61483871887	BS_HD4EJYE3
1246.7543866656206	22499.85697892415	BS_QWNBZ9RJ
-204353.61815011987	63949.57570866205	BS_3F5PR9GS
-9625.901743278631	16466.09956976561	BS_52C576HH
-89601.96215613252	70352.56420046884	BS_RFMQ7T0T
19398.69873364453	12001.325380147407	BS_0VRSD9V3
83542.03890917925	-19405.447696324696	BS_X16PENSA
90378.93352047121	-14569.656352184535	BS_912NX4Y0
-3088.68406593279	12899.862756746155	BS_MN5XVP5A
-3671.358669866017	-19651.167339128137	BS_DY88N5ZT
-12436.98310448536	-9582.83341642647	BS_KVAJYZ6F
32470.37804723267	-25238.030906247575	BS_J483EMFP
-717.2919742602672	23425.350641677727	BS_DEHJF4C7
-87471.11339190314	8875.365485795259	BS_JGPR9SR2
138492.84396387273	-13713.116632717907	BS_EHVYJAVA
106337.86474437788	-36528.84301919039	BS_FJZPQZ2C
-104667.19192786279	-14926.777687806734	BS_8ZS9F31R
-116098.67118077731	36037.30375106375	BS_M026T44Q
-17400.006779456067	85330.04854969861	BS_7BTZQKYY
167247.90261895637	-79333.90764815663	BS_49F4RAA4
20632.952261543924	1568.0276175788936	BS_BWBDH9GM
-20462.70516274484	7668.430911717706	BS_6YMJ621P
-42319.475660118005	34020.060138664165	BS_YEW22W35
146985.13226874295	-27199.462710383163	BS_NT9NZYFD
46714.04068399462	2145.685290794389	BS_JT82QGXF
37435.7086146835	-74269.89693905808	BS_P9JP6JFA
-41468.381125869906	29659.825128052253	BS_SES41DAX
112734.3521693349	-34220.050024166274	BS_V3REENH9
23701.82332867044	-4374.533028168944	BS_66ABA973
-2072.394823254443	21034.76912980904	BS_KVV7001W
71640.76407175027	-14987.05042068901	BS_49852ZBH
121623.51014660433	-1637.1359460123908	BS_ZWR9W4FX
102272.51560369844	-28391.217908514463	BS_JH29M4KG
111461.45919206008	-18028.93644939248	BS_AG3D3435
-8371.747936738087	66940.71660394632	BS_7FWZ518S
-38515.65544193844	-2419.9268946456614	BS_Z8F3GM85
88885.41559568471	-14845.140751181381	BS_DVCQ8XDZ
127358.30801483773	-29977.17279587023	BS_B8T7M0WV
135807.2024153306	-38267.99438391517	BS_VNE0ZPBS
-37744.129962563224	-30797.980713775767	BS_PGHK1JRW
31093.595566497992	-14105.95060537672	BS_17WYVEEC
45028.24338009753	-30136.70766553456	BS_1J2WQ08M
8058.154365090866	68972.33449873836	BS_HZ707C55
-142667.75242770635	36354.258188352185	BS_NQFH3GZH
-174381.5150671469	-51980.924238245214	BS_YG0A13JH
191387.03809092392	-43620.612096024124	BS_CZ82ANWP
-82183.43295967934	-5701.420035122132	BS_M7QJ8VF0
-96671.36014718702	32293.26767533936	BS_TE0GVDNG
30082.500918010144	5368.816693915085	BS_YA8RBGD8
15441.433808046218	50635.515700428194	BS_Y8D1F5WW
50162.65499710535	-36304.55253213212	BS_M8WP5T16
168216.70350128852	-55800.81386218512	BS_769BDPDB
-31719.430346363708	-58434.76955270137	BS_AA164D3A
55953.02400006547	12870.460856163634	BS_5JM573JC
-92242.36934216082	41287.215537105236	BS_7XQRH69M
-50860.220232307634	17089.79635916092	BS_0GDJQANN
132897.34671678892	-36780.17181215958	BS_EYYMKWB7
-5569.4956819153085	52574.977554020676	BS_WRQHPSXQ
37933.195999310505	-8427.057703029217	BS_WGK8ZMVA
60942.366023767056	6774.805049809223	BS_V96WVE3Z
766.9061813636548	-1220.5150389198743	BS_V0Q1G94N
16132.053301335402	104138.97373448162	BS_Z85M2R3N
5762.903429269758	45189.77764459248	BS_MKM0EEN1
30642.766369830897	15451.75302428164	BS_4NF35AF6
117007.03288507015	-31149.08776069447	BS_HSHN8PBB
42542.35184617688	-42996.91142797066	BS_TCGEZJ5F
30333.13563228164	15302.704976852374	BS_JFR750KD
52543.25922425089	-73811.6481825746	BS_0SPCTBZY
34649.17707024233	-6454.608440685024	BS_HX0S30NE
-171227.89606184227	122125.82607546917	BS_TV5B86ZD
11583.063365264134	-54928.786547879194	BS_7BW0YRPY
12105.881095357632	-36114.409829207376	BS_V7BJM89K
152509.2928318796	-37847.53975864132	BS_YK6VQ9SJ
112571.07412567754	-16565.908905669083	BS_B6M763JS
64696.0153992934	-14376.355956093768	BS_4Y6BCYK5
28484.14826027278	41300.11649833266	BS_3MS8WVNR
6287.64124269119	19272.929314200315	BS_WKESC3XN
-8910.326268207447	-3491.2682990199373	BS_M9C4RY4P
44282.89276897227	11474.296174442325	BS_GV3NZ9QD
38108.4754078299	2799.8212269818896	BS_W9N9844Q
101180.47249340462	-17182.596822141277	BS_258RRGDM
-16319.57657320408	28701.357382269664	BS_7G42J2SK
31046.196743958408	-14104.10353156983	BS_Q79NP5YY
120489.0409474341	-25076.697119538403	BS_7Z93ZYMS
-199088.6294517412	-25984.479898551894	BS_6HTK4YJP
81601.22247023003	3960.756575958111	BS_ZV1P6W9C
122196.19773101604	-41438.76009774045	BS_S9929Z8B
-33854.39228123622	30403.447844985207	BS_KBT7MQ6H
173525.07234653484	-45442.812599563345	BS_X9EGD530
46896.24224779725	-36356.36888508658	BS_1ZVXF5FE
-78639.45083863377	45424.86125380741	BS_W311713R
91214.9461670171	-7489.636366229697	BS_ET8CJXSF
-305737.2466946589	-74610.0285617516	BS_HWGWYCY7
108740.32155382891	-41090.28169212435	BS_KK0JWATQ
94841.8984512954	-10421.786387985281	BS_GYA4V1RD
-39272.233086592634	26365.419585944608	BS_6G6C7VPX
-45743.69250518224	-48043.80351980257	BS_1RT76ANT
-305003.40399688407	-73335.80781526782	BS_4PPHAQXF
-94438.26008775282	73566.74443985288	BS_JFB984RG
73036.6565965183	2589.59797639572	BS_GC3CH9TY
112009.96841727584	-33962.45789157241	BS_T55Y4Z0Y
-30633.859935090542	39933.157177558474	BS_DFWFBYSN
27360.722485733982	13774.228280394853	BS_3DCBDJAT
-34218.10250519675	-1494.9132240779636	BS_NR3P3GN2
-66684.19231250323	-38669.85052349437	BS_KE56MMY0
-19764.571331138377	-16381.135438498759	BS_47SJZ3PH
-61896.60942419509	28819.80443707699	BS_HF3RNN2T
119765.64618035665	-51795.78741713691	BS_ZTWGFWTX
69570.42697872	164.51427779045906	BS_KXH37MPN
-139046.1612111542	38814.431578877426	BS_VT6C6N6K
85754.62480629698	3620.324721184069	BS_G7AGNB5G
64908.80822729736	-15677.947599565823	BS_BKQZ550R
-56090.86387967947	20197.944561264678	BS_QT3NZ2YZ
76174.43679354619	4310.85679442818	BS_CGB2WS2A
-57612.55402679807	-21657.27480938902	BS_1A6MQ9ZA
33927.276252044074	-33996.17904435346	BS_QZFEB94Q
18965.00398856823	-10176.663851681249	BS_Z1A875MW
12550.232839280887	5397.594771289967	BS_ZN8136D9
130906.88155517327	-9276.089921976933	BS_PQ6QEVE8
82265.52442283202	-20904.268805511918	BS_1RXZ3BP7
161081.1843860523	-15467.963480041328	BS_JX7S9MY7
-115750.69002598875	-4786.667164404774	BS_S71RJ8DH
16874.13601480676	1417.570353512249	BS_014EVM2D
-27054.75933798339	-13897.755732202306	BS_VP5Y45Z7
-70519.27054545781	18849.07537272047	BS_74G5K7JF
43032.257641405515	-21625.344035009824	BS_VMQMGSJY
-21293.72630640816	70004.44673621717	BS_ZXYDSBM9
90201.58997494171	5649.190594069528	BS_SFKZSJN1
100905.59655870605	-1205.3618144572504	BS_Z9ZS6ZS2
34793.289249309906	46459.943225946416	BS_FEPRNEXX
73075.26323830182	8142.965422230843	BS_6P50QTPP
50017.7566790768	-14809.317312853824	BS_52426AMF
-20848.531741183135	-11919.686396648283	BS_KXMYBQ6N
-13064.735405053247	-22205.508981228286	BS_02NZT8CE
-37397.86361620662	84971.7747216806	BS_J60G8DMK
-94524.8020779793	6327.643861869393	BS_K17VQECG
113183.19199632296	-36768.92688327276	BS_M1PVEHCM
-15853.422437094376	-26653.74220527088	BS_70FFPA51
113854.7622405661	-35123.164117089465	BS_91VYM11A
-177002.61404474248	37715.29101796534	BS_PSNBFWQV
