gene	x_labels	mean	median	sd
MT-ATP8	GTEx_Whole Blood_755	2651.26	2195	1833.64
MT-ATP8	PBTA_Meningioma_19	2183.36	2200.2	1133.01
MT-ATP8	GTEx_Pancreas_328	9344.72	8791	4157.17
MT-ATP8	GTEx_Cells - Cultured fibroblasts_504	10615.49	9660.5	3909.01
MT-ATP8	GTEx_Cervix - Ectocervix_9	10657.11	10190	2968.54
MT-ATP8	GTEx_Artery - Aorta_432	11283.22	10880	4191.66
MT-ATP8	GTEx_Spleen_241	11751.24	11370	4380.07
MT-ATP8	GTEx_Cells - EBV-transformed lymphocytes_174	11618.82	11445	3152.92
MT-ATP8	GTEx_Artery - Tibial_663	12295.58	11980	3785.65
MT-ATP8	GTEx_Ovary_180	11882.49	12190	6048.66
MT-ATP8	GTEx_Esophagus - Mucosa_555	13573.97	12840	5527.96
MT-ATP8	GTEx_Vagina_156	13175.71	12975	5749.87
MT-ATP8	GTEx_Fallopian Tube_9	13122.89	12980	3112.08
MT-ATP8	GTEx_Cervix - Endocervix_10	12564.6	13075	4925.85
MT-ATP8	GTEx_Artery - Coronary_240	14917.89	13470	7015.51
MT-ATP8	GTEx_Uterus_142	13792.53	13495	5682.02
MT-ATP8	GTEx_Lung_578	13909.95	13665	4734.78
MT-ATP8	GTEx_Nerve - Tibial_619	14604.1	14110	4073.06
MT-ATP8	GTEx_Minor Salivary Gland_162	15887.25	15155	4603.03
MT-ATP8	GTEx_Skin - Sun Exposed (Lower leg)_701	16535.07	16080	4785.89
MT-ATP8	GTEx_Pituitary_283	16573.6	16510	6494.62
MT-ATP8	GTEx_Bladder_21	18661.48	16560	7055.25
MT-ATP8	GTEx_Testis_361	17702.07	16740	5226.42
MT-ATP8	GTEx_Skin - Not Sun Exposed (Suprapubic)_604	18037.85	17405	5412.68
MT-ATP8	GTEx_Thyroid_653	19364.44	19170	6798.51
MT-ATP8	GTEx_Breast - Mammary Tissue_459	22084.61	20680	7528.61
MT-ATP8	GTEx_Esophagus - Muscularis_515	21529.61	20700	6429
MT-ATP8	GTEx_Esophagus - Gastroesophageal Junction_375	21478.05	20730	7005.04
MT-ATP8	GTEx_Adipose - Subcutaneous_663	21290.19	21070	6025.87
MT-ATP8	GTEx_Colon - Sigmoid_373	21901.46	21570	6526.21
MT-ATP8	GTEx_Brain - Cerebellar Hemisphere_215	23008.92	22240	7393.98
MT-ATP8	GTEx_Small Intestine - Terminal Ileum_187	22501.84	22880	7335.91
MT-ATP8	GTEx_Colon - Transverse_406	23460.66	23260	6899.76
MT-ATP8	GTEx_Stomach_359	24356.97	23750	6850.17
MT-ATP8	GTEx_Prostate_245	24407.05	23770	9007.27
MT-ATP8	GTEx_Adipose - Visceral (Omentum)_541	24318.94	24040	8101.61
MT-ATP8	GTEx_Brain - Spinal cord (cervical c-1)_159	25494.39	25660	6821.57
MT-ATP8	GTEx_Brain - Frontal Cortex (BA9)_209	26514.02	26670	6871.1
MT-ATP8	GTEx_Muscle - Skeletal_803	27167.91	26800	6372.74
MT-ATP8	GTEx_Brain - Cerebellum_241	27841	27260	6352.08
MT-ATP8	GTEx_Adrenal Gland_258	29388.37	28670	6492.61
MT-ATP8	GTEx_Liver_226	29629.81	29935	10594.92
MT-ATP8	GTEx_Brain - Hypothalamus_202	30851.68	30130	7950.55
MT-ATP8	GTEx_Brain - Nucleus accumbens (basal ganglia)_246	30938.34	30655	6840.76
MT-ATP8	GTEx_Brain - Substantia nigra_139	30700.96	30950	6870.2
MT-ATP8	GTEx_Brain - Anterior cingulate cortex (BA24)_176	31141.76	31085	7086.75
MT-ATP8	GTEx_Brain - Amygdala_152	31446.78	31495	6997.08
MT-ATP8	GTEx_Brain - Cortex_255	31413.28	31620	5888.55
MT-ATP8	GTEx_Brain - Caudate (basal ganglia)_246	33319.8	32685	7619.9
MT-ATP8	GTEx_Brain - Hippocampus_197	32965.73	32740	7639.3
MT-ATP8	GTEx_Kidney - Cortex_85	31901.24	32940	10888.94
MT-ATP8	GTEx_Brain - Putamen (basal ganglia)_205	33242	33360	7331.08
MT-ATP8	GTEx_Heart - Atrial Appendage_429	35385.03	35020	8610.95
MT-ATP8	GTEx_Heart - Left Ventricle_432	40670.78	39835	11358.04
