gene	x_labels	mean	median	sd
MT-CO1	Neurofibroma/Plexiform_20	980.96	858.63	577.36
MT-CO1	Schwannoma_19	1204.33	1086.68	443.61
MT-CO1	Ependymoma_93	1835.49	1445.08	1462.43
MT-CO1	Embryonal tumor with multilayer rosettes_6	3219.54	1487.9	3915.47
MT-CO1	Teratoma_7	3136.97	1695.2	3449.05
MT-CO1	Medulloblastoma_122	1922.25	1723.14	1241.18
MT-CO1	Craniopharyngioma_15	2617	2017.38	2070.07
MT-CO1	Pineoblastoma_5	3449.14	2035.5	2935.08
MT-CO1	Ewing sarcoma_10	2168.06	2044.54	800.38
MT-CO1	Choroid plexus papilloma_16	2723.5	2099.88	1918.11
MT-CO1	Sarcoma_6	1886.65	2136.04	943.85
MT-CO1	Adamantimomatous craniopharyngioma_20	2187.36	2171.18	543.78
MT-CO1	Glial-neuronal tumor NOS_7	6590.32	2242.57	9357.07
MT-CO1	Atypical meningioma_7	2560.21	2443.22	1064.69
MT-CO1	Diffuse intrinsic pontine glioma_10	5684.28	2493.33	10921.67
MT-CO1	Chordoma_6	2265.36	2561.42	731.43
MT-CO1	Meningioma_19	2867.66	2614.93	2014.38
MT-CO1	Low-grade glioma/astrocytoma_301	3659.26	2630.55	3556.28
MT-CO1	Benign tumor_14	4593.19	2674.65	4001.92
MT-CO1	High-grade glioma/astrocytoma_111	6409.42	2840.03	11398.46
MT-CO1	Atypical Teratoid Rhabdoid Tumor_30	3335.88	2865.57	2118.77
MT-CO1	CNS Embryonal tumor_15	5386.76	3530.23	5637.23
MT-CO1	Dysplasia/Gliosis_14	5813.05	5164.18	3091.84
MT-CO1	Neuroblastoma_210	6153.48	5633.59	2955.46
MT-CO1	Dysembryoplastic neuroepithelial tumor_24	6340.91	6038.38	3454.5
MT-CO1	Diffuse midline glioma_68	15865.1	10341.43	16800.3
