gene	x_labels	mean	median	sd
MT-CO2	PBTA_Neurofibroma/Plexiform_20	584.61	457.98	352.39
MT-CO2	PBTA_Schwannoma_19	689.34	678.2	288.44
MT-CO2	PBTA_Teratoma_7	1471.15	825.09	1529.21
MT-CO2	PBTA_Ependymoma_93	1021.15	869.13	834.53
MT-CO2	PBTA_Medulloblastoma_122	1144.47	931.56	983.26
MT-CO2	PBTA_Craniopharyngioma_15	1270.58	970.95	905.53
MT-CO2	PBTA_Embryonal tumor with multilayer rosettes_6	2479.28	1019.28	3850.83
MT-CO2	PBTA_Atypical meningioma_7	926.7	1023.01	242.07
MT-CO2	PBTA_Adamantimomatous craniopharyngioma_20	1096.22	1115.32	288.71
MT-CO2	PBTA_Glial-neuronal tumor NOS_7	3136.08	1143.01	4158.37
MT-CO2	PBTA_Meningioma_19	1239.99	1163.17	800.4
MT-CO2	PBTA_Ewing sarcoma_10	1234.31	1197.43	494.67
MT-CO2	PBTA_Choroid plexus papilloma_16	1590.85	1244.31	1051.97
MT-CO2	PBTA_Pineoblastoma_5	2113.62	1292.36	1571.83
MT-CO2	PBTA_Low-grade glioma/astrocytoma_301	1873.46	1359.49	1719.66
MT-CO2	PBTA_Sarcoma_6	1306.71	1389.42	734.8
MT-CO2	PBTA_Chordoma_6	1328.21	1463.18	480.13
MT-CO2	PBTA_Benign tumor_14	2350.83	1469.7	1908.92
MT-CO2	PBTA_Diffuse intrinsic pontine glioma_10	1750.44	1488.79	939.43
MT-CO2	PBTA_Atypical Teratoid Rhabdoid Tumor_30	1839.92	1522.3	1149.53
MT-CO2	PBTA_CNS Embryonal tumor_15	3816.57	1708.2	5512.73
MT-CO2	PBTA_High-grade glioma/astrocytoma_111	4276.16	1892.57	8200.97
MT-CO2	PBTA_Dysplasia/Gliosis_14	2941.95	2682.06	1356.86
MT-CO2	GMKF_Neuroblastoma_208	3437.6	3103.66	1881.65
MT-CO2	PBTA_Dysembryoplastic neuroepithelial tumor_24	3327.98	3281.27	1652.32
MT-CO2	PBTA_Diffuse midline glioma_68	12032.88	7808.72	14574.9
