gene	x_labels	mean	median	sd
MT-CO2	PBTA_Ewing sarcoma_10	1234.31	1197.43	494.67
MT-CO2	GTEx_Whole Blood_755	5946.8	5330	3431.31
MT-CO2	GTEx_Pancreas_328	12796.41	11945	5186.03
MT-CO2	GTEx_Artery - Aorta_432	13950.86	13495	5693.9
MT-CO2	GTEx_Ovary_180	13447.14	13655	6136.92
MT-CO2	GTEx_Artery - Tibial_663	16179.71	15700	4237.32
MT-CO2	GTEx_Cervix - Ectocervix_9	14490.44	16550	4054.03
MT-CO2	GTEx_Uterus_142	17881.69	17970	6091.94
MT-CO2	GTEx_Cervix - Endocervix_10	16774.5	18225	5496.15
MT-CO2	GTEx_Fallopian Tube_9	20371.11	18740	4950.82
MT-CO2	GTEx_Nerve - Tibial_619	19719.22	19170	5133.78
MT-CO2	GTEx_Artery - Coronary_240	22005.4	19885	9409.04
MT-CO2	GTEx_Vagina_156	20226.81	19990	7747.37
MT-CO2	GTEx_Lung_578	22578.35	21990	7887.6
MT-CO2	GTEx_Cells - EBV-transformed lymphocytes_174	24284.31	24085	6012.95
MT-CO2	GTEx_Pituitary_283	25233.57	24250	8622.87
MT-CO2	GTEx_Spleen_241	24563.58	24820	6900.35
MT-CO2	GTEx_Cells - Cultured fibroblasts_504	24613.23	24915	6265.25
MT-CO2	GTEx_Minor Salivary Gland_162	26001.6	25240	7348.13
MT-CO2	GTEx_Esophagus - Mucosa_555	27052.86	25300	10914.52
MT-CO2	GTEx_Skin - Sun Exposed (Lower leg)_701	26649.74	25760	6656.73
MT-CO2	GTEx_Testis_361	27352.63	26570	6630.17
MT-CO2	GTEx_Skin - Not Sun Exposed (Suprapubic)_604	28586.14	27400	7826.13
MT-CO2	GTEx_Adipose - Subcutaneous_663	28675.14	28020	7694.4
MT-CO2	GTEx_Thyroid_653	28673.15	28600	10127.54
MT-CO2	GTEx_Breast - Mammary Tissue_459	31036.73	29180	10443.95
MT-CO2	GTEx_Adipose - Visceral (Omentum)_541	32340.91	31030	12153.8
MT-CO2	GTEx_Bladder_21	32168.67	32080	7729.11
MT-CO2	GTEx_Prostate_245	37369.51	36580	11050.79
MT-CO2	GTEx_Muscle - Skeletal_803	39300.2	38380	10612.28
MT-CO2	GTEx_Esophagus - Gastroesophageal Junction_375	40094.15	38550	12472.94
MT-CO2	GTEx_Colon - Sigmoid_373	39627.43	38800	11254.42
MT-CO2	GTEx_Stomach_359	41884.2	40260	13906.23
MT-CO2	GTEx_Esophagus - Muscularis_515	43016.58	41570	11639.84
MT-CO2	GTEx_Small Intestine - Terminal Ileum_187	42099.75	42250	13498.35
MT-CO2	GTEx_Heart - Atrial Appendage_429	42789.99	43730	13165.69
MT-CO2	GTEx_Brain - Cerebellar Hemisphere_215	46767.26	43890	14637.28
MT-CO2	GTEx_Brain - Cerebellum_241	45348.26	44000	10402.46
MT-CO2	GTEx_Adrenal Gland_258	50172.83	48980	11952.07
MT-CO2	GTEx_Liver_226	49399.94	49560	17961.28
MT-CO2	GTEx_Colon - Transverse_406	50942.93	51120	17286.13
MT-CO2	GTEx_Brain - Spinal cord (cervical c-1)_159	56686.73	55860	17463.86
MT-CO2	GTEx_Brain - Frontal Cortex (BA9)_209	63155.5	62610	13940.64
MT-CO2	GTEx_Brain - Cortex_255	62363.96	62950	10440.76
MT-CO2	GTEx_Heart - Left Ventricle_432	65043.87	63240	16523.34
MT-CO2	GTEx_Brain - Amygdala_152	65644.26	64975	12450.13
MT-CO2	GTEx_Brain - Nucleus accumbens (basal ganglia)_246	66188.29	66330	12893.56
MT-CO2	GTEx_Brain - Hypothalamus_202	66698.22	67000	15636.27
MT-CO2	GTEx_Brain - Anterior cingulate cortex (BA24)_176	67157.33	67870	11770.16
MT-CO2	GTEx_Brain - Hippocampus_197	71272.64	73180	13875.96
MT-CO2	GTEx_Kidney - Cortex_85	71220.94	73720	25351.16
MT-CO2	GTEx_Brain - Caudate (basal ganglia)_246	73986.67	74890	13160.63
MT-CO2	GTEx_Brain - Substantia nigra_139	77681.01	77610	14964.1
MT-CO2	GTEx_Brain - Putamen (basal ganglia)_205	80319.22	80110	13217.41
