gene	x_labels	mean	median	sd
MT-CO3	Adamantimomatous craniopharyngioma (N = 20)	1715.22	1650.73	381.64
MT-CO3	Atypical meningioma (N = 7)	1862.73	2029.3	600.7
MT-CO3	Atypical Teratoid Rhabdoid Tumor (N = 30)	2639.43	2334.47	1637.05
MT-CO3	Benign tumor (N = 14)	3289.65	2279.58	2571.27
MT-CO3	Chordoma (N = 6)	1838.63	2006.99	568.2
MT-CO3	Choroid plexus papilloma (N = 16)	2168.76	1546.58	1504.68
MT-CO3	CNS Embryonal tumor (N = 15)	4855.59	2453.17	5716.13
MT-CO3	Craniopharyngioma (N = 15)	2031.47	1645.79	1825.31
MT-CO3	Diffuse intrinsic pontine glioma (N = 10)	2656.2	1671.26	4150.03
MT-CO3	Diffuse midline glioma (N = 68)	11137.86	7922.93	12041.12
MT-CO3	Dysembryoplastic neuroepithelial tumor (N = 24)	4795.47	4803.34	2474.89
MT-CO3	Dysplasia/Gliosis (N = 14)	4246.02	4038.38	2165.39
MT-CO3	Embryonal tumor with multilayer rosettes (N = 6)	3407.1	1612.62	4756.14
MT-CO3	Ependymoma (N = 93)	1229.2	992.81	845.69
MT-CO3	Ewing sarcoma (N = 10)	1678.24	1643.9	614.31
MT-CO3	Glial-neuronal tumor NOS (N = 7)	4186.84	1907.86	4789.63
MT-CO3	High-grade glioma/astrocytoma (N = 111)	4967	2178.89	8584.66
MT-CO3	Low-grade glioma/astrocytoma (N = 301)	2639.93	1953.18	2434.02
MT-CO3	Medulloblastoma (N = 122)	1839.15	1630.45	1324.08
MT-CO3	Meningioma (N = 19)	2255.24	1997.88	1217.82
MT-CO3	Neuroblastoma (N = 210)	4426.09	3919.78	2287.33
MT-CO3	Neurofibroma/Plexiform (N = 20)	807.04	644.72	515.74
MT-CO3	Pineoblastoma (N = 5)	3202.62	1729.25	2361.17
MT-CO3	Sarcoma (N = 6)	1421.98	1540.59	426.8
MT-CO3	Schwannoma (N = 19)	967.27	916.93	350.8
MT-CO3	Teratoma (N = 7)	1968.37	1182.46	1808.6
