gene	x_labels	mean	median	sd
MT-CO3	Adamantimomatous craniopharyngioma, PBTA (N = 20)	1715.22	1650.73	381.64
MT-CO3	Atypical meningioma, PBTA (N = 7)	1862.73	2029.3	600.7
MT-CO3	Atypical Teratoid Rhabdoid Tumor, PBTA (N = 30)	2639.43	2334.47	1637.05
MT-CO3	Benign tumor, PBTA (N = 14)	3289.65	2279.58	2571.27
MT-CO3	Chordoma, PBTA (N = 6)	1838.63	2006.99	568.2
MT-CO3	Choroid plexus papilloma, PBTA (N = 16)	2168.76	1546.58	1504.68
MT-CO3	CNS Embryonal tumor, PBTA (N = 15)	4855.59	2453.17	5716.13
MT-CO3	Craniopharyngioma, PBTA (N = 15)	2031.47	1645.79	1825.31
MT-CO3	Diffuse intrinsic pontine glioma, PBTA (N = 10)	2656.2	1671.26	4150.03
MT-CO3	Diffuse midline glioma, PBTA (N = 68)	11137.86	7922.93	12041.12
MT-CO3	Dysembryoplastic neuroepithelial tumor, PBTA (N = 24)	4795.47	4803.34	2474.89
MT-CO3	Dysplasia/Gliosis, PBTA (N = 14)	4246.02	4038.38	2165.39
MT-CO3	Embryonal tumor with multilayer rosettes, PBTA (N = 6)	3407.1	1612.62	4756.14
MT-CO3	Ependymoma, PBTA (N = 93)	1229.2	992.81	845.69
MT-CO3	Ewing sarcoma, PBTA (N = 10)	1678.24	1643.9	614.31
MT-CO3	Glial-neuronal tumor NOS, PBTA (N = 7)	4186.84	1907.86	4789.63
MT-CO3	High-grade glioma/astrocytoma, PBTA (N = 111)	4967	2178.89	8584.66
MT-CO3	Low-grade glioma/astrocytoma, PBTA (N = 301)	2639.93	1953.18	2434.02
MT-CO3	Medulloblastoma, PBTA (N = 122)	1839.15	1630.45	1324.08
MT-CO3	Meningioma, PBTA (N = 19)	2255.24	1997.88	1217.82
MT-CO3	Neuroblastoma, GMKF (N = 208)	4450.18	3922.28	2284.17
MT-CO3	Neurofibroma/Plexiform, PBTA (N = 20)	807.04	644.72	515.74
MT-CO3	Pineoblastoma, PBTA (N = 5)	3202.62	1729.25	2361.17
MT-CO3	Sarcoma, PBTA (N = 6)	1421.98	1540.59	426.8
MT-CO3	Schwannoma, PBTA (N = 19)	967.27	916.93	350.8
MT-CO3	Teratoma, PBTA (N = 7)	1968.37	1182.46	1808.6
