gene	x_labels	mean	median	sd
MT-CYB	GTEx_Whole Blood_755	2703.99	2305	1898.05
MT-CYB	PBTA_Diffuse midline glioma_68	5719.86	3746.56	6045.1
MT-CYB	GTEx_Cells - EBV-transformed lymphocytes_174	6371.32	6035.5	1895.67
MT-CYB	GTEx_Pancreas_328	9478.75	8958.5	4056.35
MT-CYB	GTEx_Cells - Cultured fibroblasts_504	9709.07	9293.5	2340.38
MT-CYB	GTEx_Spleen_241	11712.87	11580	3797.15
MT-CYB	GTEx_Lung_578	12488.18	11895	4440.98
MT-CYB	GTEx_Esophagus - Mucosa_555	13646.4	12330	6424.83
MT-CYB	GTEx_Vagina_156	14057.24	12805	6417.58
MT-CYB	GTEx_Artery - Aorta_432	13215.4	12915	4936.78
MT-CYB	GTEx_Ovary_180	12000.52	12930	6146.67
MT-CYB	GTEx_Artery - Tibial_663	13367.59	13050	4118.37
MT-CYB	GTEx_Cervix - Ectocervix_9	12262.44	13720	4632
MT-CYB	GTEx_Uterus_142	15132.87	15025	5331.38
MT-CYB	GTEx_Testis_361	16239.78	15340	4733.36
MT-CYB	GTEx_Artery - Coronary_240	16852.22	15940	7498.49
MT-CYB	GTEx_Nerve - Tibial_619	16487.63	16040	4379.56
MT-CYB	GTEx_Cervix - Endocervix_10	15033.2	16430	5316.66
MT-CYB	GTEx_Minor Salivary Gland_162	17381.01	16840	5126.09
MT-CYB	GTEx_Fallopian Tube_9	16328.67	17090	4585.42
MT-CYB	GTEx_Skin - Sun Exposed (Lower leg)_701	18008.33	17220	5047.5
MT-CYB	GTEx_Skin - Not Sun Exposed (Suprapubic)_604	19754.12	19055	5542.79
MT-CYB	GTEx_Thyroid_653	19667.92	19870	7615.64
MT-CYB	GTEx_Pituitary_283	20410.95	19930	7475.21
MT-CYB	GTEx_Brain - Cerebellar Hemisphere_215	24255.17	21990	8789.42
MT-CYB	GTEx_Breast - Mammary Tissue_459	24120.06	22810	8514.02
MT-CYB	GTEx_Bladder_21	22971.76	23660	6139.57
MT-CYB	GTEx_Adipose - Subcutaneous_663	24197.99	23840	6315.95
MT-CYB	GTEx_Colon - Sigmoid_373	23911.53	24050	7086.48
MT-CYB	GTEx_Small Intestine - Terminal Ileum_187	24601.3	24520	7928
MT-CYB	GTEx_Brain - Spinal cord (cervical c-1)_159	25409.58	24610	8480.9
MT-CYB	GTEx_Brain - Frontal Cortex (BA9)_209	25354.62	25000	6661.62
MT-CYB	GTEx_Prostate_245	25840.68	25300	9543.24
MT-CYB	GTEx_Colon - Transverse_406	25232.13	25480	7263.27
MT-CYB	GTEx_Adipose - Visceral (Omentum)_541	25486.83	25510	9181.97
MT-CYB	GTEx_Esophagus - Gastroesophageal Junction_375	28388.05	26760	8675.47
MT-CYB	GTEx_Esophagus - Muscularis_515	27703.9	27090	7255.41
MT-CYB	GTEx_Brain - Cerebellum_241	28216.68	27120	7039.11
MT-CYB	GTEx_Stomach_359	27966.21	27190	7892.04
MT-CYB	GTEx_Brain - Anterior cingulate cortex (BA24)_176	28918.55	28345	6485.28
MT-CYB	GTEx_Adrenal Gland_258	29493.02	28800	7159.71
MT-CYB	GTEx_Muscle - Skeletal_803	30252.18	30000	6744.31
MT-CYB	GTEx_Brain - Substantia nigra_139	31924.96	30840	7796.5
MT-CYB	GTEx_Brain - Cortex_255	31076.04	30870	5860.86
MT-CYB	GTEx_Brain - Hypothalamus_202	31623.79	31075	7779.86
MT-CYB	GTEx_Liver_226	32536.21	31645	12697.08
MT-CYB	GTEx_Brain - Amygdala_152	33003.06	32935	7528.99
MT-CYB	GTEx_Brain - Hippocampus_197	34487.84	35190	8225.72
MT-CYB	GTEx_Heart - Atrial Appendage_429	38082.33	37440	10481.29
MT-CYB	GTEx_Brain - Nucleus accumbens (basal ganglia)_246	38708.96	38010	9407.31
MT-CYB	GTEx_Brain - Caudate (basal ganglia)_246	42187.93	40960	9663.06
MT-CYB	GTEx_Brain - Putamen (basal ganglia)_205	44439.27	44650	9362.27
MT-CYB	GTEx_Heart - Left Ventricle_432	46333.77	45790	12115.25
MT-CYB	GTEx_Kidney - Cortex_85	43537.13	46870	17098.93
