gene	x_labels	mean	median	sd
MT-ND1	PBTA_Atypical Teratoid Rhabdoid Tumor_30	1538.21	1101.68	1112.99
MT-ND1	GTEx_Whole Blood_755	3034.14	2707	1959.76
MT-ND1	GTEx_Cells - Cultured fibroblasts_504	8247.09	6153	4900.82
MT-ND1	GTEx_Cells - EBV-transformed lymphocytes_174	7240.72	7050.5	2078.39
MT-ND1	GTEx_Cervix - Ectocervix_9	7468.67	7649	2769.81
MT-ND1	GTEx_Vagina_156	9137.61	8330	4550.34
MT-ND1	GTEx_Pancreas_328	8677.62	8453	2949.87
MT-ND1	GTEx_Ovary_180	8278.49	8523	5019.68
MT-ND1	GTEx_Artery - Aorta_432	8935.23	8751	4257.33
MT-ND1	GTEx_Esophagus - Mucosa_555	9921.97	9492	4122.71
MT-ND1	GTEx_Cervix - Endocervix_10	9458.7	9608	3564.55
MT-ND1	GTEx_Uterus_142	10557.5	10415	4315.58
MT-ND1	GTEx_Artery - Tibial_663	11326.93	10760	4272.84
MT-ND1	GTEx_Pituitary_283	12822.29	11800	6576.03
MT-ND1	GTEx_Artery - Coronary_240	13320.95	11980	7303.98
MT-ND1	GTEx_Spleen_241	11965.84	12040	4723.36
MT-ND1	GTEx_Thyroid_653	13035.23	12890	6678.37
MT-ND1	GTEx_Lung_578	13557.49	13230	5717.9
MT-ND1	GTEx_Fallopian Tube_9	11835.56	13510	3570.59
MT-ND1	GTEx_Minor Salivary Gland_162	14740.64	13715	5540.71
MT-ND1	GTEx_Nerve - Tibial_619	14826.76	14580	4367.02
MT-ND1	GTEx_Bladder_21	16618.33	14980	6002.01
MT-ND1	GTEx_Prostate_245	17594.47	16520	6757.74
MT-ND1	GTEx_Skin - Not Sun Exposed (Suprapubic)_604	19304.14	18685	6490.6
MT-ND1	GTEx_Esophagus - Gastroesophageal Junction_375	19394.95	19190	5372.98
MT-ND1	GTEx_Skin - Sun Exposed (Lower leg)_701	20216.27	19780	5599.37
MT-ND1	GTEx_Esophagus - Muscularis_515	20242.57	20310	5327.79
MT-ND1	GTEx_Colon - Sigmoid_373	19142.1	20370	6445.58
MT-ND1	GTEx_Liver_226	22011.86	20800	8637.02
MT-ND1	GTEx_Small Intestine - Terminal Ileum_187	21098.24	21160	7262.71
MT-ND1	GTEx_Colon - Transverse_406	22418.11	22510	8006.33
MT-ND1	GTEx_Brain - Cerebellar Hemisphere_215	25442.22	23040	10006.84
MT-ND1	GTEx_Testis_361	24135.2	23430	6852.46
MT-ND1	GTEx_Adipose - Visceral (Omentum)_541	24292.71	24200	10244.99
MT-ND1	GTEx_Stomach_359	25496.58	24540	8708.31
MT-ND1	GTEx_Breast - Mammary Tissue_459	25645.93	24760	10351.99
MT-ND1	GTEx_Adrenal Gland_258	26343.1	26465	6498.32
MT-ND1	GTEx_Adipose - Subcutaneous_663	28120.22	28160	7827.36
MT-ND1	GTEx_Brain - Cerebellum_241	32413.78	30610	8249.05
MT-ND1	GTEx_Brain - Spinal cord (cervical c-1)_159	32294.72	31190	12209.19
MT-ND1	GTEx_Muscle - Skeletal_803	31938.86	31410	8326.52
MT-ND1	GTEx_Brain - Frontal Cortex (BA9)_209	34645.88	33270	9397.59
MT-ND1	GTEx_Kidney - Cortex_85	31995.05	33270	11066.1
MT-ND1	GTEx_Heart - Atrial Appendage_429	32972.32	33730	10989.81
MT-ND1	GTEx_Brain - Hypothalamus_202	35058.89	34500	10182.46
MT-ND1	GTEx_Brain - Nucleus accumbens (basal ganglia)_246	36725.04	35610	9514.49
MT-ND1	GTEx_Brain - Anterior cingulate cortex (BA24)_176	39147.5	38020	8918.41
MT-ND1	GTEx_Brain - Caudate (basal ganglia)_246	39658.78	38305	9624.18
MT-ND1	GTEx_Heart - Left Ventricle_432	40373.06	39105	11123.87
MT-ND1	GTEx_Brain - Hippocampus_197	39904.26	39580	9514.57
MT-ND1	GTEx_Brain - Amygdala_152	40675.36	39950	8782.32
MT-ND1	GTEx_Brain - Putamen (basal ganglia)_205	42202.05	40900	10596.79
MT-ND1	GTEx_Brain - Substantia nigra_139	41858.35	42120	10272.99
MT-ND1	GTEx_Brain - Cortex_255	44568.63	44250	7954.54
