gene	x_labels	mean	median	sd
MT-RNR2	GMKF_Neuroblastoma_208	15.27	1.94	112.48
MT-RNR2	PBTA_Neurofibroma/Plexiform_20	13.82	5.68	15.4
MT-RNR2	PBTA_Teratoma_7	9.2	7.16	8.91
MT-RNR2	PBTA_Atypical meningioma_7	36.56	11.02	44.97
MT-RNR2	PBTA_Craniopharyngioma_15	20.51	13.62	20.33
MT-RNR2	PBTA_Choroid plexus papilloma_16	42.54	14.6	54.52
MT-RNR2	PBTA_Benign tumor_14	27.68	15.39	25.28
MT-RNR2	PBTA_Sarcoma_6	14.89	16.08	7.61
MT-RNR2	PBTA_Meningioma_19	33.14	21.92	32.26
MT-RNR2	PBTA_Medulloblastoma_122	4441.02	22.53	14622.6
MT-RNR2	PBTA_Pineoblastoma_5	24.99	23.78	14.59
MT-RNR2	PBTA_Adamantimomatous craniopharyngioma_20	43.88	25.41	53.25
MT-RNR2	PBTA_Schwannoma_19	32.46	27.4	25.16
MT-RNR2	PBTA_Ewing sarcoma_10	34.92	27.91	22.18
MT-RNR2	PBTA_Low-grade glioma/astrocytoma_301	43.97	28.24	52.71
MT-RNR2	PBTA_Embryonal tumor with multilayer rosettes_6	11190.46	28.94	25159.07
MT-RNR2	PBTA_Dysembryoplastic neuroepithelial tumor_24	58.46	32.64	65.2
MT-RNR2	PBTA_Dysplasia/Gliosis_14	54.31	33.63	56.05
MT-RNR2	PBTA_Glial-neuronal tumor NOS_7	6292.85	35.46	16536.81
MT-RNR2	PBTA_Chordoma_6	42.38	38.31	34.87
MT-RNR2	PBTA_Ependymoma_93	9001.43	38.67	18854.68
MT-RNR2	PBTA_High-grade glioma/astrocytoma_111	8037.89	39.7	17761.6
MT-RNR2	PBTA_Diffuse intrinsic pontine glioma_10	88.41	39.82	107.68
MT-RNR2	PBTA_Atypical Teratoid Rhabdoid Tumor_30	69.66	56.15	59.41
MT-RNR2	PBTA_CNS Embryonal tumor_15	17942.77	4424.19	34543.98
MT-RNR2	PBTA_Diffuse midline glioma_68	9010.49	5518.95	13418.05
