gene	plot_type	cohort	cancer_group	analysis_type	plot_fname	table_fname
GPC2	pan_cancer	all_cohorts	NA	cohort_cancer_group_level	GPC2_PBTA_GMKF_pan_cancer_cohort_cancer_group_level.png	pan_cancer_plots_cohort_cancer_group_level.tsv
MYCN	pan_cancer	all_cohorts	NA	cohort_cancer_group_level	MYCN_PBTA_GMKF_pan_cancer_cohort_cancer_group_level.png	pan_cancer_plots_cohort_cancer_group_level.tsv
GPC2	pan_cancer	all_cohorts	NA	cancer_group_level	GPC2_PBTA_GMKF_pan_cancer_cancer_group_level.png	pan_cancer_plots_cancer_group_level.tsv
MYCN	pan_cancer	all_cohorts	NA	cancer_group_level	MYCN_PBTA_GMKF_pan_cancer_cancer_group_level.png	pan_cancer_plots_cancer_group_level.tsv
GPC2	tumor_normal_gtex	PBTA	Low-grade glioma/astrocytoma	cohort_cancer_group_level	GPC2_PBTA_Low-grade-glioma-astrocytoma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
GPC2	tumor_normal_gtex	PBTA	Adamantinomatous Craniopharyngioma	cohort_cancer_group_level	GPC2_PBTA_Adamantinomatous-Craniopharyngioma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
GPC2	tumor_normal_gtex	PBTA	Ewing sarcoma	cohort_cancer_group_level	GPC2_PBTA_Ewing-sarcoma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
GPC2	tumor_normal_gtex	PBTA	High-grade glioma/astrocytoma	cohort_cancer_group_level	GPC2_PBTA_High-grade-glioma-astrocytoma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
GPC2	tumor_normal_gtex	PBTA	Ependymoma	cohort_cancer_group_level	GPC2_PBTA_Ependymoma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
GPC2	tumor_normal_gtex	PBTA	CNS Embryonal tumor	cohort_cancer_group_level	GPC2_PBTA_CNS-Embryonal-tumor_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
GPC2	tumor_normal_gtex	PBTA	Medulloblastoma	cohort_cancer_group_level	GPC2_PBTA_Medulloblastoma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
GPC2	tumor_normal_gtex	PBTA	Choroid plexus papilloma	cohort_cancer_group_level	GPC2_PBTA_Choroid-plexus-papilloma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
GPC2	tumor_normal_gtex	PBTA	Embryonal tumor with multilayer rosettes	cohort_cancer_group_level	GPC2_PBTA_Embryonal-tumor-with-multilayer-rosettes_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
GPC2	tumor_normal_gtex	PBTA	Neurofibroma/Plexiform	cohort_cancer_group_level	GPC2_PBTA_Neurofibroma-Plexiform_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
GPC2	tumor_normal_gtex	PBTA	Diffuse midline glioma	cohort_cancer_group_level	GPC2_PBTA_Diffuse-midline-glioma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
GPC2	tumor_normal_gtex	PBTA	Meningioma	cohort_cancer_group_level	GPC2_PBTA_Meningioma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
GPC2	tumor_normal_gtex	PBTA	Sarcoma	cohort_cancer_group_level	GPC2_PBTA_Sarcoma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
GPC2	tumor_normal_gtex	PBTA	Atypical Teratoid Rhabdoid Tumor	cohort_cancer_group_level	GPC2_PBTA_Atypical-Teratoid-Rhabdoid-Tumor_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
GPC2	tumor_normal_gtex	PBTA	Diffuse intrinsic pontine glioma	cohort_cancer_group_level	GPC2_PBTA_Diffuse-intrinsic-pontine-glioma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
GPC2	tumor_normal_gtex	PBTA	Schwannoma	cohort_cancer_group_level	GPC2_PBTA_Schwannoma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
GPC2	tumor_normal_gtex	PBTA	Dysembryoplastic neuroepithelial tumor	cohort_cancer_group_level	GPC2_PBTA_Dysembryoplastic-neuroepithelial-tumor_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
GPC2	tumor_normal_gtex	PBTA	Teratoma	cohort_cancer_group_level	GPC2_PBTA_Teratoma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
GPC2	tumor_normal_gtex	PBTA	Pineoblastoma	cohort_cancer_group_level	GPC2_PBTA_Pineoblastoma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
GPC2	tumor_normal_gtex	PBTA	Glial-neuronal tumor NOS	cohort_cancer_group_level	GPC2_PBTA_Glial-neuronal-tumor-NOS_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
GPC2	tumor_normal_gtex	PBTA	Chordoma	cohort_cancer_group_level	GPC2_PBTA_Chordoma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
GPC2	tumor_normal_gtex	PBTA	Craniopharyngioma	cohort_cancer_group_level	GPC2_PBTA_Craniopharyngioma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
GPC2	tumor_normal_gtex	GMKF	Neuroblastoma	cohort_cancer_group_level	GPC2_GMKF_Neuroblastoma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
MYCN	tumor_normal_gtex	PBTA	Low-grade glioma/astrocytoma	cohort_cancer_group_level	MYCN_PBTA_Low-grade-glioma-astrocytoma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
MYCN	tumor_normal_gtex	PBTA	Adamantinomatous Craniopharyngioma	cohort_cancer_group_level	MYCN_PBTA_Adamantinomatous-Craniopharyngioma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
MYCN	tumor_normal_gtex	PBTA	Ewing sarcoma	cohort_cancer_group_level	MYCN_PBTA_Ewing-sarcoma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
MYCN	tumor_normal_gtex	PBTA	High-grade glioma/astrocytoma	cohort_cancer_group_level	MYCN_PBTA_High-grade-glioma-astrocytoma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
MYCN	tumor_normal_gtex	PBTA	Ependymoma	cohort_cancer_group_level	MYCN_PBTA_Ependymoma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
MYCN	tumor_normal_gtex	PBTA	CNS Embryonal tumor	cohort_cancer_group_level	MYCN_PBTA_CNS-Embryonal-tumor_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
MYCN	tumor_normal_gtex	PBTA	Medulloblastoma	cohort_cancer_group_level	MYCN_PBTA_Medulloblastoma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
MYCN	tumor_normal_gtex	PBTA	Choroid plexus papilloma	cohort_cancer_group_level	MYCN_PBTA_Choroid-plexus-papilloma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
MYCN	tumor_normal_gtex	PBTA	Embryonal tumor with multilayer rosettes	cohort_cancer_group_level	MYCN_PBTA_Embryonal-tumor-with-multilayer-rosettes_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
MYCN	tumor_normal_gtex	PBTA	Neurofibroma/Plexiform	cohort_cancer_group_level	MYCN_PBTA_Neurofibroma-Plexiform_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
MYCN	tumor_normal_gtex	PBTA	Diffuse midline glioma	cohort_cancer_group_level	MYCN_PBTA_Diffuse-midline-glioma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
MYCN	tumor_normal_gtex	PBTA	Meningioma	cohort_cancer_group_level	MYCN_PBTA_Meningioma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
MYCN	tumor_normal_gtex	PBTA	Sarcoma	cohort_cancer_group_level	MYCN_PBTA_Sarcoma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
MYCN	tumor_normal_gtex	PBTA	Atypical Teratoid Rhabdoid Tumor	cohort_cancer_group_level	MYCN_PBTA_Atypical-Teratoid-Rhabdoid-Tumor_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
MYCN	tumor_normal_gtex	PBTA	Diffuse intrinsic pontine glioma	cohort_cancer_group_level	MYCN_PBTA_Diffuse-intrinsic-pontine-glioma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
MYCN	tumor_normal_gtex	PBTA	Schwannoma	cohort_cancer_group_level	MYCN_PBTA_Schwannoma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
MYCN	tumor_normal_gtex	PBTA	Dysembryoplastic neuroepithelial tumor	cohort_cancer_group_level	MYCN_PBTA_Dysembryoplastic-neuroepithelial-tumor_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
MYCN	tumor_normal_gtex	PBTA	Teratoma	cohort_cancer_group_level	MYCN_PBTA_Teratoma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
MYCN	tumor_normal_gtex	PBTA	Pineoblastoma	cohort_cancer_group_level	MYCN_PBTA_Pineoblastoma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
MYCN	tumor_normal_gtex	PBTA	Glial-neuronal tumor NOS	cohort_cancer_group_level	MYCN_PBTA_Glial-neuronal-tumor-NOS_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
MYCN	tumor_normal_gtex	PBTA	Chordoma	cohort_cancer_group_level	MYCN_PBTA_Chordoma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
