gene	cohort	cancer_group	x_labels	mean	median	sd	plot_api
GPC2	all_cohorts	Adamantinomatous Craniopharyngioma	Adamantinomatous Craniopharyngioma (N = 20)	1.47	1.5	0.56	NA
GPC2	all_cohorts	Atypical Teratoid Rhabdoid Tumor	Atypical Teratoid Rhabdoid Tumor (N = 30)	3.9	1.8	4.19	NA
GPC2	all_cohorts	Chordoma	Chordoma (N = 6)	0.47	0.48	0.14	NA
GPC2	all_cohorts	Choroid plexus papilloma	Choroid plexus papilloma (N = 16)	0.36	0.34	0.24	NA
GPC2	all_cohorts	CNS Embryonal tumor	CNS Embryonal tumor (N = 15)	26.97	14.75	32.96	NA
GPC2	all_cohorts	Craniopharyngioma	Craniopharyngioma (N = 15)	1.18	0.42	2.87	NA
GPC2	all_cohorts	Diffuse intrinsic pontine glioma	Diffuse intrinsic pontine glioma (N = 10)	3.8	3.68	1.87	NA
GPC2	all_cohorts	Diffuse midline glioma	Diffuse midline glioma (N = 68)	9.14	5.84	9.21	NA
GPC2	all_cohorts	Dysembryoplastic neuroepithelial tumor	Dysembryoplastic neuroepithelial tumor (N = 24)	4.51	4.32	3.28	NA
GPC2	all_cohorts	Embryonal tumor with multilayer rosettes	Embryonal tumor with multilayer rosettes (N = 7)	38.41	39.83	28.42	NA
GPC2	all_cohorts	Ependymoma	Ependymoma (N = 93)	1.36	0.77	1.45	NA
GPC2	all_cohorts	Ewing sarcoma	Ewing sarcoma (N = 10)	5.94	4.57	5.56	NA
GPC2	all_cohorts	Glial-neuronal tumor NOS	Glial-neuronal tumor NOS (N = 7)	5.64	3.42	7.23	NA
GPC2	all_cohorts	High-grade glioma/astrocytoma	High-grade glioma/astrocytoma (N = 111)	10.16	4.63	17.95	NA
GPC2	all_cohorts	Low-grade glioma/astrocytoma	Low-grade glioma/astrocytoma (N = 301)	2.83	2.4	2.09	NA
GPC2	all_cohorts	Medulloblastoma	Medulloblastoma (N = 122)	27.58	23.85	18.41	NA
GPC2	all_cohorts	Meningioma	Meningioma (N = 29)	0.64	0.54	0.47	NA
GPC2	all_cohorts	Neuroblastoma	Neuroblastoma (N = 211)	27.57	26.32	15.88	NA
GPC2	all_cohorts	Neurofibroma/Plexiform	Neurofibroma/Plexiform (N = 21)	0.48	0.45	0.36	NA
GPC2	all_cohorts	Pineoblastoma	Pineoblastoma (N = 5)	10.77	5.31	13.28	NA
GPC2	all_cohorts	Sarcoma	Sarcoma (N = 6)	1.49	0.76	1.9	NA
GPC2	all_cohorts	Schwannoma	Schwannoma (N = 19)	0.59	0.57	0.2	NA
GPC2	all_cohorts	Teratoma	Teratoma (N = 8)	1.83	0.58	2.76	NA
MYCN	all_cohorts	Adamantinomatous Craniopharyngioma	Adamantinomatous Craniopharyngioma (N = 20)	6.66	6.38	4.07	NA
MYCN	all_cohorts	Atypical Teratoid Rhabdoid Tumor	Atypical Teratoid Rhabdoid Tumor (N = 30)	6.22	1.28	9.89	NA
MYCN	all_cohorts	Chordoma	Chordoma (N = 6)	0.36	0.16	0.48	NA
MYCN	all_cohorts	Choroid plexus papilloma	Choroid plexus papilloma (N = 16)	1.59	1.1	1.39	NA
MYCN	all_cohorts	CNS Embryonal tumor	CNS Embryonal tumor (N = 15)	78.12	17.92	200.24	NA
MYCN	all_cohorts	Craniopharyngioma	Craniopharyngioma (N = 15)	0.94	0.5	1.36	NA
MYCN	all_cohorts	Diffuse intrinsic pontine glioma	Diffuse intrinsic pontine glioma (N = 10)	3.87	3.24	2.48	NA
MYCN	all_cohorts	Diffuse midline glioma	Diffuse midline glioma (N = 68)	8.4	4.44	13.82	NA
MYCN	all_cohorts	Dysembryoplastic neuroepithelial tumor	Dysembryoplastic neuroepithelial tumor (N = 24)	4.06	3.26	3.23	NA
MYCN	all_cohorts	Embryonal tumor with multilayer rosettes	Embryonal tumor with multilayer rosettes (N = 7)	37.86	22.03	51.13	NA
MYCN	all_cohorts	Ependymoma	Ependymoma (N = 93)	5.06	2.35	13.92	NA
MYCN	all_cohorts	Ewing sarcoma	Ewing sarcoma (N = 10)	3.6	3.4	3.13	NA
MYCN	all_cohorts	Glial-neuronal tumor NOS	Glial-neuronal tumor NOS (N = 7)	4.78	3.42	3.45	NA
MYCN	all_cohorts	High-grade glioma/astrocytoma	High-grade glioma/astrocytoma (N = 111)	10.75	3.72	19.45	NA
MYCN	all_cohorts	Low-grade glioma/astrocytoma	Low-grade glioma/astrocytoma (N = 301)	2.3	1.95	2.15	NA
MYCN	all_cohorts	Medulloblastoma	Medulloblastoma (N = 122)	25.3	5.74	53.83	NA
MYCN	all_cohorts	Meningioma	Meningioma (N = 29)	0.14	0.1	0.16	NA
MYCN	all_cohorts	Neuroblastoma	Neuroblastoma (N = 211)	42.9	18.11	83.44	NA
MYCN	all_cohorts	Neurofibroma/Plexiform	Neurofibroma/Plexiform (N = 21)	0.91	0.22	2.51	NA
MYCN	all_cohorts	Pineoblastoma	Pineoblastoma (N = 5)	10.77	14.31	6.76	NA
MYCN	all_cohorts	Sarcoma	Sarcoma (N = 6)	0.82	0.1	1.76	NA
MYCN	all_cohorts	Schwannoma	Schwannoma (N = 19)	0.89	0.37	0.99	NA
MYCN	all_cohorts	Teratoma	Teratoma (N = 8)	2.2	0.71	3.27	NA
