Gene_symbol	Gene_Ensembl_ID	Dataset	Disease	x_labels	mean	median	sd	plot_api	MONDO	RMTL	EFO
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Low-grade glioma/astrocytoma (N = 301)	2.83	2.4	2.09		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Adipose - Subcutaneous (N = 663)	1.76	1.66	0.82		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Adipose - Visceral (Omentum) (N = 541)	1.2	1.04	0.65		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Adrenal Gland (N = 258)	0.72	0.63	0.36		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Artery - Aorta (N = 432)	1.45	1.3	0.74		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Artery - Coronary (N = 240)	1.37	1.14	0.95		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Artery - Tibial (N = 663)	0.75	0.61	0.59		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Bladder (N = 21)	1.98	1.85	1.25		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Blood (N = 755)	1.04	0.8	1.81		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Brain - Amygdala (N = 152)	2.29	2.22	0.86		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Brain - Anterior cingulate cortex (BA24) (N = 176)	1.86	1.78	0.65		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Brain - Caudate (basal ganglia) (N = 246)	1.35	1.35	0.5		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Brain - Cerebellum (N = 456)	3.2	2.78	1.91		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Brain - Cortex (N = 255)	1.63	1.53	0.57		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Brain - Frontal Cortex (BA9) (N = 209)	1.61	1.56	0.59		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Brain - Hippocampus (N = 197)	2.21	2.09	1		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Brain - Hypothalamus (N = 202)	1.58	1.45	0.83		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Brain - Nucleus accumbens (basal ganglia) (N = 246)	1.36	1.28	0.69		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Brain - Putamen (basal ganglia) (N = 205)	1.32	1.24	0.58		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Brain - Spinal cord (cervical c-1) (N = 159)	3.34	3.2	1.52		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Brain - Substantia nigra (N = 139)	1.74	1.59	0.96		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Breast - Mammary Tissue (N = 459)	2.27	1.88	1.62		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Cells - Cultured fibroblasts (N = 504)	1.3	1.21	0.6		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Cells - EBV-transformed lymphocytes (N = 174)	2.61	2.33	1.56		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Cervix - Ectocervix (N = 9)	4.63	3.68	2.91		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Cervix - Endocervix (N = 10)	5.14	3.64	4.09		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Colon - Sigmoid (N = 373)	1.67	1.55	0.83		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Colon - Transverse (N = 406)	2.02	1.92	0.87		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Esophagus - Gastroesophageal Junction (N = 375)	1.13	0.99	0.61		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Esophagus - Mucosa (N = 555)	1.16	1.04	0.59		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Esophagus - Muscularis (N = 515)	1.19	1.05	0.65		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Fallopian Tube (N = 9)	3.32	2.8	1.75		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Heart - Atrial Appendage (N = 429)	0.63	0.56	0.36		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Heart - Left Ventricle (N = 432)	0.44	0.34	0.42		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Kidney - Cortex (N = 85)	0.66	0.48	0.75		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Liver (N = 226)	0.17	0.12	0.2		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Lung (N = 578)	1.52	1.31	1.01		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Minor Salivary Gland (N = 162)	2.06	1.84	1.2		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Muscle - Skeletal (N = 803)	0.45	0.34	0.4		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Nerve - Tibial (N = 619)	3	2.89	1.11		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Ovary (N = 180)	5.42	4.51	3.52		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Pancreas (N = 328)	0.33	0.26	0.32		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Pituitary (N = 283)	2.24	2.04	1.12		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
