Kids_First_Biospecimen_ID	sample_id	tumor_fraction
BS_014EVM2D	7316-362	0.082628825
BS_03FT4S8B	7316-1671	0.7969336
BS_0448A413	7316-364	0.804204187
BS_044XZ8ST	7316-3570	1
BS_052PZFMK	7316-1099	0.905340493
BS_063ERW0R	7316-1646	1
BS_06AMMCXR	7316-154	0.277586306
BS_06XH7EVF	7316-879	1
BS_07ANYSYQ	7316-2134	0.657334393
BS_09R7GDA7	7316-1100	0.420941726
BS_0BXY0F9N	7316-1078	0.837370523
BS_0J9SHHSC	7316-1090	1
BS_0QYS36NR	7316-455	1
BS_0SCXXM6N	7316-119	1
BS_0SPCTBZY	7316-3306	1
BS_0T17SY47	7316-183	0.752697962
BS_0VRSD9V3	7316-2248	0.911538491
BS_0WVJYM9R	7316-370	1
BS_0X9EGHY2	7316-1744	1
BS_0XEG6SNV	7316-2313	0.269787979
BS_0Y66ZBWE	7316-642	1
BS_1021ZGQT	7316-3775	0.959706792
BS_10APZRVT	7316-877	0.610180114
BS_13CGKADW	7316-148	0.873258467
BS_1607397Q	7316-1855	0.87267142
BS_17WYVEEC	7316-332	1
BS_196BBNEJ	7316-1954	0.784829837
BS_1AYRM596	7316-2250	0.446519296
BS_1BWP5MCT	7316-2659	0.194317195
BS_1EN5V3XW	7316-2561	0.932690824
BS_1G3WYEN3	7316-193	0.331358966
BS_1HFK0SXV	7316-1775	0.970448254
BS_1JDG6JV5	7316-329	0.574329124
BS_1KYGSMA7	7316-2208	0.345538256
BS_1N9XZXGE	7316-876	0.843767805
BS_1NPD7PVG	7316-1940	1
BS_1QXEC43H	7316-3010	0.962589905
BS_1RT76ANT	7316-1927	0.485634317
BS_1RXZ3BP7	7316-898	1
BS_1SVVER1H	7316-2084	1
BS_1T19NFJ8	7316-3153	1
BS_1TPWFSK6	7316-1957	0.705341433
BS_1XJ73KBQ	7316-2180	0.884982462
BS_1ZVXF5FE	7316-2167	1
BS_21RE8W46	7316-1949	1
BS_23M72ABG	7316-523	0.844395379
BS_23QW0BBA	7316-114	0.888131675
BS_23W9EPFE	7316-3345	0.601968966
BS_24AHZ9ZW	7316-361	1
BS_258RRGDM	7316-2195	0.614678487
BS_264RCK7G	7316-80	1
BS_273HKCT4	7316-1970	1
BS_27QE6BV7	7316-373	1
BS_28CDASF7	7316-377	0.039845763
BS_29006KEX	7316-2268	0.344301068
BS_29CPJ040	7316-2578	1
BS_29X4ZX6Q	7316-2980	0.853546545
BS_2A5R9MEJ	7316-1085	0.840418372
BS_2ADZNNV4	7316-3076	0.734183887
BS_2AR3AP0N	7316-1854	0.175410382
BS_2EMW8ZG3	7316-932	0.360524118
BS_2KJ2YAZR	7316-267	0.264736865
BS_2R9TCR03	7316-2988	0.570088154
BS_2SHWPB5P	7316-4034	0.684391376
BS_2W3NC4K1	7316-2719	1
BS_2WPQ8YCW	7316-1803	1
BS_2XD3MNKD	7316-2856	0.374951316
BS_2YCJV2VV	7316-235	1
BS_2Z1MKS84	7316-2934	0.948866021
BS_37GTVG4N	7316-3326	0.175821248
BS_398KYV92	7316-214	0.223631212
BS_399RPKC9	7316-3030	0.744836992
