gene1,gene2,mut11,mut10,mut01,mut00,odds_ratio,cooccur_sign,odds_ratio_ci,p,q,cooccur_score,n_mutated_gene1,n_mutated_gene2,perc_mutated_gene1,perc_mutated_gene2,perc_cooccur,perc_mutexcl,mut1,mut2,label1,label2
TP53,BRAF,2,56,48,562,0.4181547619047619,-1,"0.0989807312425123,1.76653983769043",0.30013742327910453,0.36656863760409075,-0.52267985025887,58,50,8.682634730538922,7.485029940119761,1.8867924528301887,98.11320754716981,58,50,TP53 (58),BRAF (50)
TP53,H3F3A,25,33,15,595,30.050505050505052,1,"14.4841953598245,62.3460835315171",1.914125715725644e-19,2.344804001763914e-16,18.718029542080092,58,40,8.682634730538922,5.9880239520958085,34.24657534246575,65.75342465753425,58,40,TP53 (58),H3F3A (40)
TP53,CTNNB1,6,52,30,580,2.230769230769231,1,"0.88783620428731,5.60501062799233",0.1166143399257542,0.1556128174390511,0.9332480416207376,58,36,8.682634730538922,5.389221556886228,6.818181818181818,93.18181818181819,58,36,TP53 (58),CTNNB1 (36)
TP53,NF1,10,48,15,595,8.26388888888889,1,"3.52328980612476,19.3829810562802",1.329850341190577e-5,7.404848490720259e-5,4.876197230951881,58,25,8.682634730538922,3.7425149700598803,13.698630136986301,86.3013698630137,58,25,TP53 (58),NF1 (25)
TP53,ATRX,15,43,9,601,23.294573643410853,1,"9.638740710919,56.2975161904271",1.4233254774372023e-11,8.717868549302863e-9,10.846695776731,58,24,8.682634730538922,3.592814371257485,22.388059701492537,77.61194029850746,58,24,TP53 (58),ATRX (24)
TP53,FGFR1,3,55,13,597,2.504895104895105,1,"0.692684700369613,9.05823310833835",0.15477876141761945,0.2002173768425077,0.8102886330067598,58,16,8.682634730538922,2.395209580838323,4.225352112676056,95.77464788732394,58,16,TP53 (58),FGFR1 (16)
TP53,NF2,1,57,15,595,0.695906432748538,-1,"0.0902673289175061,5.36501709919185",1,1,0,58,16,8.682634730538922,2.395209580838323,1.36986301369863,98.63013698630137,58,16,TP53 (58),NF2 (16)
TP53,PIK3CA,5,53,11,599,5.137221269296741,1,"1.72062483948881,15.3380572940906",0.0086166059617643,0.013834000397328003,2.064663766929584,58,16,8.682634730538922,2.395209580838323,7.246376811594203,92.7536231884058,58,16,TP53 (58),PIK3CA (16)
TP53,KMT2D,5,53,9,601,6.29979035639413,1,"2.03762066008437,19.4773047368263",0.004527348517130828,0.008084550923447908,2.3441560720519585,58,14,8.682634730538922,2.095808383233533,7.462686567164179,92.53731343283582,58,14,TP53 (58),KMT2D (14)
TP53,BCOR,1,57,13,597,0.805668016194332,-1,"0.103504439004914,6.27123781896634",1,1,0,58,14,8.682634730538922,2.095808383233533,1.408450704225352,98.59154929577464,58,14,TP53 (58),BCOR (14)
TP53,SMARCA4,4,54,8,602,5.574074074074074,1,"1.62580849483651,19.1106774764325",0.01496367691290294,0.02205836849374982,1.8249616774090247,58,12,8.682634730538922,1.7964071856287425,6.0606060606060606,93.93939393939394,58,12,TP53 (58),SMARCA4 (12)
TP53,KMT2C,4,54,8,602,5.574074074074074,1,"1.62580849483651,19.1106774764325",0.01496367691290294,0.02205836849374982,1.8249616774090247,58,12,8.682634730538922,1.7964071856287425,6.0606060606060606,93.93939393939394,58,12,TP53 (58),KMT2C (12)
